Word, Value
no,[[0.12936984]]
th,[[0.12937015]]
tm,[[-0.12936763]]
aa,[[-0.12931637]]
aah,[[0.12938817]]
aalii,[[-0.12936917]]
aardvark,[[0.12936984]]
aardvarks,[[0.12936984]]
aardwolf,[[0.12937175]]
ab,[[0.12937854]]
aba,[[0.12936985]]
abaca,[[-0.1293252]]
abacas,[[0.12937002]]
abacist,[[0.12936984]]
aback,[[0.12938221]]
abacus,[[0.1293999]]
abacuses,[[0.12937042]]
abaft,[[0.12938748]]
abalone,[[0.12938525]]
abalones,[[0.12937394]]
abamp,[[0.12936984]]
abandon,[[0.12938431]]
abandoned,[[0.12937765]]
abandonedly,[[0.12939641]]
abandoning,[[0.12939946]]
abandonment,[[0.13171484]]
abandons,[[0.1294847]]
abas,[[0.12937522]]
abase,[[0.12937358]]
abased,[[0.12938631]]
abasement,[[0.12937923]]
abases,[[0.12937196]]
abash,[[0.12940116]]
abashed,[[0.13027959]]
abashedly,[[0.12937005]]
abashes,[[0.12937571]]
abashing,[[0.12949832]]
abashment,[[0.12941627]]
abasing,[[0.12942459]]
abate,[[0.12941669]]
abated,[[0.12937407]]
abatement,[[0.12965028]]
abates,[[0.13001569]]
abating,[[0.12937517]]
abatis,[[0.12937024]]
abattoir,[[0.1293983]]
abattoirs,[[0.12938216]]
abaxial,[[0.12937018]]
abb,[[0.12937033]]
abba,[[0.1293834]]
abbacies,[[0.12943546]]
abbacy,[[0.12943204]]
abbatial,[[0.12937111]]
abbe,[[0.1293714]]
abbes,[[0.12937143]]
abbess,[[0.12937742]]
abbesses,[[0.12938301]]
abbey,[[0.12937392]]
abbeys,[[0.12937516]]
abbot,[[0.12939316]]
abbots,[[0.12937525]]
abbr,[[0.12951611]]
abbrev,[[-0.12924729]]
abbreviate,[[0.13463666]]
abbreviated,[[-0.12936732]]
abbreviates,[[0.12972784]]
abbreviating,[[-0.1293693]]
abbreviation,[[-0.12936935]]
abbreviations,[[-0.12932448]]
abbreviator,[[0.12940177]]
abbrevs,[[-0.12924831]]
abdicate,[[0.12940803]]
abdicated,[[0.12982723]]
abdicates,[[0.12937184]]
abdicating,[[0.13390394]]
abdication,[[0.13084488]]
abdications,[[0.12937067]]
abdicator,[[-0.12936957]]
abdicators,[[-0.12927346]]
abdomen,[[0.1293966]]
abdomens,[[0.12938933]]
abdominal,[[0.12937196]]
abdominally,[[-0.12936299]]
abdominous,[[0.12938693]]
abduce,[[0.12937309]]
abduced,[[0.1294598]]
abducent,[[0.12938163]]
abducing,[[0.1300067]]
abduct,[[0.12938146]]
abducted,[[0.12939462]]
abducting,[[0.12939364]]
abduction,[[0.12937428]]
abductions,[[0.12937206]]
abductor,[[0.12937087]]
abductors,[[0.12938932]]
abducts,[[0.12978259]]
abeam,[[0.12937236]]
abecedarian,[[0.12937605]]
abecedarians,[[0.12939247]]
abecedarium,[[0.12939261]]
abecedary,[[0.12937047]]
abed,[[0.12940212]]
abele,[[0.12950598]]
abeles,[[0.12937048]]
abelmosk,[[0.12936984]]
aberrance,[[0.13312675]]
aberrancies,[[0.12937766]]
aberrancy,[[0.12937263]]
aberrant,[[0.1293719]]
aberration,[[0.12937275]]
aberrational,[[-0.12933914]]
aberrations,[[0.12938741]]
abessive,[[-0.12899102]]
abet,[[0.12938336]]
abetment,[[0.12940422]]
abetments,[[0.1293707]]
abets,[[0.1295604]]
abetted,[[0.12940396]]
abetter,[[0.12937641]]
abetters,[[0.12937717]]
abetting,[[0.12945367]]
abettor,[[0.12937197]]
abettors,[[0.12937504]]
abeyance,[[0.12944938]]
abeyant,[[0.12937015]]
abhor,[[0.1294409]]
abhorred,[[0.1294148]]
abhorrence,[[0.13039537]]
abhorrent,[[0.12938365]]
abhorrently,[[0.12977929]]
abhorrer,[[0.12952211]]
abhorrers,[[0.12940314]]
abhorring,[[0.12937319]]
abhors,[[0.12942995]]
abidance,[[0.13100412]]
abide,[[0.1293782]]
abider,[[0.12938224]]
abides,[[0.12937161]]
abiding,[[0.12941656]]
abidingly,[[0.12939124]]
abies,[[-0.12933722]]
abigail,[[0.12937023]]
abilities,[[0.12937593]]
ability,[[0.12938412]]
abiogenesis,[[0.12938161]]
abiogenetic,[[0.12939739]]
abiotic,[[0.12937833]]
abject,[[0.12938504]]
abjection,[[0.12942855]]
abjectly,[[0.12959254]]
abjectness,[[0.12938376]]
abjuration,[[0.13001429]]
abjurations,[[0.12937167]]
abjure,[[0.12938635]]
abjured,[[0.12946793]]
abjurer,[[0.12957622]]
abjurers,[[-0.12936968]]
abjures,[[0.12940125]]
abjuring,[[0.12950858]]
abl,[[-0.1293024]]
ablate,[[0.12939823]]
ablated,[[0.12937804]]
ablating,[[0.1293973]]
ablation,[[0.12960483]]
ablations,[[0.12941974]]
ablative,[[-0.12934199]]
ablatives,[[-0.12934755]]
ablaut,[[-0.12935171]]
ablaze,[[0.12942669]]
able,[[0.14177969]]
ablepsia,[[0.12937084]]
abler,[[0.12971784]]
ablest,[[0.13509035]]
abloom,[[0.13015208]]
ablution,[[0.12937795]]
ablutions,[[0.15873773]]
ably,[[0.12937838]]
abnegate,[[0.12939681]]
abnegated,[[0.12937577]]
abnegates,[[0.12937115]]
abnegating,[[0.12938967]]
abnegation,[[0.1294015]]
abnormal,[[0.12937541]]
abnormalities,[[0.12938912]]
