Word, Value
no,[[0.12051468]]
th,[[-0.12065048]]
tm,[[-0.12051881]]
aa,[[-0.12052392]]
aah,[[-0.12051502]]
aalii,[[0.12051468]]
aardvark,[[0.12051468]]
aardvarks,[[0.12051468]]
aardwolf,[[0.12051468]]
ab,[[-0.1205344]]
aba,[[-0.12051499]]
abaca,[[0.12051363]]
abacas,[[0.12049729]]
abacist,[[0.12051468]]
aback,[[-0.12074733]]
abacus,[[0.12051237]]
abacuses,[[0.12051406]]
abaft,[[0.12051465]]
abalone,[[0.12051384]]
abalones,[[0.12051459]]
abamp,[[-0.12052047]]
abandon,[[-0.12060329]]
abandoned,[[-0.12062202]]
abandonedly,[[-0.12052071]]
abandoning,[[-0.12051494]]
abandonment,[[-0.12052346]]
abandons,[[-0.12085261]]
abas,[[-0.12051626]]
abase,[[-0.12056728]]
abased,[[-0.12077653]]
abasement,[[-0.1205411]]
abases,[[-0.12052523]]
abash,[[-0.12056576]]
abashed,[[-0.12055267]]
abashedly,[[0.12051468]]
abashes,[[-0.12065158]]
abashing,[[-0.12055464]]
abashment,[[0.12050389]]
abasing,[[-0.12051833]]
abate,[[-0.1205574]]
abated,[[-0.1205508]]
abatement,[[0.12051342]]
abates,[[-0.1205255]]
abating,[[-0.12051559]]
abatis,[[0.12051461]]
abattoir,[[0.12051295]]
abattoirs,[[-0.1205148]]
abaxial,[[0.12051468]]
abb,[[-0.12051669]]
abba,[[-0.12053134]]
abbacies,[[-0.1205207]]
abbacy,[[-0.12051515]]
abbatial,[[-0.12088449]]
abbe,[[-0.12073593]]
abbes,[[-0.12051731]]
abbess,[[-0.12063981]]
abbesses,[[-0.12051553]]
abbey,[[-0.12210248]]
abbeys,[[-0.12052423]]
abbot,[[-0.12054299]]
abbots,[[-0.12061881]]
abbr,[[-0.12051482]]
abbrev,[[-0.1205148]]
abbreviate,[[0.12051155]]
abbreviated,[[-0.12053052]]
abbreviates,[[-0.12051651]]
abbreviating,[[0.1205029]]
abbreviation,[[0.12050869]]
abbreviations,[[-0.12093155]]
abbreviator,[[-0.1205245]]
abbrevs,[[0.12051468]]
abdicate,[[-0.12055732]]
abdicated,[[-0.12143628]]
abdicates,[[0.12051452]]
abdicating,[[-0.12105118]]
abdication,[[-0.12177296]]
abdications,[[-0.12056728]]
abdicator,[[-0.12051517]]
abdicators,[[0.12051468]]
abdomen,[[0.12047789]]
abdomens,[[0.12050135]]
abdominal,[[0.12045619]]
abdominally,[[0.12051433]]
abdominous,[[0.12029596]]
abduce,[[0.12035078]]
abduced,[[0.12045489]]
abducent,[[0.12047113]]
abducing,[[0.12050358]]
abduct,[[-0.12053715]]
abducted,[[-0.12052196]]
abducting,[[-0.12051585]]
abduction,[[-0.1205152]]
abductions,[[0.12050596]]
abductor,[[-0.12052055]]
abductors,[[0.12051093]]
abducts,[[-0.12051547]]
abeam,[[-0.12052443]]
abecedarian,[[-0.12052713]]
abecedarians,[[0.12048784]]
abecedarium,[[0.12051015]]
abecedary,[[-0.12051874]]
abed,[[-0.12060751]]
abele,[[-0.12051538]]
abeles,[[-0.12051536]]
abelmosk,[[0.12051468]]
aberrance,[[0.12051045]]
aberrancies,[[-0.12051785]]
aberrancy,[[0.12042809]]
aberrant,[[0.12051268]]
aberration,[[0.12048364]]
aberrational,[[-0.12051649]]
aberrations,[[0.12019182]]
abessive,[[0.12051468]]
abet,[[-0.12051549]]
abetment,[[0.12049688]]
abetments,[[0.12051468]]
abets,[[-0.12052073]]
abetted,[[-0.12060405]]
abetter,[[-0.12052022]]
abetters,[[-0.12053106]]
abetting,[[-0.12052178]]
abettor,[[-0.12052517]]
abettors,[[-0.12051908]]
abeyance,[[0.11998608]]
abeyant,[[-0.12051523]]
abhor,[[-0.12075753]]
abhorred,[[-0.12158763]]
abhorrence,[[-0.12829527]]
abhorrent,[[-0.12075587]]
abhorrently,[[0.12050769]]
abhorrer,[[-0.1205838]]
abhorrers,[[0.12049443]]
abhorring,[[-0.1205938]]
abhors,[[-0.12054604]]
abidance,[[-0.12055253]]
abide,[[-0.12064748]]
abider,[[-0.12051638]]
abides,[[-0.12099763]]
abiding,[[-0.12127988]]
abidingly,[[0.12051302]]
abies,[[0.12045331]]
abigail,[[-0.12051779]]
abilities,[[-0.12054802]]
ability,[[0.12050933]]
abiogenesis,[[0.12049577]]
abiogenetic,[[0.12051407]]
abiotic,[[-0.12051474]]
abject,[[-0.12062602]]
abjection,[[-0.12068688]]
abjectly,[[-0.12061901]]
abjectness,[[-0.12056469]]
abjuration,[[-0.12058229]]
abjurations,[[-0.12364339]]
abjure,[[-0.12057329]]
abjured,[[-0.12052102]]
abjurer,[[0.1202741]]
abjurers,[[-0.12054992]]
abjures,[[-0.12052251]]
abjuring,[[-0.12056974]]
abl,[[-0.12051468]]
ablate,[[-0.12055883]]
ablated,[[0.12051191]]
ablating,[[0.12051416]]
ablation,[[0.12051295]]
ablations,[[0.12051462]]
ablative,[[-0.12051801]]
ablatives,[[0.12051354]]
ablaut,[[-0.12051527]]
ablaze,[[-0.12055451]]
able,[[-0.12056606]]
ablepsia,[[0.12051442]]
abler,[[0.12009341]]
ablest,[[0.12051435]]
abloom,[[-0.12078505]]
ablution,[[0.12051429]]
ablutions,[[0.12026912]]
ably,[[0.12043204]]
abnegate,[[0.12050348]]
abnegated,[[0.12051421]]
abnegates,[[-0.12051581]]
abnegating,[[-0.12052026]]
abnegation,[[-0.12065638]]
abnormal,[[0.12050968]]
abnormalities,[[0.12050514]]
abnormality,[[0.12049719]]
abnormally,[[0.12050244]]
abnormity,[[0.1205125]]
aboard,[[-0.12053836]]
abode,[[-0.12051756]]
abodes,[[-0.12051484]]
abolish,[[0.12051272]]
abolished,[[-0.12055822]]
abolisher,[[0.12050302]]
abolishes,[[-0.12051569]]
abolishing,[[0.12048037]]
abolishment,[[0.12051358]]
abolishments,[[0.12051468]]
abolition,[[0.12050216]]
abolitionism,[[0.12050335]]
abolitionist,[[0.11930012]]
abolitionists,[[0.12050074]]
abomasum,[[0.12051399]]
abominable,[[-0.12064056]]
abominably,[[-0.12054884]]
abominate,[[-0.12051761]]
abominated,[[-0.12359221]]
abominates,[[-0.12062617]]
abominating,[[-0.12051802]]
abomination,[[-0.12063804]]
abominations,[[-0.12057355]]
abominator,[[-0.12051844]]
abominators,[[0.12049751]]
aboral,[[-0.1205147]]
aboriginal,[[0.12047708]]
aboriginally,[[-0.12059336]]
aboriginals,[[0.12050671]]
aborigine,[[0.12051461]]
aborigines,[[0.11970625]]
aborning,[[-0.12052523]]
abort,[[0.12048821]]
aborted,[[0.1205092]]
aborticide,[[0.12051462]]
abortifacient,[[0.12051374]]
abortifacients,[[0.12049431]]
aborting,[[0.12050067]]
abortion,[[0.12050986]]
