Word, Value
no,[[0.17925207]]
th,[[-0.17932314]]
tm,[[-0.17925435]]
aa,[[-0.18119232]]
aah,[[-0.17926626]]
aalii,[[0.17925207]]
aardvark,[[0.17925197]]
aardvarks,[[0.17924936]]
aardwolf,[[0.17925039]]
ab,[[-0.17926814]]
aba,[[-0.17930008]]
abaca,[[-0.18943156]]
abacas,[[0.17924757]]
abacist,[[-0.17925765]]
aback,[[-0.18030654]]
abacus,[[-0.17925407]]
abacuses,[[-0.17927323]]
abaft,[[-0.17943266]]
abalone,[[-0.1792533]]
abalones,[[-0.17981218]]
abamp,[[-0.17931116]]
abandon,[[-0.17925417]]
abandoned,[[0.17924982]]
abandonedly,[[-0.17925638]]
abandoning,[[-0.17926343]]
abandonment,[[-0.1793742]]
abandons,[[-0.17971899]]
abas,[[-0.18220504]]
abase,[[-0.17931674]]
abased,[[-0.17931521]]
abasement,[[-0.17931429]]
abases,[[-0.17925847]]
abash,[[-0.17926107]]
abashed,[[-0.18000612]]
abashedly,[[-0.17925246]]
abashes,[[0.17918548]]
abashing,[[-0.18116352]]
abashment,[[-0.17938933]]
abasing,[[-0.17942521]]
abate,[[-0.17925525]]
abated,[[0.17923781]]
abatement,[[0.1792518]]
abates,[[-0.17940722]]
abating,[[-0.17968069]]
abatis,[[0.17924735]]
abattoir,[[-0.17934625]]
abattoirs,[[-0.17925218]]
abaxial,[[0.17925128]]
abb,[[-0.17925288]]
abba,[[-0.17947833]]
abbacies,[[-0.17994496]]
abbacy,[[-0.17934625]]
abbatial,[[-0.17925866]]
abbe,[[-0.17927508]]
abbes,[[0.1792478]]
abbess,[[-0.17928053]]
abbesses,[[-0.17925286]]
abbey,[[0.17919981]]
abbeys,[[-0.17949621]]
abbot,[[-0.17925714]]
abbots,[[-0.17931759]]
abbr,[[-0.17945151]]
abbrev,[[-0.17926751]]
abbreviate,[[-0.17927878]]
abbreviated,[[-0.17925593]]
abbreviates,[[-0.17926268]]
abbreviating,[[0.17924434]]
abbreviation,[[-0.18029681]]
abbreviations,[[-0.17926006]]
abbreviator,[[0.17918999]]
abbrevs,[[-0.17925358]]
abdicate,[[0.17925104]]
abdicated,[[0.17906584]]
abdicates,[[-0.17925309]]
abdicating,[[0.17740601]]
abdication,[[0.17863546]]
abdications,[[0.17924814]]
abdicator,[[-0.17927627]]
abdicators,[[0.17924902]]
abdomen,[[-0.1792787]]
abdomens,[[-0.1792541]]
abdominal,[[-0.17926274]]
abdominally,[[-0.17928053]]
abdominous,[[-0.18073097]]
abduce,[[-0.17926362]]
abduced,[[-0.1792873]]
abducent,[[-0.17933623]]
abducing,[[-0.17938548]]
abduct,[[-0.17934014]]
abducted,[[-0.17944854]]
abducting,[[-0.17925318]]
abduction,[[-0.17935598]]
abductions,[[-0.17927346]]
abductor,[[-0.17925549]]
abductors,[[-0.17943758]]
abducts,[[0.17925173]]
abeam,[[-0.17925842]]
abecedarian,[[-0.17928974]]
abecedarians,[[0.17924251]]
abecedarium,[[-0.17932072]]
abecedary,[[-0.17925434]]
abed,[[-0.17992197]]
abele,[[-0.17925246]]
abeles,[[-0.17926569]]
abelmosk,[[0.17925207]]
aberrance,[[-0.17926836]]
aberrancies,[[-0.17925221]]
aberrancy,[[-0.17925571]]
aberrant,[[-0.17925307]]
aberration,[[-0.17925297]]
aberrational,[[0.1792506]]
aberrations,[[-0.1792677]]
abessive,[[-0.1792528]]
abet,[[-0.17930532]]
abetment,[[-0.17925735]]
abetments,[[-0.17925335]]
abets,[[-0.17926066]]
abetted,[[-0.17932001]]
abetter,[[-0.17943244]]
