Word, Value
no,[[0.10653029]]
th,[[0.10656762]]
tm,[[0.10653268]]
aa,[[0.10653645]]
aah,[[0.10653164]]
aalii,[[0.10653189]]
aardvark,[[0.10653868]]
aardvarks,[[0.10653767]]
aardwolf,[[0.10653451]]
ab,[[0.1065401]]
aba,[[0.10653535]]
abaca,[[0.10656464]]
abacas,[[0.10653763]]
abacist,[[0.10653042]]
aback,[[0.10655244]]
abacus,[[0.10653292]]
abacuses,[[0.10653692]]
abaft,[[0.10658883]]
abalone,[[0.10653611]]
abalones,[[0.10653166]]
abamp,[[0.10653029]]
abandon,[[0.10655777]]
abandoned,[[0.10842599]]
abandonedly,[[0.10653049]]
abandoning,[[0.10654491]]
abandonment,[[0.10663494]]
abandons,[[0.11305189]]
abas,[[0.10653105]]
abase,[[0.10661316]]
abased,[[0.1065945]]
abasement,[[0.10865163]]
abases,[[0.10667804]]
abash,[[0.10656191]]
abashed,[[0.10653353]]
abashedly,[[0.10653508]]
abashes,[[0.10653066]]
abashing,[[0.10654257]]
abashment,[[0.10653114]]
abasing,[[0.10657778]]
abate,[[0.10653999]]
abated,[[0.10672823]]
abatement,[[0.10653776]]
abates,[[0.10656013]]
abating,[[0.10670023]]
abatis,[[0.10653817]]
abattoir,[[0.10653191]]
abattoirs,[[0.10653071]]
abaxial,[[0.10653324]]
abb,[[0.10664842]]
abba,[[0.10659041]]
abbacies,[[0.10654613]]
abbacy,[[0.10664666]]
abbatial,[[0.10653533]]
abbe,[[0.10654467]]
abbes,[[0.1065307]]
abbess,[[0.10692963]]
abbesses,[[0.10653997]]
abbey,[[0.106544]]
abbeys,[[0.10655168]]
abbot,[[0.10653183]]
abbots,[[0.10653253]]
abbr,[[0.10653294]]
abbrev,[[0.10744946]]
abbreviate,[[0.10653467]]
abbreviated,[[0.10653757]]
abbreviates,[[0.106535]]
abbreviating,[[0.10653269]]
abbreviation,[[0.10653279]]
abbreviations,[[0.10654268]]
abbreviator,[[0.10654384]]
abbrevs,[[0.10653036]]
abdicate,[[0.10661876]]
abdicated,[[0.10654741]]
abdicates,[[0.10653484]]
abdicating,[[0.10782357]]
abdication,[[0.11024757]]
abdications,[[0.10654671]]
abdicator,[[0.10653029]]
abdicators,[[0.1065766]]
