Word, Value
no,[[0.07229558]]
th,[[0.07274067]]
tm,[[0.07234037]]
aa,[[0.07250097]]
aah,[[0.07229988]]
aalii,[[0.07229558]]
aardvark,[[0.0722958]]
aardvarks,[[0.07229985]]
aardwolf,[[0.07229631]]
ab,[[0.07230107]]
aba,[[0.07229935]]
abaca,[[0.07229791]]
abacas,[[0.0723042]]
abacist,[[0.07229558]]
aback,[[0.07893348]]
abacus,[[0.07229942]]
abacuses,[[0.07229576]]
abaft,[[0.07246777]]
abalone,[[0.07229702]]
abalones,[[0.07230012]]
abamp,[[0.07234311]]
abandon,[[0.07555062]]
abandoned,[[0.07662882]]
abandonedly,[[0.07234292]]
abandoning,[[0.08541019]]
abandonment,[[0.07629245]]
abandons,[[0.07236465]]
abas,[[0.0723949]]
abase,[[0.07323493]]
abased,[[0.07258403]]
abasement,[[0.07943004]]
abases,[[0.07240836]]
abash,[[0.07350754]]
abashed,[[0.0776411]]
abashedly,[[0.07230148]]
abashes,[[0.07302424]]
abashing,[[0.07392247]]
abashment,[[0.07246949]]
abasing,[[0.07566059]]
abate,[[0.07239051]]
abated,[[0.07385234]]
abatement,[[0.07258582]]
abates,[[0.07254657]]
abating,[[0.0723381]]
abatis,[[0.07231349]]
abattoir,[[0.07254878]]
abattoirs,[[0.07230034]]
abaxial,[[0.07229558]]
abb,[[0.07230445]]
abba,[[0.07263806]]
abbacies,[[0.07233655]]
abbacy,[[0.07235652]]
abbatial,[[0.07236771]]
abbe,[[0.07231035]]
abbes,[[0.07230175]]
abbess,[[0.09483937]]
abbesses,[[0.07229757]]
abbey,[[0.08306597]]
abbeys,[[0.07239528]]
abbot,[[0.08442101]]
abbots,[[0.0723367]]
abbr,[[0.07234776]]
abbrev,[[0.07306625]]
abbreviate,[[0.07230958]]
abbreviated,[[0.07912281]]
abbreviates,[[0.07234471]]
abbreviating,[[0.07396328]]
abbreviation,[[0.07282725]]
abbreviations,[[0.07266314]]
abbreviator,[[0.07231183]]
abbrevs,[[0.07229754]]
abdicate,[[0.07283576]]
abdicated,[[0.07435582]]
abdicates,[[0.07254947]]
abdicating,[[0.07292679]]
abdication,[[0.07348417]]
abdications,[[0.07448731]]
abdicator,[[0.07229599]]
abdicators,[[0.07229663]]
abdomen,[[0.07233239]]
abdomens,[[0.07247689]]
abdominal,[[0.07229796]]
abdominally,[[0.07229725]]
abdominous,[[0.07229844]]
abduce,[[0.07244848]]
abduced,[[0.07229822]]
abducent,[[0.07239654]]
abducing,[[0.07231537]]
abduct,[[0.07261799]]
abducted,[[0.07255146]]
abducting,[[0.07229917]]
abduction,[[0.07237194]]
abductions,[[0.07232358]]
abductor,[[0.07231937]]
abductors,[[0.0723943]]
abducts,[[0.0723139]]
abeam,[[0.07235269]]
abecedarian,[[0.07230566]]
abecedarians,[[0.07231653]]
abecedarium,[[0.07234527]]
abecedary,[[0.07229654]]
abed,[[0.07316475]]
abele,[[0.07232828]]
abeles,[[0.07229987]]
abelmosk,[[0.07229558]]
aberrance,[[0.07230392]]
aberrancies,[[0.07238317]]
aberrancy,[[0.0722971]]
aberrant,[[0.07231521]]
aberration,[[0.07252442]]
aberrational,[[0.07230251]]
aberrations,[[0.07230457]]
abessive,[[0.07231365]]
abet,[[0.07301738]]
abetment,[[0.07243923]]
abetments,[[0.0722988]]
abets,[[0.07665794]]
abetted,[[0.07230331]]
abetter,[[0.07230089]]
abetters,[[0.07234979]]
abetting,[[0.07280678]]
abettor,[[0.07570948]]
abettors,[[0.07231218]]
abeyance,[[0.07258482]]
abeyant,[[0.07229633]]
abhor,[[0.07232515]]
abhorred,[[0.0740876]]
abhorrence,[[0.08944266]]
abhorrent,[[0.07373836]]
abhorrently,[[0.07229663]]
abhorrer,[[0.07230485]]
abhorrers,[[0.0723168]]
abhorring,[[0.07232705]]
abhors,[[0.07314353]]
abidance,[[0.07229933]]
abide,[[0.07231688]]
abider,[[0.07230849]]
abides,[[0.0723561]]
abiding,[[0.0727964]]
abidingly,[[0.07230181]]
abies,[[0.07237065]]
abigail,[[0.07234137]]
abilities,[[0.08744979]]
ability,[[0.07269772]]
abiogenesis,[[0.07233988]]
abiogenetic,[[0.07235187]]
abiotic,[[0.07229574]]
abject,[[0.07255631]]
abjection,[[0.07237216]]
abjectly,[[0.0736622]]
abjectness,[[0.07370617]]
abjuration,[[0.07525207]]
abjurations,[[0.07268773]]
abjure,[[0.07231016]]
abjured,[[0.07249977]]
abjurer,[[0.07542598]]
abjurers,[[0.0722959]]
abjures,[[0.07267056]]
abjuring,[[0.07234073]]
abl,[[0.07234139]]
ablate,[[0.07229773]]
ablated,[[0.07231456]]
ablating,[[0.07229593]]
ablation,[[0.07230224]]
ablations,[[0.07229599]]
ablative,[[0.07229955]]
ablatives,[[0.07230065]]
ablaut,[[0.07229711]]
ablaze,[[0.07233272]]
able,[[0.0726684]]
ablepsia,[[0.07234214]]
abler,[[0.07321741]]
ablest,[[0.07283743]]
abloom,[[0.07297461]]
ablution,[[0.07233334]]
ablutions,[[0.07271978]]
ably,[[0.07244851]]
abnegate,[[0.07229913]]
abnegated,[[0.07230497]]
abnegates,[[0.07229753]]
abnegating,[[0.07238923]]
abnegation,[[0.07259285]]
abnormal,[[0.07366192]]
abnormalities,[[0.07230566]]
abnormality,[[0.0723121]]
abnormally,[[0.07231067]]
abnormity,[[0.07229694]]
aboard,[[0.07243933]]
abode,[[0.0749627]]
abodes,[[0.07237682]]
abolish,[[0.0726148]]
abolished,[[0.07237741]]
abolisher,[[0.07231899]]
abolishes,[[0.07233343]]
abolishing,[[0.07232327]]
abolishment,[[0.07231769]]
abolishments,[[0.07229558]]
abolition,[[0.07230502]]
abolitionism,[[0.07229722]]
abolitionist,[[0.07244705]]
abolitionists,[[0.0761452]]
abomasum,[[0.07230137]]
abominable,[[0.07258939]]
abominably,[[0.07246809]]
abominate,[[0.07244619]]
abominated,[[0.07246607]]
abominates,[[0.0786406]]
abominating,[[0.07252275]]
abomination,[[0.07251495]]
abominations,[[0.07615091]]
abominator,[[0.07249488]]
abominators,[[0.07229708]]
aboral,[[0.07230189]]
aboriginal,[[0.07247191]]
aboriginally,[[0.0723]]
aboriginals,[[0.07274235]]
aborigine,[[0.07234974]]
aborigines,[[0.07230493]]
aborning,[[0.07232726]]
abort,[[0.0722966]]
aborted,[[0.07229646]]
