Word, Value
no,[[0.09495083]]
th,[[0.09499074]]
tm,[[0.09495103]]
aa,[[0.09495708]]
aah,[[-0.09495063]]
aalii,[[0.09495083]]
aardvark,[[0.09495083]]
aardvarks,[[0.09495083]]
aardwolf,[[0.09495083]]
ab,[[0.09495795]]
aba,[[0.09495161]]
abaca,[[-0.09494898]]
abacas,[[0.09495083]]
abacist,[[0.09495083]]
aback,[[0.0949808]]
abacus,[[0.0949513]]
abacuses,[[0.09495242]]
abaft,[[0.09496032]]
abalone,[[0.09495743]]
abalones,[[0.09496716]]
abamp,[[0.09495083]]
abandon,[[0.09675639]]
abandoned,[[0.09574615]]
abandonedly,[[0.09496094]]
abandoning,[[0.09497983]]
abandonment,[[0.09500069]]
abandons,[[0.09511217]]
abas,[[0.09509059]]
abase,[[0.09497304]]
abased,[[0.09495633]]
abasement,[[0.09604809]]
abases,[[0.0952825]]
abash,[[0.09495319]]
abashed,[[0.09504873]]
abashedly,[[-0.09493978]]
abashes,[[0.09512845]]
abashing,[[0.09496231]]
abashment,[[0.09510852]]
abasing,[[0.09534218]]
abate,[[0.09557263]]
abated,[[0.09521883]]
abatement,[[0.09519458]]
abates,[[0.09501754]]
abating,[[0.09495525]]
abatis,[[0.09587624]]
abattoir,[[0.09498236]]
abattoirs,[[0.0949513]]
abaxial,[[0.09495083]]
abb,[[0.09511197]]
abba,[[0.09503949]]
abbacies,[[0.09495798]]
abbacy,[[0.09496509]]
abbatial,[[0.09506603]]
abbe,[[0.09504415]]
abbes,[[0.09495299]]
abbess,[[0.09499204]]
abbesses,[[0.09495244]]
abbey,[[0.09500832]]
abbeys,[[0.09638342]]
abbot,[[0.09497953]]
abbots,[[0.09511838]]
abbr,[[0.09497527]]
abbrev,[[0.09496888]]
abbreviate,[[0.0951695]]
abbreviated,[[0.09645107]]
abbreviates,[[0.09495576]]
abbreviating,[[0.09496747]]
abbreviation,[[0.09498607]]
abbreviations,[[0.09495216]]
abbreviator,[[0.09590229]]
abbrevs,[[0.09495083]]
abdicate,[[0.09497417]]
abdicated,[[0.09624643]]
abdicates,[[0.09495296]]
abdicating,[[0.09699149]]
abdication,[[0.09570614]]
abdications,[[0.09496839]]
abdicator,[[0.09500023]]
abdicators,[[0.09495083]]
abdomen,[[0.09496689]]
abdomens,[[0.09496477]]
abdominal,[[0.09495101]]
abdominally,[[0.09495083]]
abdominous,[[0.09498856]]
abduce,[[0.09495741]]
abduced,[[0.09496626]]
abducent,[[0.09501605]]
abducing,[[0.0950262]]
abduct,[[0.09495155]]
abducted,[[0.09497666]]
abducting,[[0.09495183]]
abduction,[[0.0950022]]
abductions,[[0.09496073]]
abductor,[[0.09495099]]
abductors,[[0.09495109]]
abducts,[[0.0950431]]
abeam,[[0.09499863]]
abecedarian,[[0.0952028]]
abecedarians,[[0.09495083]]
abecedarium,[[0.09495901]]
abecedary,[[0.09495103]]
abed,[[0.09496539]]
abele,[[0.09502589]]
abeles,[[-0.09495037]]
abelmosk,[[0.09495083]]
aberrance,[[0.09495083]]
aberrancies,[[0.09495083]]
aberrancy,[[0.09579819]]
aberrant,[[0.09496617]]
aberration,[[0.09495657]]
aberrational,[[0.09495083]]
aberrations,[[0.09495389]]
abessive,[[0.09495083]]
abet,[[0.09495356]]
abetment,[[0.09496063]]
abetments,[[0.09495083]]
abets,[[0.09514377]]
abetted,[[0.09497724]]
abetter,[[0.09505522]]
abetters,[[0.0953058]]
abetting,[[0.094998]]
abettor,[[0.09496029]]
abettors,[[0.09499008]]
abeyance,[[0.09502187]]
abeyant,[[0.09535962]]
abhor,[[0.09502394]]
abhorred,[[0.09541949]]
abhorrence,[[0.10053336]]
abhorrent,[[0.09513561]]
abhorrently,[[0.09500878]]
abhorrer,[[0.09496514]]
abhorrers,[[0.09495167]]
abhorring,[[0.10571201]]
abhors,[[0.0949908]]
abidance,[[0.09496191]]
abide,[[0.09497301]]
abider,[[0.09497825]]
abides,[[0.09495648]]
abiding,[[0.09497498]]
abidingly,[[0.09498034]]
abies,[[0.0949511]]
abigail,[[0.09495272]]
abilities,[[0.09537255]]
ability,[[0.09664828]]
abiogenesis,[[0.09501207]]
abiogenetic,[[0.09495083]]
abiotic,[[0.09495841]]
abject,[[0.09501196]]
abjection,[[0.09790447]]
abjectly,[[0.09560545]]
abjectness,[[0.09508397]]
abjuration,[[0.09829131]]
abjurations,[[0.09582241]]
abjure,[[0.10163364]]
abjured,[[0.09499769]]
abjurer,[[0.09499644]]
abjurers,[[0.09495083]]
abjures,[[0.09557698]]
abjuring,[[0.09506384]]
abl,[[0.09495092]]
ablate,[[0.09495503]]
ablated,[[0.09495358]]
ablating,[[0.09519234]]
ablation,[[0.09505995]]
ablations,[[0.09517069]]
ablative,[[0.09495109]]
ablatives,[[-0.0949508]]
ablaut,[[0.09495083]]
ablaze,[[0.09497194]]
able,[[0.09586559]]
ablepsia,[[-0.09494608]]
abler,[[0.09813198]]
ablest,[[0.09560551]]
abloom,[[0.09500748]]
ablution,[[0.09517038]]
ablutions,[[0.09499023]]
ably,[[0.09497773]]
abnegate,[[0.09495496]]
abnegated,[[0.09495788]]
abnegates,[[0.09504713]]
abnegating,[[0.09499102]]
abnegation,[[0.09523469]]
abnormal,[[0.09569418]]
abnormalities,[[0.0949547]]
abnormality,[[0.09497698]]
abnormally,[[0.09495325]]
abnormity,[[0.09495191]]
aboard,[[0.09527759]]
abode,[[0.09515696]]
abodes,[[0.09497344]]
abolish,[[0.09520919]]
abolished,[[0.09552412]]
abolisher,[[0.09495901]]
abolishes,[[0.09496618]]
abolishing,[[0.2697227]]
abolishment,[[0.09497409]]
abolishments,[[0.09495083]]
abolition,[[0.09495755]]
abolitionism,[[0.09495261]]
abolitionist,[[0.09495264]]
abolitionists,[[0.09684973]]
abomasum,[[0.09504897]]
abominable,[[0.09755421]]
abominably,[[0.09496553]]
abominate,[[0.0949809]]
abominated,[[0.09495354]]
abominates,[[0.09495643]]
abominating,[[0.09510853]]
abomination,[[0.09520438]]
abominations,[[0.09532975]]
abominator,[[0.0949514]]
abominators,[[0.09495083]]
aboral,[[0.09495083]]
aboriginal,[[0.09508386]]
aboriginally,[[0.09495133]]
aboriginals,[[0.09495476]]
aborigine,[[0.09495127]]
aborigines,[[0.1001967]]
aborning,[[0.09495179]]
abort,[[0.09495214]]
aborted,[[0.09502726]]
aborticide,[[-0.0944983]]
abortifacient,[[-0.09494149]]
abortifacients,[[0.09495083]]
aborting,[[0.09495088]]
abortion,[[0.09495404]]
abortionist,[[0.09495083]]
abortionists,[[0.09495133]]
abortions,[[0.09495689]]
abortive,[[0.09495772]]
abortively,[[0.09495175]]
aborts,[[-0.09495036]]
aboulia,[[0.09495083]]
abound,[[0.09514025]]
abounded,[[0.09495672]]
abounding,[[0.09720058]]
abounds,[[0.09496725]]
aboveboard,[[0.09499346]]
aboveground,[[0.09495112]]
abr,[[0.09603939]]
abracadabra,[[0.09516018]]
abradant,[[0.09498724]]
abradants,[[0.09495083]]
abrade,[[0.09496208]]
abraded,[[0.09495147]]
abrader,[[0.09495083]]
abraders,[[0.09495083]]
abrades,[[0.09495083]]
abrading,[[0.09495369]]
abranchiate,[[0.09495175]]
abrasion,[[0.09523641]]
abrasions,[[0.09495877]]
abrasive,[[0.09495641]]
abrasively,[[0.09495083]]
abrasives,[[0.09495083]]
abraxas,[[0.09499139]]
abreact,[[0.09495083]]
abreacted,[[0.09495083]]
abreacting,[[0.09495083]]
abreaction,[[0.09495083]]
abreast,[[0.09519202]]
abri,[[0.0957744]]
abridge,[[0.09582996]]
abridged,[[0.09500334]]
abridger,[[0.094957]]
abridgers,[[0.09495083]]
abridges,[[0.09526417]]
abridging,[[0.09496136]]
abridgment,[[0.095326]]
abridgments,[[0.09498046]]
abroach,[[0.0949555]]
abroad,[[0.09497651]]
abrogate,[[0.09748887]]
abrogated,[[0.09498983]]
abrogates,[[0.0949802]]
abrogating,[[0.09497918]]
abrogation,[[0.09529216]]
abrogations,[[0.09495083]]
abrogator,[[0.09495083]]
abrupt,[[0.09498706]]
abrupter,[[0.09495083]]
abruptest,[[0.09495457]]
abruption,[[0.09495338]]
abruptly,[[0.0967463]]
abruptness,[[0.09505393]]
abs,[[0.09495239]]
abscess,[[0.09495239]]
abscessed,[[0.09495083]]
abscesses,[[0.09495244]]
abscind,[[0.09495616]]
abscissa,[[0.09496347]]
abscissas,[[0.09517437]]
abscission,[[0.09501694]]
abscond,[[0.09927019]]
absconded,[[0.09498348]]
absconder,[[0.10258017]]
absconders,[[0.09654607]]
absconding,[[0.09513795]]
absconds,[[0.09495242]]
abseil,[[0.09503814]]
absence,[[0.09524945]]
absences,[[0.09546629]]
absent,[[0.09647551]]
absented,[[0.09609371]]
absentee,[[0.09496322]]
absenteeism,[[0.09501947]]
absentees,[[0.09496371]]
absenting,[[0.09532207]]
absently,[[0.09496109]]
absentminded,[[0.09510147]]
absentmindedly,[[0.09495889]]
absentmindedness,[[0.09495711]]
absents,[[0.11007253]]
absinthe,[[0.09495484]]
absinthism,[[0.09495083]]
absolute,[[0.09539078]]
absolutely,[[0.09537406]]
absoluteness,[[0.0949918]]
absolutes,[[0.09496846]]
absolutest,[[0.09518247]]
absolution,[[0.09504002]]
absolutism,[[0.0949892]]
absolutist,[[0.09496044]]
absolutistic,[[0.09495083]]
absolutists,[[0.09499341]]
absolvable,[[0.09495083]]
absolve,[[0.09740421]]
absolved,[[0.09532084]]
absolver,[[0.09496844]]
absolvers,[[0.09595425]]
absolves,[[0.0949723]]
absolving,[[0.09500913]]
absonant,[[0.09503202]]
absorb,[[0.09578781]]
absorbable,[[0.0952293]]
absorbed,[[0.09496632]]
absorbency,[[0.09495083]]
absorbent,[[0.0949621]]
absorbents,[[0.09495676]]
absorber,[[0.09495188]]
absorbers,[[0.09496303]]
absorbing,[[0.09507216]]
absorbingly,[[0.09500829]]
absorbs,[[0.09519094]]
absorption,[[0.09551857]]
absorptions,[[0.0949547]]
absorptive,[[0.09495207]]
absorptivities,[[0.09495083]]
absorptivity,[[0.09495083]]
absquatulate,[[0.09496939]]
absquatulated,[[0.09521551]]
absquatulates,[[0.09495083]]
absquatulating,[[0.09502521]]
abstain,[[0.09496286]]
abstained,[[0.0958095]]
abstainer,[[0.09512342]]
abstainers,[[0.09496588]]
abstaining,[[0.09511367]]
abstains,[[0.09519491]]
abstemious,[[0.09495462]]
abstemiously,[[0.09495648]]
abstemiousness,[[0.17409094]]
abstention,[[0.09517594]]
abstentions,[[0.09496554]]
abstergent,[[0.09495559]]
abstinence,[[0.09504741]]
abstinent,[[0.09495784]]
abstract,[[0.09514491]]
abstracted,[[0.09505794]]
abstractedly,[[0.09495385]]
abstractedness,[[0.09495329]]
abstracter,[[0.0954052]]
abstracting,[[0.09501354]]
abstraction,[[0.09582162]]
abstractionism,[[0.09495083]]
abstractionist,[[0.09501451]]
abstractionists,[[0.09495385]]
abstractions,[[0.09520782]]
abstractly,[[0.09500115]]
abstractness,[[0.09497939]]
abstracts,[[0.09495483]]
abstriction,[[0.09495083]]
abstruse,[[0.09956543]]
abstrusely,[[0.09496895]]
abstruseness,[[0.09526991]]
absurd,[[0.09971198]]
absurder,[[0.09495264]]
absurdest,[[0.09499052]]
absurdist,[[0.09495762]]
absurdities,[[0.09497938]]
absurdity,[[0.09496306]]
absurdly,[[0.09498]]
absurdness,[[0.09509349]]
abulia,[[0.09495247]]
abulias,[[0.09495083]]
abulic,[[0.09495083]]
abundance,[[0.09599572]]
abundances,[[0.09495209]]
abundant,[[0.09504875]]
abundantly,[[0.09554126]]
abuse,[[0.09496997]]
abused,[[0.09501238]]
abuser,[[0.09524535]]
abusers,[[0.09692799]]
abuses,[[0.09498572]]
abusing,[[0.09547505]]
abusive,[[0.09500675]]
abusively,[[0.09497935]]
abusiveness,[[0.09495616]]
abut,[[-0.09494977]]
abutilon,[[0.09495934]]
abutment,[[0.09495158]]
abutments,[[0.09495259]]
abuts,[[0.09501115]]
abuttal,[[0.09495296]]
abuttals,[[0.09496751]]
abutted,[[0.09495708]]
abutters,[[0.09495465]]
abutting,[[0.09518936]]
abuzz,[[0.09496024]]
aby,[[0.09496286]]
abying,[[0.09495083]]
abysm,[[0.09526415]]
abysmal,[[0.09497491]]
abysmally,[[0.09503251]]
abysms,[[0.09495138]]
abyss,[[0.09499113]]
abyssal,[[0.09495594]]
abysses,[[0.09518196]]
ac,[[0.09503501]]
acacia,[[0.09522913]]
acacias,[[0.09496268]]
academe,[[0.09495433]]
academia,[[0.09605219]]
academic,[[0.09495255]]
academical,[[0.09498461]]
academically,[[0.09512881]]
academician,[[0.09571973]]
academicians,[[0.09510642]]
academicism,[[0.09497899]]
academics,[[0.09496205]]
academies,[[0.09495316]]
academism,[[0.09495083]]
academy,[[0.09495342]]
acaleph,[[0.09495211]]
acanthaceous,[[0.09495083]]
acanthoid,[[0.09495083]]
acanthopterygian,[[0.09495083]]
acanthopterygians,[[0.09495177]]
acanthus,[[0.09496451]]
acanthuses,[[0.09496377]]
acari,[[0.09496405]]
acariasis,[[0.09495083]]
acarid,[[0.09495408]]
acaroid,[[0.09495083]]
acarology,[[0.09495083]]
acarpous,[[0.09496348]]
acarus,[[0.09495839]]
acatalectic,[[0.09495471]]
acaulescent,[[0.09509987]]
acc,[[0.09495123]]
accede,[[0.09504813]]
acceded,[[0.09496088]]
accedence,[[0.09495181]]
accedes,[[0.0949619]]
acceding,[[0.09496477]]
accel,[[0.09495083]]
accelerando,[[0.09496038]]
accelerandos,[[0.09495083]]
accelerant,[[-0.09494936]]
accelerate,[[0.09496903]]
accelerated,[[0.0949825]]
accelerates,[[0.09510754]]
accelerating,[[0.09495968]]
acceleration,[[0.09495252]]
accelerations,[[0.09495115]]
accelerative,[[0.09512857]]
accelerator,[[0.09495267]]
accelerators,[[0.09495185]]
accelerometer,[[0.09495083]]
accelerometers,[[0.09495083]]
accent,[[0.09497752]]
accented,[[0.09520121]]
accenting,[[0.09495703]]
accentor,[[0.09495251]]
accentors,[[0.09495083]]
accents,[[0.09497131]]
accentual,[[0.09513308]]
accentuate,[[0.09497127]]
accentuated,[[0.09498805]]
accentuates,[[0.09495357]]
accentuating,[[0.09495935]]
accentuation,[[0.0949515]]
accept,[[0.094974]]
acceptability,[[0.09495209]]
acceptable,[[0.09613802]]
acceptableness,[[0.09520032]]
