Word, Value
no,[[0.07369446]]
th,[[0.0737876]]
tm,[[0.07369753]]
aa,[[0.07372682]]
aah,[[0.07376885]]
aalii,[[0.07369601]]
aardvark,[[0.07369535]]
aardvarks,[[0.07369446]]
aardwolf,[[0.07370197]]
ab,[[0.0743861]]
aba,[[0.07371772]]
abaca,[[0.07370698]]
abacas,[[0.07369885]]
abacist,[[0.07369477]]
aback,[[0.07383963]]
abacus,[[0.07370406]]
abacuses,[[0.07369615]]
abaft,[[0.07373222]]
abalone,[[0.07370552]]
abalones,[[0.07370325]]
abamp,[[0.07369674]]
abandon,[[0.0739134]]
abandoned,[[0.074028]]
abandonedly,[[0.07369836]]
abandoning,[[0.07380392]]
abandonment,[[0.07381916]]
abandons,[[0.07371387]]
abas,[[0.07375667]]
abase,[[0.07384102]]
abased,[[0.07371998]]
abasement,[[0.07391889]]
abases,[[0.07375586]]
abash,[[0.0737162]]
abashed,[[0.08250096]]
abashedly,[[0.07369446]]
abashes,[[0.07371292]]
abashing,[[0.07376315]]
abashment,[[0.07385535]]
abasing,[[0.08189289]]
abate,[[0.07382639]]
abated,[[0.07395038]]
abatement,[[0.07411367]]
abates,[[0.07374955]]
abating,[[0.0738609]]
abatis,[[0.07373802]]
abattoir,[[0.07399863]]
abattoirs,[[0.07369509]]
abaxial,[[0.07369446]]
abb,[[0.07369681]]
abba,[[0.07399038]]
abbacies,[[0.07369736]]
abbacy,[[0.07371915]]
abbatial,[[0.0737229]]
abbe,[[0.07392363]]
abbes,[[0.07375086]]
abbess,[[0.07377253]]
abbesses,[[0.07391489]]
abbey,[[0.074113]]
abbeys,[[0.08283979]]
abbot,[[0.07370175]]
abbots,[[0.07714713]]
abbr,[[0.07369535]]
abbrev,[[0.07370247]]
abbreviate,[[0.07370204]]
abbreviated,[[0.07383525]]
abbreviates,[[0.07402226]]
abbreviating,[[0.07370272]]
abbreviation,[[0.07573724]]
abbreviations,[[0.07376146]]
abbreviator,[[0.07370292]]
abbrevs,[[0.07369848]]
abdicate,[[0.07370137]]
abdicated,[[0.07392329]]
abdicates,[[0.07369632]]
abdicating,[[0.07373995]]
abdication,[[0.07396427]]
abdications,[[0.07394724]]
abdicator,[[-0.07368127]]
abdicators,[[0.07369446]]
abdomen,[[0.07378885]]
abdomens,[[0.0737886]]
abdominal,[[0.07369629]]
abdominally,[[0.07372963]]
abdominous,[[0.08701675]]
abduce,[[0.07390765]]
abduced,[[0.07379004]]
abducent,[[0.07377378]]
abducing,[[0.07382883]]
abduct,[[0.07409107]]
abducted,[[0.07556248]]
abducting,[[0.0745455]]
abduction,[[0.07370143]]
abductions,[[0.07369785]]
abductor,[[0.07369953]]
abductors,[[0.07437036]]
abducts,[[0.07370161]]
abeam,[[0.07370297]]
abecedarian,[[0.07369976]]
abecedarians,[[0.07369578]]
abecedarium,[[0.07369539]]
abecedary,[[0.07374524]]
abed,[[0.07960108]]
abele,[[0.07372669]]
abeles,[[0.07369654]]
abelmosk,[[0.07369446]]
aberrance,[[0.07372428]]
aberrancies,[[0.07369715]]
aberrancy,[[0.07369545]]
aberrant,[[0.07371715]]
aberration,[[0.07373411]]
aberrational,[[0.07369598]]
aberrations,[[0.07370023]]
abessive,[[0.07369446]]
abet,[[0.07371065]]
abetment,[[0.07391462]]
abetments,[[0.07369446]]
abets,[[0.07712361]]
abetted,[[0.07372916]]
abetter,[[0.07518041]]
abetters,[[0.07369934]]
abetting,[[0.07539012]]
abettor,[[0.07371669]]
abettors,[[0.07371995]]
abeyance,[[0.07418077]]
abeyant,[[0.07435821]]
abhor,[[0.07371604]]
abhorred,[[0.07373632]]
abhorrence,[[0.07566421]]
abhorrent,[[0.07387695]]
abhorrently,[[0.07371891]]
abhorrer,[[0.07372151]]
abhorrers,[[0.0737032]]
abhorring,[[0.07375713]]
abhors,[[0.07484864]]
abidance,[[0.07371979]]
abide,[[0.07370745]]
abider,[[0.07369554]]
abides,[[0.07370585]]
abiding,[[0.07382903]]
abidingly,[[0.07369588]]
abies,[[0.07369611]]
abigail,[[0.07370359]]
abilities,[[0.07372194]]
ability,[[0.07412639]]
abiogenesis,[[0.07370307]]
abiogenetic,[[0.07373876]]
abiotic,[[0.07369446]]
abject,[[0.07382566]]
abjection,[[0.07414912]]
abjectly,[[0.07574967]]
abjectness,[[0.07384485]]
abjuration,[[0.07400855]]
abjurations,[[0.07371537]]
abjure,[[0.07388274]]
abjured,[[0.07375427]]
abjurer,[[0.11906988]]
abjurers,[[0.07370722]]
abjures,[[0.07409605]]
abjuring,[[0.07415541]]
abl,[[0.07369561]]
ablate,[[0.0736958]]
ablated,[[0.07370596]]
ablating,[[0.07369956]]
ablation,[[0.07375519]]
ablations,[[0.07372639]]
ablative,[[0.07383233]]
ablatives,[[0.07369621]]
ablaut,[[0.07369485]]
ablaze,[[0.07401928]]
able,[[0.07377058]]
ablepsia,[[-0.07369427]]
abler,[[0.07388928]]
ablest,[[0.07401634]]
abloom,[[0.07369667]]
ablution,[[0.07369709]]
ablutions,[[0.07370071]]
ably,[[0.07370694]]
abnegate,[[0.07371974]]
abnegated,[[0.07371067]]
abnegates,[[0.07369892]]
abnegating,[[0.07371633]]
abnegation,[[0.07373307]]
abnormal,[[0.0738401]]
abnormalities,[[0.07372104]]
abnormality,[[0.07378734]]
abnormally,[[0.07375542]]
abnormity,[[0.07388349]]
aboard,[[0.07371435]]
abode,[[0.07605208]]
abodes,[[0.07376673]]
abolish,[[0.07370954]]
abolished,[[0.07397968]]
abolisher,[[0.0737887]]
abolishes,[[0.07406377]]
abolishing,[[0.07374991]]
abolishment,[[0.07396568]]
abolishments,[[0.07369446]]
abolition,[[0.07388955]]
abolitionism,[[0.07374151]]
abolitionist,[[0.07402456]]
abolitionists,[[0.07376915]]
abomasum,[[0.07370041]]
abominable,[[0.07375814]]
abominably,[[0.07866875]]
abominate,[[0.0739578]]
abominated,[[0.07371467]]
abominates,[[0.07371411]]
abominating,[[0.07408002]]
abomination,[[0.07380038]]
abominations,[[0.07372604]]
abominator,[[-0.07369328]]
abominators,[[0.07369573]]
aboral,[[0.07370026]]
aboriginal,[[0.07370089]]
aboriginally,[[0.07369529]]
aboriginals,[[0.07391232]]
aborigine,[[0.07408763]]
aborigines,[[0.07389111]]
aborning,[[0.07375194]]
abort,[[0.07484072]]
aborted,[[0.0738048]]
aborticide,[[0.07374728]]
abortifacient,[[0.07370199]]
abortifacients,[[0.07369509]]
aborting,[[0.0736948]]
abortion,[[0.07373247]]
abortionist,[[0.07417285]]
abortionists,[[0.07373229]]
abortions,[[0.07369705]]
abortive,[[0.07376285]]
abortively,[[0.07369629]]
aborts,[[0.07369471]]
aboulia,[[0.07369523]]
abound,[[0.07377818]]
abounded,[[0.07378125]]
abounding,[[0.07370616]]
abounds,[[0.07376245]]
aboveboard,[[0.07369811]]
aboveground,[[0.07369649]]
abr,[[0.07370428]]
abracadabra,[[0.07378019]]
abradant,[[0.07377736]]
abradants,[[0.07381123]]
abrade,[[0.07373568]]
abraded,[[0.07379837]]
abrader,[[0.07369446]]
abraders,[[0.0736947]]
abrades,[[0.07369475]]
abrading,[[0.07371216]]
abranchiate,[[0.07372838]]
abrasion,[[0.07382022]]
abrasions,[[0.07370663]]
abrasive,[[0.07370283]]
abrasively,[[0.07371248]]
abrasives,[[0.07390532]]
abraxas,[[0.0736954]]
abreact,[[0.07369477]]
abreacted,[[0.0736949]]
abreacting,[[0.0737028]]
abreaction,[[0.07371453]]
abreast,[[0.07371274]]
abri,[[0.07370242]]
