Word, Value
no,[[0.12281743]]
th,[[-0.12281685]]
tm,[[0.12281804]]
aa,[[-0.12281666]]
aah,[[-0.1228102]]
aalii,[[0.12281743]]
aardvark,[[-0.12281726]]
aardvarks,[[0.12281886]]
aardwolf,[[-0.12281518]]
ab,[[-0.1228137]]
aba,[[-0.1228119]]
abaca,[[-0.12281697]]
abacas,[[-0.12281742]]
abacist,[[-0.12281267]]
aback,[[0.12303139]]
abacus,[[0.12281936]]
abacuses,[[-0.12280971]]
abaft,[[0.12286299]]
abalone,[[-0.12281734]]
abalones,[[-0.12281194]]
abamp,[[0.12281919]]
abandon,[[0.12288289]]
abandoned,[[0.12311377]]
abandonedly,[[0.1228276]]
abandoning,[[0.12281903]]
abandonment,[[0.12428914]]
abandons,[[0.12293771]]
abas,[[-0.1228082]]
abase,[[-0.122816]]
abased,[[0.12281793]]
abasement,[[0.12283708]]
abases,[[-0.12281438]]
abash,[[0.12281787]]
abashed,[[0.1228906]]
abashedly,[[0.12282065]]
abashes,[[0.1238627]]
abashing,[[0.12283932]]
abashment,[[-0.1228173]]
abasing,[[-0.12281366]]
abate,[[0.12282181]]
abated,[[0.12293268]]
abatement,[[0.12282537]]
abates,[[-0.12265041]]
abating,[[0.12281983]]
abatis,[[0.12316093]]
abattoir,[[0.12287115]]
abattoirs,[[0.12281782]]
abaxial,[[-0.12268973]]
abb,[[0.12282813]]
abba,[[-0.12271364]]
abbacies,[[0.12281778]]
abbacy,[[0.12282726]]
abbatial,[[0.12285586]]
abbe,[[0.12283247]]
abbes,[[0.12282584]]
abbess,[[0.12281782]]
abbesses,[[0.12281755]]
abbey,[[0.12282359]]
abbeys,[[0.12337099]]
abbot,[[-0.12281696]]
abbots,[[0.12284952]]
abbr,[[0.1228214]]
abbrev,[[-0.12280497]]
abbreviate,[[0.12285062]]
abbreviated,[[0.1230006]]
abbreviates,[[0.12290631]]
abbreviating,[[0.12282129]]
abbreviation,[[0.12284637]]
abbreviations,[[0.12287416]]
abbreviator,[[-0.12277833]]
abbrevs,[[-0.12281504]]
abdicate,[[0.12298831]]
abdicated,[[0.12284257]]
abdicates,[[0.12284095]]
abdicating,[[0.12294165]]
abdication,[[0.12335485]]
abdications,[[0.12281892]]
abdicator,[[0.12281958]]
abdicators,[[0.1228351]]
abdomen,[[0.12281881]]
abdomens,[[-0.12281058]]
abdominal,[[0.1228177]]
abdominally,[[0.12281918]]
abdominous,[[0.1233347]]
abduce,[[-0.12281629]]
abduced,[[-0.12277674]]
abducent,[[-0.12281554]]
abducing,[[-0.12281661]]
abduct,[[0.12291505]]
abducted,[[-0.12281706]]
abducting,[[-0.12281704]]
abduction,[[0.12281764]]
abductions,[[0.12281765]]
abductor,[[0.12281772]]
abductors,[[0.12284494]]
abducts,[[-0.12273062]]
abeam,[[0.12282345]]
abecedarian,[[-0.12271601]]
abecedarians,[[0.12281769]]
abecedarium,[[-0.12281277]]
abecedary,[[0.12282383]]
abed,[[0.12281755]]
abele,[[-0.1227534]]
abeles,[[-0.12281737]]
abelmosk,[[-0.1228173]]
aberrance,[[0.12281749]]
aberrancies,[[0.12282096]]
aberrancy,[[0.12281746]]
aberrant,[[0.12282129]]
aberration,[[0.12286734]]
aberrational,[[0.12281758]]
aberrations,[[0.12281753]]
abessive,[[-0.1228165]]
abet,[[0.122823]]
abetment,[[0.12281822]]
abetments,[[0.12285044]]
abets,[[0.12287791]]
abetted,[[0.12282166]]
abetter,[[0.12300888]]
abetters,[[0.12282339]]
abetting,[[0.12282371]]
abettor,[[0.12287294]]
abettors,[[0.12284665]]
abeyance,[[0.12293566]]
abeyant,[[0.12281795]]
abhor,[[-0.12280854]]
abhorred,[[-0.12280132]]
abhorrence,[[0.1229347]]
abhorrent,[[0.12281977]]
abhorrently,[[0.12283921]]
abhorrer,[[0.12281753]]
abhorrers,[[0.12282114]]
abhorring,[[-0.1228148]]
abhors,[[-0.12281657]]
abidance,[[0.12281753]]
abide,[[-0.12279809]]
abider,[[0.12282227]]
abides,[[-0.12280579]]
abiding,[[0.12287179]]
abidingly,[[0.1228232]]
abies,[[0.12281752]]
abigail,[[-0.12281079]]
abilities,[[0.12311462]]
ability,[[0.12282041]]
abiogenesis,[[0.12282636]]
abiogenetic,[[-0.12280612]]
abiotic,[[0.12281886]]
abject,[[0.12282115]]
abjection,[[-0.12280739]]
abjectly,[[0.12296056]]
abjectness,[[-0.12281385]]
abjuration,[[0.12282383]]
abjurations,[[0.12283879]]
abjure,[[0.12291924]]
abjured,[[0.12281968]]
abjurer,[[0.12281889]]
abjurers,[[0.12282096]]
abjures,[[0.12286598]]
abjuring,[[0.1229625]]
abl,[[0.12281746]]
ablate,[[0.12282118]]
ablated,[[-0.12281648]]
ablating,[[0.12281743]]
ablation,[[-0.12247721]]
ablations,[[0.12281746]]
ablative,[[0.12281889]]
ablatives,[[0.12281779]]
ablaut,[[0.1228177]]
ablaze,[[0.12281929]]
able,[[0.12282515]]
ablepsia,[[-0.12277523]]
abler,[[0.12303578]]
ablest,[[0.12309207]]
abloom,[[0.1228295]]
ablution,[[-0.12281079]]
ablutions,[[-0.12281431]]
ably,[[0.12282266]]
abnegate,[[-0.12281723]]
abnegated,[[0.12281821]]
abnegates,[[-0.1228172]]
abnegating,[[0.12282465]]
abnegation,[[0.12285908]]
abnormal,[[-0.12230184]]
abnormalities,[[-0.12281537]]
abnormality,[[-0.1228007]]
abnormally,[[-0.12281742]]
abnormity,[[-0.12280399]]
aboard,[[0.12281903]]
abode,[[-0.12227307]]
abodes,[[-0.12279036]]
abolish,[[0.12304055]]
abolished,[[0.12291498]]
abolisher,[[0.12282441]]
abolishes,[[0.12333111]]
abolishing,[[0.12285158]]
abolishment,[[0.12304309]]
abolishments,[[0.12281817]]
abolition,[[0.1228985]]
abolitionism,[[0.12282333]]
abolitionist,[[0.12282652]]
abolitionists,[[0.12282982]]
abomasum,[[0.12281768]]
abominable,[[-0.12280565]]
abominably,[[0.12283425]]
abominate,[[-0.12272249]]
abominated,[[-0.12281723]]
abominates,[[-0.12281045]]
abominating,[[-0.1227731]]
abomination,[[-0.12280933]]
abominations,[[-0.12258916]]
abominator,[[0.12281784]]
abominators,[[0.12281817]]
aboral,[[0.12282561]]
aboriginal,[[0.12281834]]
aboriginally,[[0.12282165]]
aboriginals,[[0.12282182]]
aborigine,[[0.12283709]]
aborigines,[[0.12281986]]
aborning,[[0.12282067]]
abort,[[-0.1228119]]
