Word, Value
no,[[0.09476294]]
th,[[0.09813029]]
tm,[[0.0947663]]
aa,[[0.09755242]]
aah,[[0.09476846]]
aalii,[[0.09476294]]
aardvark,[[0.09476794]]
aardvarks,[[0.0947722]]
aardwolf,[[0.09477374]]
ab,[[0.09486783]]
aba,[[0.09576558]]
abaca,[[0.09479992]]
abacas,[[0.09477524]]
abacist,[[0.09479715]]
aback,[[0.09600773]]
abacus,[[0.09476622]]
abacuses,[[-0.09475779]]
abaft,[[0.09476347]]
abalone,[[0.09477925]]
abalones,[[0.09476569]]
abamp,[[0.09476294]]
abandon,[[0.09792408]]
abandoned,[[0.09540684]]
abandonedly,[[0.09498813]]
abandoning,[[0.09632251]]
abandonment,[[0.09557484]]
abandons,[[0.09478179]]
abas,[[0.09491101]]
abase,[[0.0948327]]
abased,[[0.09479311]]
abasement,[[0.09482727]]
abases,[[0.09531122]]
abash,[[0.09742845]]
abashed,[[0.09503656]]
abashedly,[[0.0947634]]
abashes,[[0.09506889]]
abashing,[[0.09493543]]
abashment,[[0.09481449]]
abasing,[[0.09479923]]
abate,[[0.09571449]]
abated,[[0.09508341]]
abatement,[[0.0968285]]
abates,[[0.10156696]]
abating,[[0.09482388]]
abatis,[[0.09476777]]
abattoir,[[0.09482615]]
abattoirs,[[0.0947644]]
abaxial,[[-0.094761]]
abb,[[0.0947631]]
abba,[[0.09521423]]
abbacies,[[0.09480422]]
abbacy,[[0.09477062]]
abbatial,[[0.09480089]]
abbe,[[0.09481518]]
abbes,[[0.09477202]]
abbess,[[0.09480013]]
abbesses,[[0.09478328]]
abbey,[[0.09483051]]
abbeys,[[0.09688871]]
abbot,[[0.09497643]]
abbots,[[0.0947675]]
abbr,[[-0.09476286]]
abbrev,[[0.0947732]]
abbreviate,[[0.09500992]]
abbreviated,[[0.09482987]]
abbreviates,[[0.09640665]]
abbreviating,[[0.09480582]]
abbreviation,[[0.0947762]]
abbreviations,[[0.09477034]]
abbreviator,[[-0.09476276]]
abbrevs,[[0.09477931]]
abdicate,[[0.09479965]]
abdicated,[[0.0951786]]
abdicates,[[0.09476743]]
abdicating,[[0.09496501]]
abdication,[[0.09490313]]
abdications,[[0.09477841]]
abdicator,[[0.0951151]]
abdicators,[[0.09487092]]
abdomen,[[0.09479315]]
abdomens,[[0.09484738]]
abdominal,[[-0.09476164]]
abdominally,[[0.09476498]]
abdominous,[[-0.09371825]]
abduce,[[-0.09475603]]
abduced,[[-0.09475639]]
abducent,[[0.0947639]]
abducing,[[-0.0946754]]
abduct,[[0.09539408]]
abducted,[[0.09486894]]
abducting,[[0.09476659]]
abduction,[[0.09868101]]
abductions,[[0.09476416]]
abductor,[[0.0947644]]
abductors,[[0.09476701]]
abducts,[[0.09478874]]
abeam,[[0.09483601]]
abecedarian,[[0.09520984]]
abecedarians,[[0.09512058]]
abecedarium,[[0.09535751]]
abecedary,[[0.09476394]]
abed,[[0.09814169]]
abele,[[0.09476757]]
abeles,[[0.09479865]]
abelmosk,[[0.09476294]]
aberrance,[[-0.09474044]]
aberrancies,[[-0.09476223]]
aberrancy,[[-0.09469839]]
aberrant,[[0.09477193]]
aberration,[[0.09525718]]
aberrational,[[0.09476313]]
aberrations,[[0.09640153]]
abessive,[[0.09480309]]
abet,[[0.09480148]]
abetment,[[0.09476864]]
abetments,[[0.09477412]]
abets,[[0.09524035]]
abetted,[[0.09477304]]
abetter,[[0.0950174]]
abetters,[[0.0947889]]
abetting,[[0.0947655]]
abettor,[[0.0947787]]
abettors,[[0.09499592]]
abeyance,[[0.09481197]]
abeyant,[[0.09476429]]
abhor,[[0.09522274]]
abhorred,[[0.09532909]]
abhorrence,[[0.09477201]]
abhorrent,[[0.09963603]]
abhorrently,[[0.09479018]]
abhorrer,[[0.09482587]]
abhorrers,[[0.09488254]]
abhorring,[[0.09556879]]
abhors,[[0.09543755]]
abidance,[[-0.09467578]]
abide,[[0.09582738]]
abider,[[0.09476586]]
abides,[[0.09480841]]
abiding,[[0.09660324]]
abidingly,[[0.09981408]]
abies,[[0.09484989]]
abigail,[[0.09476777]]
abilities,[[0.09708463]]
ability,[[0.09643665]]
abiogenesis,[[0.09478503]]
abiogenetic,[[0.09476919]]
abiotic,[[0.09476299]]
abject,[[0.09478144]]
abjection,[[0.09771074]]
abjectly,[[0.09526405]]
abjectness,[[0.09484535]]
abjuration,[[0.09486808]]
abjurations,[[0.09503067]]
abjure,[[0.09527399]]
abjured,[[0.09477094]]
abjurer,[[-0.09469633]]
