Word, Value
no,[[0.06159956]]
th,[[-0.0612197]]
tm,[[0.06159979]]
aa,[[0.06163485]]
aah,[[0.06159977]]
aalii,[[0.06159976]]
aardvark,[[0.06159963]]
aardvarks,[[0.06159956]]
aardwolf,[[0.06159981]]
ab,[[0.06161453]]
aba,[[-0.06159815]]
abaca,[[-0.06147765]]
abacas,[[0.06160359]]
abacist,[[-0.06159771]]
aback,[[0.06159985]]
abacus,[[0.06160327]]
abacuses,[[0.0616015]]
abaft,[[0.06160003]]
abalone,[[0.06160468]]
abalones,[[0.06160028]]
abamp,[[-0.06158352]]
abandon,[[0.06167873]]
abandoned,[[0.06175369]]
abandonedly,[[0.06160081]]
abandoning,[[0.0627234]]
abandonment,[[0.0618453]]
abandons,[[0.06163918]]
abas,[[-0.06159629]]
abase,[[0.06160269]]
abased,[[0.06171936]]
abasement,[[0.0623012]]
abases,[[0.06160907]]
abash,[[0.0616002]]
abashed,[[0.06160379]]
abashedly,[[-0.06159921]]
abashes,[[0.06173016]]
abashing,[[0.06173796]]
abashment,[[-0.06159884]]
abasing,[[0.06161339]]
abate,[[0.06160551]]
abated,[[0.06160312]]
abatement,[[0.06295259]]
abates,[[0.06172973]]
abating,[[0.0616017]]
abatis,[[0.06160098]]
abattoir,[[0.06160008]]
abattoirs,[[0.06159979]]
abaxial,[[0.06159956]]
abb,[[0.06159975]]
abba,[[0.06160225]]
abbacies,[[0.06160024]]
abbacy,[[0.06177979]]
abbatial,[[0.06161842]]
abbe,[[0.06168629]]
abbes,[[0.0616002]]
abbess,[[0.06160173]]
abbesses,[[0.06160117]]
abbey,[[0.06175151]]
abbeys,[[0.06261975]]
abbot,[[0.06162665]]
abbots,[[0.06160158]]
abbr,[[-0.06159941]]
abbrev,[[0.06160132]]
abbreviate,[[0.06162099]]
abbreviated,[[0.06160054]]
abbreviates,[[0.06161469]]
abbreviating,[[0.06160067]]
abbreviation,[[0.06161825]]
abbreviations,[[0.06162649]]
abbreviator,[[0.0616482]]
abbrevs,[[0.06160093]]
abdicate,[[0.06160252]]
abdicated,[[0.06494363]]
abdicates,[[0.06178539]]
abdicating,[[0.06160266]]
abdication,[[0.06180447]]
abdications,[[0.06160066]]
abdicator,[[-0.06157671]]
abdicators,[[0.06160588]]
abdomen,[[0.0616772]]
abdomens,[[0.06160063]]
abdominal,[[0.06159974]]
abdominally,[[0.06160035]]
abdominous,[[-0.06154805]]
abduce,[[-0.06140682]]
abduced,[[-0.06159477]]
abducent,[[0.06160225]]
abducing,[[-0.06159064]]
abduct,[[0.06166475]]
abducted,[[0.06161532]]
abducting,[[0.06160013]]
abduction,[[0.06167388]]
abductions,[[0.06160037]]
abductor,[[0.06160037]]
abductors,[[0.06162081]]
abducts,[[0.06166903]]
abeam,[[0.06160432]]
abecedarian,[[0.06159958]]
abecedarians,[[0.06160278]]
abecedarium,[[0.06159966]]
abecedary,[[0.06159987]]
abed,[[-0.06159817]]
abele,[[0.06164161]]
abeles,[[0.0616002]]
abelmosk,[[0.06159956]]
aberrance,[[-0.06150781]]
aberrancies,[[-0.06142556]]
aberrancy,[[0.06160271]]
aberrant,[[-0.06159956]]
aberration,[[0.0616128]]
aberrational,[[-0.06159937]]
aberrations,[[-0.06159019]]
abessive,[[-0.06159855]]
abet,[[0.06161528]]
abetment,[[0.06160009]]
abetments,[[0.06159962]]
abets,[[0.06160055]]
abetted,[[0.06161363]]
abetter,[[0.06162176]]
abetters,[[0.06162965]]
abetting,[[0.07237796]]
abettor,[[0.06160085]]
abettors,[[0.06162603]]
abeyance,[[0.06161094]]
abeyant,[[0.06159984]]
abhor,[[0.06179706]]
abhorred,[[0.06827405]]
abhorrence,[[0.06173826]]
abhorrent,[[0.06160518]]
abhorrently,[[0.06166024]]
abhorrer,[[0.06165646]]
abhorrers,[[0.06161159]]
abhorring,[[0.06160976]]
abhors,[[0.06160475]]
abidance,[[-0.0615921]]
abide,[[-0.06159759]]
abider,[[0.06160434]]
abides,[[0.06162849]]
abiding,[[0.06160687]]
abidingly,[[0.06160101]]
abies,[[0.0615998]]
abigail,[[0.0616817]]
abilities,[[0.06165472]]
ability,[[0.06162167]]
abiogenesis,[[-0.06159929]]
abiogenetic,[[0.06159971]]
abiotic,[[0.06160039]]
abject,[[0.06160431]]
abjection,[[0.06172339]]
abjectly,[[0.06165512]]
abjectness,[[0.06207026]]
abjuration,[[0.089752]]
abjurations,[[0.06160024]]
abjure,[[0.06163017]]
abjured,[[0.06160757]]
abjurer,[[0.06160013]]
abjurers,[[0.06161336]]
abjures,[[0.06163957]]
abjuring,[[0.0616154]]
abl,[[0.06159958]]
ablate,[[0.06159967]]
ablated,[[-0.0615972]]
ablating,[[-0.06159897]]
ablation,[[-0.0615989]]
ablations,[[-0.06159941]]
ablative,[[0.0616004]]
ablatives,[[0.06160191]]
ablaut,[[0.06159969]]
ablaze,[[0.0619762]]
able,[[0.06162445]]
ablepsia,[[-0.06159453]]
abler,[[0.06161058]]
ablest,[[0.06201195]]
abloom,[[0.06161101]]
ablution,[[0.0616049]]
ablutions,[[0.06160659]]
ably,[[0.06390137]]
abnegate,[[0.06162942]]
abnegated,[[0.06160506]]
abnegates,[[-0.06158339]]
abnegating,[[0.06160716]]
abnegation,[[0.06178731]]
abnormal,[[0.06160989]]
abnormalities,[[-0.06159864]]
abnormality,[[-0.06159804]]
abnormally,[[0.06161156]]
abnormity,[[-0.06159526]]
aboard,[[0.06160125]]
abode,[[0.06161856]]
abodes,[[0.06163772]]
abolish,[[0.06185134]]
abolished,[[0.06160412]]
abolisher,[[-0.06159922]]
abolishes,[[0.06161891]]
abolishing,[[0.06161604]]
abolishment,[[0.06160816]]
abolishments,[[0.06160104]]
abolition,[[0.06161719]]
abolitionism,[[0.06160041]]
abolitionist,[[0.06173566]]
abolitionists,[[0.06161765]]
abomasum,[[-0.06159945]]
abominable,[[0.06163718]]
abominably,[[0.0616269]]
abominate,[[0.06186305]]
abominated,[[0.06160295]]
abominates,[[0.06166064]]
abominating,[[0.06160067]]
abomination,[[0.06160869]]
abominations,[[0.06189066]]
abominator,[[0.06160013]]
abominators,[[0.06161673]]
aboral,[[-0.06159916]]
aboriginal,[[0.06160335]]
aboriginally,[[0.06160269]]
aboriginals,[[0.06160126]]
aborigine,[[0.0616178]]
aborigines,[[0.06163623]]
aborning,[[0.06160117]]
abort,[[0.06159997]]
aborted,[[0.06160056]]
aborticide,[[-0.06159397]]
abortifacient,[[-0.06159766]]
abortifacients,[[-0.06148556]]
aborting,[[0.06160042]]
abortion,[[-0.06159944]]
abortionist,[[-0.06159944]]
abortionists,[[-0.06158778]]
abortions,[[0.06160349]]
abortive,[[0.06160296]]
abortively,[[0.06160095]]
aborts,[[0.06160002]]
aboulia,[[-0.06159955]]
abound,[[0.06165878]]
abounded,[[0.06163032]]
abounding,[[0.06160418]]
abounds,[[0.06161764]]
aboveboard,[[0.06161204]]
aboveground,[[0.06159992]]
abr,[[0.0616719]]
abracadabra,[[0.06186093]]
abradant,[[-0.06158303]]
abradants,[[0.0616009]]
abrade,[[-0.06159887]]
abraded,[[0.06160052]]
abrader,[[0.06159961]]
abraders,[[0.06159958]]
abrades,[[0.06160021]]
abrading,[[0.06160121]]
abranchiate,[[-0.06159886]]
abrasion,[[0.06159997]]
abrasions,[[0.06160176]]
abrasive,[[0.06160179]]
abrasively,[[0.06159996]]
abrasives,[[0.06160093]]
abraxas,[[0.06164997]]
abreact,[[0.06160077]]
abreacted,[[-0.06159955]]
abreacting,[[0.06160075]]
abreaction,[[-0.06159955]]
abreast,[[0.06202164]]
abri,[[0.06161175]]
abridge,[[0.06160231]]
abridged,[[0.061737]]
abridger,[[0.06160648]]
abridgers,[[0.06165769]]
abridges,[[0.06160173]]
abridging,[[0.06169596]]
abridgment,[[0.0616113]]
abridgments,[[0.06160752]]
abroach,[[-0.06158317]]
abroad,[[0.06160413]]
abrogate,[[0.06161266]]
abrogated,[[0.06161394]]
abrogates,[[0.0615999]]
abrogating,[[0.06161001]]
abrogation,[[0.06167157]]
abrogations,[[0.06159956]]
abrogator,[[0.06169847]]
abrupt,[[0.06165304]]
abrupter,[[0.06161758]]
abruptest,[[0.06160214]]
abruption,[[-0.06159367]]
abruptly,[[0.06176985]]
abruptness,[[0.06165991]]
abs,[[-0.06159709]]
abscess,[[0.0616186]]
abscessed,[[0.0615996]]
abscesses,[[0.06160205]]
abscind,[[-0.06157833]]
abscissa,[[0.06160066]]
abscissas,[[0.06160986]]
abscission,[[0.06162181]]
abscond,[[0.06163811]]
absconded,[[0.06162857]]
absconder,[[-0.06159918]]
absconders,[[-0.06159838]]
absconding,[[0.06161195]]
absconds,[[0.06160483]]
abseil,[[0.06160182]]
absence,[[0.06170075]]
absences,[[0.06188763]]
absent,[[0.06173014]]
absented,[[0.06162627]]
absentee,[[0.06160401]]
absenteeism,[[0.06161183]]
absentees,[[0.06183172]]
absenting,[[0.06164249]]
absently,[[0.06190482]]
absentminded,[[0.06161965]]
absentmindedly,[[0.06161673]]
absentmindedness,[[0.06161417]]
absents,[[0.06160153]]
absinthe,[[0.06160144]]
absinthism,[[-0.06157855]]
absolute,[[0.06162069]]
absolutely,[[0.06163441]]
absoluteness,[[0.06160381]]
absolutes,[[0.06160175]]
absolutest,[[-0.06157774]]
absolution,[[0.06172726]]
absolutism,[[0.06161639]]
absolutist,[[0.06163575]]
absolutistic,[[0.06159967]]
absolutists,[[0.06160438]]
absolvable,[[0.06159956]]
absolve,[[0.06162961]]
absolved,[[0.06161453]]
absolver,[[-0.0615936]]
absolvers,[[0.06160565]]
absolves,[[0.06206384]]
absolving,[[0.06161997]]
absonant,[[-0.06159706]]
absorb,[[0.06162537]]
absorbable,[[0.06159964]]
absorbed,[[0.06174566]]
absorbency,[[0.0615996]]
absorbent,[[0.06160398]]
absorbents,[[0.06159971]]
absorber,[[0.06160804]]
absorbers,[[0.06160031]]
absorbing,[[0.06161053]]
absorbingly,[[0.06173221]]
absorbs,[[0.06172709]]
absorption,[[0.06217682]]
absorptions,[[0.06159995]]
absorptive,[[0.0617928]]
absorptivities,[[0.06159956]]
absorptivity,[[0.06159956]]
absquatulate,[[-0.0615951]]
absquatulated,[[0.06160728]]
absquatulates,[[0.06160355]]
absquatulating,[[0.06160155]]
abstain,[[0.06172114]]
abstained,[[0.06163187]]
abstainer,[[0.06162234]]
abstainers,[[0.06160609]]
abstaining,[[0.06208882]]
abstains,[[0.06262475]]
abstemious,[[0.06168596]]
abstemiously,[[0.06173231]]
abstemiousness,[[0.06160739]]
abstention,[[0.06375588]]
abstentions,[[0.06160218]]
abstergent,[[-0.06159903]]
abstinence,[[0.06205403]]
abstinent,[[0.06161588]]
abstract,[[0.06161144]]
abstracted,[[0.0616319]]
abstractedly,[[0.0616058]]
abstractedness,[[0.0616481]]
abstracter,[[0.06164972]]
abstracting,[[0.06177108]]
abstraction,[[0.06160688]]
abstractionism,[[0.06159976]]
abstractionist,[[0.06160716]]
abstractionists,[[0.06162639]]
abstractions,[[0.06164009]]
abstractly,[[0.06222051]]
abstractness,[[0.06168347]]
abstracts,[[0.06160937]]
abstriction,[[0.06160006]]
abstruse,[[0.06160905]]
abstrusely,[[0.06160266]]
abstruseness,[[0.06164721]]
absurd,[[0.0624974]]
absurder,[[0.06160973]]
absurdest,[[0.06160472]]
absurdist,[[0.06160695]]
absurdities,[[0.06163703]]
absurdity,[[0.06166186]]
absurdly,[[0.06160906]]
absurdness,[[-0.06159882]]
abulia,[[0.06159984]]
