Word, Value
no,[[0.14471373]]
th,[[0.14471969]]
tm,[[0.14474168]]
aa,[[0.14520131]]
aah,[[0.14479291]]
aalii,[[0.14471392]]
aardvark,[[-0.14471294]]
aardvarks,[[0.14471421]]
aardwolf,[[0.14496486]]
ab,[[0.14486362]]
aba,[[-0.14470793]]
abaca,[[-0.14471003]]
abacas,[[0.14475626]]
abacist,[[0.14471577]]
aback,[[0.14475667]]
abacus,[[0.14472622]]
abacuses,[[0.14475508]]
abaft,[[0.14496228]]
abalone,[[0.14472498]]
abalones,[[0.14471829]]
abamp,[[0.14478125]]
abandon,[[0.14638457]]
abandoned,[[0.14541934]]
abandonedly,[[0.14471716]]
abandoning,[[0.14563207]]
abandonment,[[0.14484395]]
abandons,[[0.14556892]]
abas,[[0.14471488]]
abase,[[-0.14471327]]
abased,[[0.14504173]]
abasement,[[0.1448606]]
abases,[[0.14672889]]
abash,[[-0.14471133]]
abashed,[[0.1454062]]
abashedly,[[0.14472921]]
abashes,[[0.14490451]]
abashing,[[0.14504611]]
abashment,[[-0.14460157]]
abasing,[[0.14471895]]
abate,[[0.14473024]]
abated,[[0.14472769]]
abatement,[[0.14593825]]
abates,[[0.14505914]]
abating,[[0.1447264]]
abatis,[[0.14471629]]
abattoir,[[0.14472185]]
abattoirs,[[0.1447145]]
abaxial,[[0.14471373]]
abb,[[0.14471421]]
abba,[[-0.14470479]]
abbacies,[[0.14521089]]
abbacy,[[0.1462273]]
abbatial,[[0.14473528]]
abbe,[[0.14476125]]
abbes,[[0.14477816]]
abbess,[[0.16954266]]
abbesses,[[0.14473996]]
abbey,[[0.14472505]]
abbeys,[[0.14592537]]
abbot,[[0.14546493]]
abbots,[[0.14471747]]
abbr,[[0.14474842]]
abbrev,[[-0.14464268]]
abbreviate,[[0.14471674]]
abbreviated,[[0.14471811]]
abbreviates,[[0.14471525]]
abbreviating,[[0.14471649]]
abbreviation,[[0.14503856]]
abbreviations,[[0.14472237]]
abbreviator,[[-0.14471152]]
abbrevs,[[0.14472985]]
abdicate,[[0.14475167]]
abdicated,[[0.14562777]]
abdicates,[[0.14667778]]
abdicating,[[0.14471839]]
abdication,[[0.14522623]]
abdications,[[0.14503375]]
abdicator,[[-0.14462632]]
abdicators,[[0.14471373]]
abdomen,[[0.14471997]]
abdomens,[[0.14471777]]
abdominal,[[0.14471857]]
abdominally,[[-0.14471304]]
abdominous,[[-0.1446541]]
abduce,[[-0.14466482]]
abduced,[[0.14472392]]
abducent,[[0.14479323]]
abducing,[[0.14472888]]
