Word, Value
no,[[0.05492803]]
th,[[0.05637879]]
tm,[[0.05499841]]
aa,[[0.05509847]]
aah,[[0.05497055]]
aalii,[[0.05492816]]
aardvark,[[0.05493018]]
aardvarks,[[0.05492849]]
aardwolf,[[0.0549282]]
ab,[[0.05495971]]
aba,[[0.05506226]]
abaca,[[0.05500476]]
abacas,[[0.05501153]]
abacist,[[0.0549286]]
aback,[[0.0549867]]
abacus,[[0.05494426]]
abacuses,[[0.05492994]]
abaft,[[0.05493114]]
abalone,[[0.05493158]]
abalones,[[0.05493416]]
abamp,[[-0.05492769]]
abandon,[[0.06544071]]
abandoned,[[0.05505102]]
abandonedly,[[0.05492958]]
abandoning,[[0.05496763]]
abandonment,[[0.05499096]]
abandons,[[0.05500869]]
abas,[[0.0550159]]
abase,[[0.05500563]]
abased,[[0.05531946]]
abasement,[[0.05544403]]
abases,[[0.05500306]]
abash,[[0.0549507]]
abashed,[[0.05589822]]
abashedly,[[0.05492846]]
abashes,[[0.05500514]]
abashing,[[0.05595585]]
abashment,[[0.05494856]]
abasing,[[0.05496824]]
abate,[[0.05495679]]
abated,[[0.05511278]]
abatement,[[0.05497777]]
abates,[[0.0555708]]
abating,[[0.05493697]]
abatis,[[0.05493858]]
abattoir,[[0.05511286]]
abattoirs,[[0.05506416]]
abaxial,[[0.05492803]]
abb,[[0.05494224]]
abba,[[0.05494038]]
abbacies,[[0.05676709]]
abbacy,[[0.05504809]]
abbatial,[[0.05541267]]
abbe,[[0.05494571]]
abbes,[[0.05512623]]
abbess,[[0.05496834]]
abbesses,[[0.05493009]]
abbey,[[0.0549536]]
abbeys,[[0.06726497]]
abbot,[[0.0550983]]
abbots,[[0.05499614]]
abbr,[[0.05493348]]
abbrev,[[0.05494142]]
abbreviate,[[0.0550231]]
abbreviated,[[0.05507867]]
abbreviates,[[0.05548981]]
abbreviating,[[0.05500453]]
abbreviation,[[0.05557415]]
abbreviations,[[0.05493125]]
abbreviator,[[0.05553778]]
abbrevs,[[0.05492915]]
abdicate,[[0.05547526]]
abdicated,[[0.05511063]]
abdicates,[[0.05523692]]
abdicating,[[0.05814744]]
abdication,[[0.05493555]]
abdications,[[0.0549783]]
abdicator,[[0.05497497]]
abdicators,[[0.05493241]]
abdomen,[[0.05499388]]
abdomens,[[0.05493494]]
abdominal,[[0.05553702]]
abdominally,[[0.05494715]]
abdominous,[[0.05493823]]
abduce,[[0.05515492]]
abduced,[[0.05493158]]
abducent,[[0.05516843]]
abducing,[[0.05492851]]
abduct,[[0.05497927]]
abducted,[[0.05493923]]
abducting,[[0.05496099]]
abduction,[[0.0549388]]
abductions,[[0.05493122]]
abductor,[[0.05493799]]
abductors,[[0.05501349]]
abducts,[[0.05689338]]
abeam,[[0.05508233]]
abecedarian,[[0.05516261]]
abecedarians,[[0.05495216]]
abecedarium,[[0.05492885]]
abecedary,[[0.05492943]]
abed,[[0.05570773]]
abele,[[0.05538727]]
abeles,[[0.05495752]]
abelmosk,[[0.05492803]]
aberrance,[[0.05493037]]
aberrancies,[[0.05493361]]
aberrancy,[[0.05495265]]
aberrant,[[0.05495532]]
aberration,[[0.05498091]]
aberrational,[[0.05508737]]
aberrations,[[0.05502782]]
abessive,[[0.05493131]]
abet,[[0.05514021]]
abetment,[[0.05506317]]
abetments,[[0.05493544]]
abets,[[0.05574464]]
abetted,[[0.05497776]]
abetter,[[0.05496564]]
abetters,[[0.05501746]]
abetting,[[0.05494215]]
abettor,[[0.05522932]]
abettors,[[0.05498578]]
abeyance,[[0.05634958]]
abeyant,[[0.05493573]]
abhor,[[0.05500084]]
abhorred,[[0.06630542]]
abhorrence,[[0.05705767]]
abhorrent,[[0.05494969]]
abhorrently,[[0.05496344]]
abhorrer,[[0.05492883]]
abhorrers,[[0.05495138]]
abhorring,[[0.05570032]]
abhors,[[0.05522806]]
abidance,[[0.05493749]]
abide,[[0.05542428]]
abider,[[0.05493353]]
abides,[[0.05500316]]
abiding,[[0.05499119]]
abidingly,[[0.05517337]]
abies,[[0.05492994]]
abigail,[[0.05513436]]
abilities,[[0.05533459]]
ability,[[0.05504422]]
abiogenesis,[[0.05493391]]
abiogenetic,[[0.05492904]]
abiotic,[[0.05492941]]
abject,[[0.05719423]]
abjection,[[0.05494589]]
abjectly,[[0.05534958]]
abjectness,[[0.05503365]]
abjuration,[[0.05495346]]
abjurations,[[0.06330144]]
abjure,[[0.05493938]]
abjured,[[0.05495421]]
abjurer,[[0.05502891]]
abjurers,[[0.05505066]]
abjures,[[0.05493622]]
abjuring,[[0.05496056]]
abl,[[0.05492865]]
ablate,[[0.05499666]]
ablated,[[0.0549284]]
ablating,[[0.0549315]]
ablation,[[0.05493981]]
ablations,[[0.05492979]]
ablative,[[0.05492844]]
ablatives,[[0.0549559]]
ablaut,[[0.05493294]]
ablaze,[[0.05608581]]
able,[[0.06826971]]
ablepsia,[[0.0549489]]
abler,[[0.05542043]]
ablest,[[0.05565955]]
abloom,[[0.05546435]]
ablution,[[0.05525526]]
ablutions,[[0.05495376]]
ably,[[0.0579356]]
abnegate,[[0.05539829]]
abnegated,[[0.0549463]]
abnegates,[[0.05494963]]
abnegating,[[0.05517948]]
abnegation,[[0.05494919]]
abnormal,[[0.05525674]]
abnormalities,[[0.05493382]]
abnormality,[[0.05494808]]
abnormally,[[0.05498016]]
abnormity,[[0.05493092]]
aboard,[[0.05498331]]
abode,[[0.0570672]]
abodes,[[0.05494285]]
abolish,[[0.0593004]]
abolished,[[0.05505051]]
abolisher,[[0.05493523]]
abolishes,[[0.0549796]]
abolishing,[[0.05520088]]
abolishment,[[0.05498394]]
abolishments,[[0.05492839]]
abolition,[[0.05493544]]
abolitionism,[[0.05493239]]
abolitionist,[[0.05494072]]
abolitionists,[[0.0549296]]
abomasum,[[0.0549281]]
abominable,[[0.05498746]]
abominably,[[0.0549872]]
abominate,[[0.05521131]]
abominated,[[0.05493383]]
abominates,[[0.05632174]]
abominating,[[0.05497137]]
abomination,[[0.0550037]]
abominations,[[0.0553627]]
abominator,[[0.05493947]]
abominators,[[0.05493001]]
aboral,[[0.05493087]]
aboriginal,[[0.05496372]]
aboriginally,[[0.05493439]]
aboriginals,[[0.0550337]]
aborigine,[[0.05494003]]
aborigines,[[0.05550515]]
aborning,[[0.05492908]]
abort,[[0.05496102]]
aborted,[[0.05500309]]
aborticide,[[0.05494326]]
abortifacient,[[0.05493139]]
abortifacients,[[0.05509872]]
aborting,[[0.05492822]]
abortion,[[0.05493793]]
abortionist,[[0.05493098]]
abortionists,[[0.05496349]]
abortions,[[0.05493121]]
abortive,[[0.05497214]]
abortively,[[0.05492878]]
aborts,[[0.05492844]]
aboulia,[[0.05493534]]
abound,[[0.0552864]]
abounded,[[0.07074263]]
abounding,[[0.05495502]]
abounds,[[0.05496717]]
aboveboard,[[0.05494353]]
aboveground,[[0.05492973]]
abr,[[0.05493277]]
abracadabra,[[0.05495335]]
abradant,[[0.0549287]]
abradants,[[0.05492803]]
abrade,[[0.05493252]]
abraded,[[0.05502983]]
abrader,[[0.05492803]]
abraders,[[0.05492803]]
abrades,[[0.0549309]]
abrading,[[0.05495365]]
abranchiate,[[0.05492833]]
abrasion,[[0.05499465]]
abrasions,[[0.05516495]]
abrasive,[[0.05493174]]
abrasively,[[0.05492863]]
abrasives,[[0.05494856]]
abraxas,[[0.05812582]]
abreact,[[0.05494523]]
abreacted,[[0.05496894]]
abreacting,[[0.05498754]]
abreaction,[[0.05492889]]
abreast,[[0.05763333]]
abri,[[0.05493358]]
abridge,[[0.05522739]]
abridged,[[0.05493637]]
abridger,[[0.05496833]]
abridgers,[[0.05498216]]
abridges,[[0.05875321]]
abridging,[[0.05512711]]
abridgment,[[0.05541267]]
abridgments,[[0.05502676]]
abroach,[[0.05529036]]
abroad,[[0.05535401]]
abrogate,[[0.05495274]]
abrogated,[[0.05517474]]
abrogates,[[0.05493972]]
abrogating,[[0.0551542]]
abrogation,[[0.057469]]
abrogations,[[0.05495451]]
abrogator,[[0.0549369]]
abrupt,[[0.05530585]]
abrupter,[[0.05492846]]
abruptest,[[0.05494364]]
abruption,[[0.05732399]]
abruptly,[[0.05561908]]
abruptness,[[0.05496769]]
abs,[[0.05502242]]
abscess,[[0.05493894]]
abscessed,[[0.05492832]]
abscesses,[[0.05500615]]
abscind,[[0.05500988]]
abscissa,[[0.05529708]]
abscissas,[[0.05493319]]
abscission,[[0.05493641]]
abscond,[[0.0549414]]
absconded,[[0.05509541]]
absconder,[[0.05505365]]
absconders,[[0.05494089]]
absconding,[[0.05494599]]
absconds,[[0.054943]]
abseil,[[-0.05492285]]
absence,[[0.05495579]]
absences,[[0.05554118]]
absent,[[0.055764]]
absented,[[0.05572424]]
absentee,[[0.05560186]]
absenteeism,[[0.05498568]]
absentees,[[0.05494664]]
absenting,[[0.05494354]]
absently,[[0.05494193]]
absentminded,[[0.05499467]]
absentmindedly,[[0.05493936]]
absentmindedness,[[0.0549793]]
absents,[[0.05890286]]
absinthe,[[0.0549303]]
absinthism,[[0.05505094]]
absolute,[[0.05551251]]
absolutely,[[0.05500858]]
absoluteness,[[0.05510933]]
absolutes,[[0.05529815]]
absolutest,[[0.06127305]]
absolution,[[0.05558643]]
absolutism,[[0.05493963]]
absolutist,[[0.05513554]]
absolutistic,[[0.05493097]]
absolutists,[[0.0550338]]
absolvable,[[0.05495458]]
absolve,[[0.08753283]]
absolved,[[0.05496026]]
absolver,[[0.05495451]]
absolvers,[[0.05493093]]
absolves,[[0.05864403]]
absolving,[[0.05496966]]
absonant,[[0.05493088]]
absorb,[[0.05503082]]
absorbable,[[0.05493546]]
absorbed,[[0.05504103]]
absorbency,[[0.05492803]]
absorbent,[[0.0549344]]
absorbents,[[0.0549325]]
absorber,[[0.05496229]]
absorbers,[[0.05493381]]
absorbing,[[0.05593678]]
absorbingly,[[0.05496262]]
absorbs,[[0.05564255]]
absorption,[[0.05575338]]
absorptions,[[0.05539729]]
absorptive,[[0.05499186]]
absorptivities,[[0.05492803]]
absorptivity,[[0.05492803]]
absquatulate,[[0.0550482]]
absquatulated,[[0.05498379]]
absquatulates,[[0.05492821]]
absquatulating,[[0.05503976]]
abstain,[[0.0551734]]
abstained,[[0.05616385]]
abstainer,[[0.05496954]]
abstainers,[[0.05493782]]
abstaining,[[0.05505255]]
abstains,[[0.05521146]]
abstemious,[[0.0549599]]
abstemiously,[[0.05568897]]
abstemiousness,[[0.0550443]]
abstention,[[0.0549483]]
abstentions,[[0.05494159]]
abstergent,[[0.05493641]]
abstinence,[[0.05499333]]
abstinent,[[0.05559413]]
abstract,[[0.054937]]
abstracted,[[0.05505682]]
abstractedly,[[0.05496722]]
abstractedness,[[0.05495442]]
abstracter,[[0.05518316]]
abstracting,[[0.05519932]]
abstraction,[[0.05523641]]
abstractionism,[[0.05493192]]
abstractionist,[[0.05495942]]
abstractionists,[[0.0550903]]
abstractions,[[0.06261759]]
abstractly,[[0.05497222]]
abstractness,[[0.05520851]]
abstracts,[[0.0552937]]
abstriction,[[0.05492948]]
abstruse,[[0.05498037]]
abstrusely,[[0.05493352]]
abstruseness,[[0.0550064]]
absurd,[[0.05501109]]
absurder,[[0.05499581]]
absurdest,[[0.05493961]]
absurdist,[[0.05493047]]
absurdities,[[0.05497166]]
absurdity,[[0.0549461]]
