Word, Value
no,[[0.05220674]]
th,[[0.0525407]]
tm,[[0.05222982]]
aa,[[0.05519161]]
aah,[[0.05224178]]
aalii,[[0.05222229]]
aardvark,[[0.05220683]]
aardvarks,[[0.052207]]
aardwolf,[[0.05221525]]
ab,[[0.0524483]]
aba,[[0.05537212]]
abaca,[[0.05224236]]
abacas,[[0.05220892]]
abacist,[[0.0522516]]
aback,[[0.05386468]]
abacus,[[0.05220944]]
abacuses,[[0.05220696]]
abaft,[[0.05221028]]
abalone,[[0.0522228]]
abalones,[[0.05227094]]
abamp,[[0.05220678]]
abandon,[[0.05274236]]
abandoned,[[0.05272587]]
abandonedly,[[0.05227009]]
abandoning,[[0.05226608]]
abandonment,[[0.05393114]]
abandons,[[0.05226386]]
abas,[[0.05227078]]
abase,[[0.05229842]]
abased,[[0.05242744]]
abasement,[[0.05266462]]
abases,[[0.05261885]]
abash,[[0.0523468]]
abashed,[[0.05232992]]
abashedly,[[0.05221359]]
abashes,[[0.05221538]]
abashing,[[0.05223215]]
abashment,[[0.05747232]]
abasing,[[0.05225915]]
abate,[[0.05223041]]
abated,[[0.05221766]]
abatement,[[0.05499891]]
abates,[[0.05251911]]
abating,[[0.05236758]]
abatis,[[0.05227736]]
abattoir,[[0.05271448]]
abattoirs,[[0.0522081]]
abaxial,[[0.05220681]]
abb,[[0.05220812]]
abba,[[0.05227744]]
abbacies,[[0.05293929]]
abbacy,[[0.05222203]]
abbatial,[[0.05224556]]
abbe,[[0.05248999]]
abbes,[[0.05234065]]
abbess,[[0.05459988]]
abbesses,[[0.05220934]]
abbey,[[0.05223339]]
abbeys,[[0.06081348]]
abbot,[[0.05235921]]
abbots,[[0.06654266]]
abbr,[[0.05220713]]
abbrev,[[0.05221162]]
abbreviate,[[0.05267568]]
abbreviated,[[0.052212]]
abbreviates,[[0.05227149]]
abbreviating,[[0.05221189]]
abbreviation,[[0.0525613]]
abbreviations,[[0.05221096]]
abbreviator,[[0.05358081]]
abbrevs,[[0.05220816]]
abdicate,[[0.05256436]]
abdicated,[[0.0523105]]
abdicates,[[0.05230599]]
abdicating,[[0.05222364]]
abdication,[[0.05221459]]
abdications,[[0.05238757]]
abdicator,[[0.05221014]]
abdicators,[[0.05223115]]
abdomen,[[0.05233359]]
