Word, Value
ab,-0.5913043475698627
abaft,-0.5913043475698627
abandon,-0.5826087010328818
abandoned,-0.5913043475698627
abate,-0.5913043475698627
abated,-0.5913043475698627
abatement,-0.5913043475698627
abates,-0.5913043475698627
abating,-0.5913043475698627
abbe,-0.5913043475698627
abbey,-0.5913043475698627
abbot,-0.5913043475698627
abbreviated,-0.5913043475698627
abbreviation,-0.5913043475698627
abbreviations,-0.5913043475698627
abed,-0.5913043475698627
abetted,-0.5913043475698627
abettors,-0.5913043475698627
abhor,-0.5913043475698627
abhorred,-0.5913043475698627
abhorrence,-0.5913043475698627
abhorring,-0.5913043475698627
abide,-0.5913043475698627
abiding,-0.5913043475698627
abilities,-0.5826087010328818
ability,-0.5913043475698627
abject,-0.5913043475698627
abjured,-0.5913043475698627
able,-0.5391304388821956
ablest,-0.5913043475698627
ably,-0.5913043475698627
aboard,-0.5913043475698627
abode,-0.5913043475698627
abolish,-0.5913043475698627
abolished,-0.5913043475698627
abolishing,-0.5913043475698627
abolition,-0.5913043475698627
abominable,-0.5913043475698627
abominated,-0.5913043475698627
abominations,-0.5913043475698627
abortive,-0.5913043475698627
abound,-0.5913043475698627
abounding,-0.5913043475698627
abounds,-0.5913043475698627
abridge,-0.5913043475698627
abridged,-0.5913043475698627
abridging,-0.5913043475698627
abridgment,-0.5217391163424527
abroad,-0.5913043475698627
abrogated,-0.5913043475698627
abrupt,-0.5913043475698627
abruptly,-0.5913043475698627
abscess,-0.5913043475698627
absence,-0.5913043475698627
absent,-0.5913043475698627
absented,-0.5913043475698627
absentees,-0.5913043475698627
absenting,-0.5913043475698627
absolute,-0.6608695787972728
absolutely,-0.5217391458082334
absolution,-0.5913043475698627
absolutists,-0.5913043475698627
absolves,-0.5913043475698627
absorb,-0.5913043475698627
absorbed,-0.5913043475698627
absorbing,-0.5913043475698627
absorbs,-0.5913043475698627
abstain,-0.5913043475698627
abstained,-0.5913043475698627
abstinence,-0.5913043475698627
abstract,-0.5913043475698627
abstracted,-0.5913043475698627
