Word, Value
no,-0.003890325097740026
th,-0.0040441274365543645
tm,-0.0038949993690457307
aa,-0.0039007879403221454
aah,-0.003890701354872993
aalii,-0.003890325097740026
aardvark,-0.003890325097740026
aardvarks,-0.003890325097740026
aardwolf,-0.003890325097740026
ab,-0.003912654511438796
aba,-0.003890672412016611
abaca,-0.0038891239692001697
abacas,-0.0038706294839720248
abacist,-0.003890325097740026
aback,-0.004153820862242423
abacus,-0.0038877057692374485
abacuses,-0.003889615997758665
abaft,-0.003890281683455453
abalone,-0.0038893699834794174
abalones,-0.0038902237977426887
abamp,-0.003896880654710566
abandon,-0.003990684452244866
abandoned,-0.004011899565972926
abandonedly,-0.0038971556118461955
abandoning,-0.0038906145263038466
abandonment,-0.003900266968907268
abandons,-0.004273065430536566
abas,-0.0038921050834075234
abase,-0.003949903967602524
abased,-0.004186902547087133
abasement,-0.003920237539810899
abases,-0.0039022640259976315
abash,-0.003948181867647791
abashed,-0.0039333486537519785
abashedly,-0.003890325097740026
abashes,-0.004045371979378794
abashing,-0.003935577253693398
abashment,-0.0038780967409186
abasing,-0.0038944494547744715
abate,-0.003938703082182662
abated,-0.003931235825236087
abatement,-0.0038888924263491133
abates,-0.0039025823974178342
abating,-0.0038913525691415896
abatis,-0.00389023826917088
abattoir,-0.003888356983506045
abattoirs,-0.003890455340593745
abaxial,-0.003890325097740026
abb,-0.0038925971119660187
abba,-0.003909195840101138
abbacies,-0.0038971411404180043
abbacy,-0.0038908460691549035
abbatial,-0.004309171643873203
abbe,-0.004140912348296018
abbes,-0.0038932917405191886
abbess,-0.004032043794014849
abbesses,-0.0038912802120006345
abbey,-0.005688675007611972
abbeys,-0.0039011352545987306
abbot,-0.003922379311183172
abbots,-0.004008252766068784
abbr,-0.0038904842834501276
abbrev,-0.003890455340593745
abbreviate,-0.003886779597833222
abbreviated,-0.003908269668696912
abbreviates,-0.003892394511971344
abbreviating,-0.00387698244094789
abbreviation,-0.0038835379979184296
abbreviations,-0.004362469913900791
abbreviator,-0.003901439154590742
abbrevs,-0.003890325097740026
abdicate,-0.003938616253613515
abdicated,-0.004934134741731315
abdicates,-0.0038901369691735424
abdicating,-0.004497965896053468
abdication,-0.0053154568745651335
abdications,-0.003949903967602524
abdicator,-0.0038908750120112854
abdicators,-0.003890325097740026
abdomen,-0.00384864738454984
abdomens,-0.0038752313981367747
abdominal,-0.0038240748994814596
abdominally,-0.003889919897750677
abdominous,-0.003642603189965859
abduce,-0.0037046856169054066
abduced,-0.003822598813805974
abducent,-0.003840991999036782
abducing,-0.003877749426642015
abduct,-0.003915765868499868
abducted,-0.003898559340380726
abducting,-0.0038916419977054104
abduction,-0.0038909039548676674
abductions,-0.0038804411122855477
abductor,-0.0038969674832797117
abductors,-0.003886070497851861
abducts,-0.0038912078548596794
abeam,-0.003901366797449787
abecedarian,-0.003904420268798096
abecedarians,-0.003859920627110658
abecedarium,-0.003885187740732208
abecedary,-0.0038949270119047756
abed,-0.003995460023547908
abele,-0.003891121026290533
abeles,-0.003891092083434151
abelmosk,-0.003890325097740026
aberrance,-0.003885535055008793
aberrancies,-0.003893914011931403
aberrancy,-0.00379225222888937
aberrant,-0.003888053083514033
aberration,-0.0038551595272358066
aberrational,-0.0038923655691149622
aberrations,-0.0035246465787807184
abessive,-0.003890325097740026
abet,-0.0038912367977160613
abetment,-0.003870166398269912
abetments,-0.003890325097740026
abets,-0.0038971700832743862
abetted,-0.003991538266508137
abetter,-0.003896591226146745
abetters,-0.003908877468680935
abetting,-0.0038983712118142422
abettor,-0.003902206140284867
abettors,-0.0038953032690377427
abeyance,-0.003291627642048645
abeyant,-0.0038909473691522405
abhor,-0.00416536906193887
abhorred,-0.005105548808654146
abhorrence,-0.012702657880387278
abhorrent,-0.004163487776274036
abhorrently,-0.0038824092265195287
abhorrer,-0.0039686010528253435
abhorrers,-0.0038673878840572327
abhorring,-0.003979932181098925
abhors,-0.00392583798252083
