Word, Value
no,[[0.36925578]]
th,[[0.36925685]]
tm,[[-0.36925566]]
aa,[[-0.3692224]]
aah,[[0.36927861]]
aalii,[[-0.36925566]]
aardvark,[[0.36925578]]
aardvarks,[[0.36925578]]
aardwolf,[[0.3692649]]
ab,[[0.36925659]]
aba,[[0.36925614]]
abaca,[[-0.36922953]]
abacas,[[0.36925739]]
abacist,[[0.36925578]]
aback,[[0.36936679]]
abacus,[[0.3698861]]
abacuses,[[0.36925682]]
abaft,[[0.36933285]]
abalone,[[0.369295]]
abalones,[[0.3692672]]
abamp,[[0.36925578]]
abandon,[[0.36933675]]
abandoned,[[0.36930895]]
abandonedly,[[0.36928836]]
abandoning,[[0.36937115]]
abandonment,[[0.37061989]]
abandons,[[0.36949557]]
abas,[[0.36927983]]
abase,[[0.36925977]]
abased,[[0.36932558]]
abasement,[[0.36926883]]
abases,[[-0.36924776]]
abash,[[0.36928499]]
abashed,[[0.3700484]]
abashedly,[[0.36925921]]
abashes,[[0.3693209]]
abashing,[[-0.36917365]]
abashment,[[0.36930788]]
abasing,[[0.3693493]]
abate,[[0.36935845]]
abated,[[0.36926618]]
abatement,[[0.36974266]]
abates,[[0.36961231]]
abating,[[0.36926714]]
abatis,[[0.36925608]]
abattoir,[[0.36929387]]
abattoirs,[[0.36927912]]
abaxial,[[0.36925763]]
abb,[[0.36925614]]
abba,[[0.36930439]]
abbacies,[[0.36932376]]
abbacy,[[0.36931795]]
abbatial,[[0.36925858]]
abbe,[[0.36928105]]
abbes,[[0.36925638]]
abbess,[[0.36926711]]
abbesses,[[0.36929044]]
abbey,[[0.36927924]]
abbeys,[[0.36926499]]
abbot,[[0.36927673]]
abbots,[[0.36926073]]
abbr,[[-0.36913511]]
abbrev,[[-0.36919117]]
abbreviate,[[-0.36877421]]
abbreviated,[[-0.36921322]]
abbreviates,[[-0.36861771]]
abbreviating,[[0.36925602]]
abbreviation,[[-0.36924836]]
abbreviations,[[-0.36901954]]
abbreviator,[[0.36927828]]
abbrevs,[[-0.3692002]]
abdicate,[[0.36930633]]
