Word, Value
no,[[0.68651116]]
th,[[-0.68717885]]
tm,[[0.68651092]]
aa,[[-0.68973947]]
aah,[[-0.68655384]]
aalii,[[0.68651116]]
aardvark,[[0.68648708]]
aardvarks,[[0.68649232]]
aardwolf,[[0.68649656]]
ab,[[-0.68658924]]
aba,[[-0.68661481]]
abaca,[[-0.68931687]]
abacas,[[0.6864804]]
abacist,[[-0.68663019]]
aback,[[-0.68947738]]
abacus,[[0.68649697]]
abacuses,[[-0.68653238]]
abaft,[[-0.68717927]]
abalone,[[-0.68651372]]
abalones,[[-0.68762505]]
abamp,[[-0.68656904]]
abandon,[[-0.68655175]]
abandoned,[[-0.686683]]
abandonedly,[[-0.68656915]]
abandoning,[[-0.68666375]]
abandonment,[[-0.68690228]]
abandons,[[-0.68875957]]
abas,[[-0.69543254]]
abase,[[-0.68668306]]
abased,[[-0.68680423]]
abasement,[[-0.68775797]]
abases,[[-0.68665338]]
abash,[[-0.68651378]]
abashed,[[-0.68857312]]
abashedly,[[-0.68652523]]
abashes,[[0.68648255]]
abashing,[[-0.68834037]]
abashment,[[-0.68675947]]
abasing,[[-0.68692726]]
abate,[[-0.68652195]]
abated,[[-0.6867094]]
abatement,[[0.68650568]]
abates,[[-0.68713707]]
abating,[[-0.68673509]]
abatis,[[0.68645018]]
abattoir,[[0.68642509]]
abattoirs,[[-0.68651605]]
abaxial,[[0.68650699]]
abb,[[-0.68651134]]
abba,[[-0.68671995]]
abbacies,[[0.68617845]]
abbacy,[[0.68650395]]
abbatial,[[-0.68653166]]
abbe,[[-0.68681693]]
abbes,[[0.6865105]]
abbess,[[-0.68674427]]
abbesses,[[-0.68651503]]
abbey,[[0.68622023]]
abbeys,[[-0.68678057]]
abbot,[[-0.68676925]]
abbots,[[-0.68668973]]
abbr,[[-0.68651849]]
abbrev,[[-0.68652767]]
abbreviate,[[-0.68651617]]
abbreviated,[[-0.68652266]]
abbreviates,[[0.68643218]]
abbreviating,[[0.68647838]]
abbreviation,[[-0.68682849]]
abbreviations,[[-0.68652111]]
abbreviator,[[-0.6865114]]
abbrevs,[[-0.68651301]]
abdicate,[[-0.68651217]]
abdicated,[[0.68639517]]
abdicates,[[-0.68651432]]
abdicating,[[0.68446183]]
abdication,[[0.68571544]]
abdications,[[0.6864962]]
abdicator,[[-0.68656528]]
abdicators,[[0.6865077]]
abdomen,[[-0.68659908]]
abdomens,[[-0.68651384]]
abdominal,[[-0.68651706]]
abdominally,[[0.68650985]]
abdominous,[[-0.68768048]]
abduce,[[-0.68657732]]
abduced,[[-0.68654156]]
abducent,[[-0.68664879]]
abducing,[[-0.68664789]]
abduct,[[-0.68675965]]
abducted,[[-0.68810147]]
abducting,[[-0.68652892]]
abduction,[[-0.68707412]]
abductions,[[-0.68681508]]
abductor,[[-0.68665648]]
abductors,[[-0.68770057]]
abducts,[[0.68651009]]
abeam,[[-0.68659621]]
abecedarian,[[-0.68652177]]
abecedarians,[[0.68649]]
abecedarium,[[-0.68654501]]
abecedary,[[-0.68656528]]
abed,[[-0.68892872]]
abele,[[-0.68651342]]
abeles,[[-0.68671215]]
abelmosk,[[0.68651116]]
aberrance,[[-0.6865229]]
aberrancies,[[-0.68651628]]
aberrancy,[[0.68650854]]
aberrant,[[-0.68651187]]
aberration,[[-0.68651778]]
aberrational,[[0.68649983]]
aberrations,[[0.68649209]]
abessive,[[-0.68652087]]
abet,[[-0.68683118]]
abetment,[[-0.68659574]]
abetments,[[-0.6865232]]
abets,[[-0.6865201]]
abetted,[[-0.68683892]]
abetter,[[-0.68654114]]
abetters,[[-0.68656856]]
abetting,[[-0.68662298]]
abettor,[[-0.68658125]]
abettors,[[-0.68651617]]
abeyance,[[-0.68727571]]
abeyant,[[0.68650573]]
abhor,[[-0.6887337]]
abhorred,[[-0.68654865]]
abhorrence,[[0.68624759]]
abhorrent,[[-0.68660414]]
abhorrently,[[-0.68652719]]
abhorrer,[[-0.68661213]]
abhorrers,[[0.68638706]]
abhorring,[[-0.68792182]]
abhors,[[-0.68652165]]
abidance,[[0.68642193]]
abide,[[-0.68683028]]
abider,[[-0.68652689]]
abides,[[-0.68654871]]
abiding,[[-0.6866349]]
abidingly,[[-0.68775249]]
abies,[[-0.68662554]]
abigail,[[-0.68652958]]
abilities,[[0.68452185]]
ability,[[-0.68661755]]
abiogenesis,[[0.6864298]]
abiogenetic,[[0.68646091]]
abiotic,[[0.68651116]]
abject,[[-0.68667924]]
abjection,[[-0.68802065]]
abjectly,[[-0.68680936]]
abjectness,[[-0.68671978]]
abjuration,[[0.68615174]]
abjurations,[[-0.68672854]]
abjure,[[-0.68652529]]
abjured,[[0.68648785]]
abjurer,[[-0.68670535]]
abjurers,[[0.68639833]]
abjures,[[0.68602747]]
abjuring,[[0.68633044]]
abl,[[0.6865111]]
ablate,[[0.68647665]]
ablated,[[-0.6865201]]
ablating,[[-0.68695521]]
ablation,[[-0.68921161]]
ablations,[[-0.68655783]]
ablative,[[-0.68651116]]
ablatives,[[0.68648326]]
ablaut,[[-0.68653673]]
ablaze,[[-0.68693572]]
able,[[-0.70050782]]
ablepsia,[[-0.68651366]]
abler,[[0.68650126]]
ablest,[[0.68535101]]
abloom,[[-0.68718547]]
ablution,[[-0.68653977]]
ablutions,[[-0.68685299]]
ably,[[0.68462521]]
abnegate,[[0.68646532]]
abnegated,[[0.68642247]]
abnegates,[[-0.68655908]]
abnegating,[[0.68646759]]
abnegation,[[-0.68670082]]
abnormal,[[-0.6865176]]
abnormalities,[[-0.68661809]]
abnormality,[[-0.68651736]]
abnormally,[[-0.68652999]]
abnormity,[[-0.68669802]]
aboard,[[-0.68728095]]
abode,[[-0.68712032]]
abodes,[[-0.68696159]]
abolish,[[0.68601221]]
abolished,[[0.68634188]]
abolisher,[[0.68648314]]
abolishes,[[-0.68670762]]
abolishing,[[0.68648517]]
abolishment,[[-0.68652076]]
abolishments,[[0.68651116]]
abolition,[[0.68650186]]
abolitionism,[[0.68613803]]
abolitionist,[[0.68649566]]
abolitionists,[[0.6864633]]
abomasum,[[-0.68651122]]
abominable,[[-0.6875394]]
abominably,[[-0.68663239]]
abominate,[[-0.68661207]]
abominated,[[-0.68733251]]
abominates,[[-0.68658477]]
abominating,[[0.68637967]]
abomination,[[-0.6865769]]
abominations,[[-0.68652636]]
abominator,[[0.6864692]]
abominators,[[0.68650627]]
aboral,[[0.68647051]]
aboriginal,[[-0.68653482]]
aboriginally,[[-0.686755]]
aboriginals,[[0.68644094]]
aborigine,[[-0.68657422]]
aborigines,[[-0.68651348]]
aborning,[[-0.68660033]]
abort,[[-0.68652171]]
aborted,[[-0.68655628]]
aborticide,[[-0.68655384]]
abortifacient,[[0.68650925]]
abortifacients,[[-0.68651146]]
aborting,[[-0.68651861]]
abortion,[[-0.68652117]]
abortionist,[[0.68646818]]
abortionists,[[0.68647534]]
abortions,[[-0.68651271]]
abortive,[[0.68650126]]
abortively,[[-0.68651551]]
aborts,[[-0.68651253]]
aboulia,[[-0.68717963]]
abound,[[0.68640858]]
abounded,[[0.68646806]]
abounding,[[-0.68652833]]
abounds,[[0.6864996]]
aboveboard,[[-0.68682206]]
aboveground,[[0.68605703]]
abr,[[-0.68651193]]
abracadabra,[[-0.69366515]]
abradant,[[-0.68651229]]
abradants,[[0.68651116]]
abrade,[[-0.68659878]]
abraded,[[-0.68657559]]
abrader,[[0.68638533]]
abraders,[[0.68650746]]
abrades,[[-0.68668562]]
abrading,[[0.68650264]]
abranchiate,[[-0.68659031]]
abrasion,[[-0.68656123]]
abrasions,[[-0.68690425]]
abrasive,[[-0.68652147]]
abrasively,[[-0.68700242]]
abrasives,[[-0.68684775]]
abraxas,[[0.68642247]]
abreact,[[0.68606752]]
abreacted,[[-0.68651348]]
abreacting,[[0.6864298]]
abreaction,[[-0.68665481]]
abreast,[[-0.68907714]]
abri,[[0.68628353]]
abridge,[[0.6862182]]
abridged,[[0.68619883]]
abridger,[[0.68651068]]
abridgers,[[0.68632299]]
abridges,[[0.68651062]]
abridging,[[0.68643147]]
abridgment,[[0.68649745]]
abridgments,[[0.68597621]]
abroach,[[-0.68652791]]
abroad,[[-0.68659163]]
abrogate,[[-0.68868977]]
abrogated,[[-0.68651444]]
abrogates,[[-0.68653256]]
abrogating,[[-0.68659264]]
abrogation,[[0.68643343]]
abrogations,[[-0.68663228]]
abrogator,[[-0.68651158]]
abrupt,[[-0.68803453]]
abrupter,[[0.68618625]]
abruptest,[[0.68651044]]
abruption,[[-0.68701077]]
abruptly,[[-0.68733233]]
abruptness,[[-0.6868993]]
abs,[[-0.6865834]]
abscess,[[0.68650967]]
abscessed,[[0.68636864]]
abscesses,[[0.68651044]]
abscind,[[-0.68651915]]
abscissa,[[-0.68666512]]
abscissas,[[-0.68655419]]
abscission,[[0.68650723]]
abscond,[[-0.68654311]]
absconded,[[0.68650812]]
absconder,[[-0.68653303]]
absconders,[[-0.6866219]]
absconding,[[-0.68738979]]
absconds,[[-0.68651193]]
abseil,[[0.68651104]]
absence,[[-0.68706363]]
absences,[[-0.68749559]]
absent,[[-0.6899333]]
absented,[[-0.68681729]]
absentee,[[0.68582302]]
absenteeism,[[0.68624139]]
absentees,[[0.686207]]
absenting,[[-0.68651569]]
absently,[[-0.68924093]]
absentminded,[[-0.68667018]]
absentmindedly,[[-0.68654829]]
absentmindedness,[[-0.68671501]]
absents,[[0.6864236]]
absinthe,[[-0.68725663]]
absinthism,[[-0.68660748]]
absolute,[[-0.69272673]]
absolutely,[[-0.68800402]]
absoluteness,[[-0.68689328]]
absolutes,[[-0.68660003]]
absolutest,[[-0.68685943]]
absolution,[[-0.68735683]]
absolutism,[[0.68630785]]
absolutist,[[0.68634605]]
absolutistic,[[0.68650186]]
absolutists,[[-0.68651235]]
absolvable,[[0.68640107]]
absolve,[[-0.68805182]]
absolved,[[-0.68673533]]
absolver,[[-0.68652493]]
absolvers,[[0.68642914]]
absolves,[[-0.68658352]]
absolving,[[0.68639278]]
absonant,[[-0.68672723]]
absorb,[[-0.68888581]]
absorbable,[[0.68639088]]
absorbed,[[-0.68671465]]
absorbency,[[0.68651116]]
absorbent,[[0.68621117]]
absorbents,[[-0.68665707]]
absorber,[[-0.68651122]]
absorbers,[[-0.68667203]]
absorbing,[[-0.68704194]]
absorbingly,[[-0.68675029]]
absorbs,[[-0.68663174]]
absorption,[[-0.68672019]]
absorptions,[[-0.68653691]]
absorptive,[[-0.68652415]]
absorptivities,[[0.68651116]]
absorptivity,[[0.68651068]]
absquatulate,[[0.68634123]]
absquatulated,[[-0.6865117]]
absquatulates,[[0.6865083]]
absquatulating,[[0.68642664]]
abstain,[[-0.68674839]]
abstained,[[0.68650055]]
abstainer,[[-0.68652189]]
abstainers,[[-0.68672639]]
abstaining,[[-0.68688422]]
abstains,[[-0.68655854]]
abstemious,[[0.68647295]]
abstemiously,[[0.68627751]]
abstemiousness,[[0.68630922]]
abstention,[[-0.68651885]]
abstentions,[[-0.68652946]]
abstergent,[[-0.68666083]]
abstinence,[[-0.68655109]]
abstinent,[[-0.68677306]]
abstract,[[-0.68656611]]
abstracted,[[-0.68785697]]
abstractedly,[[-0.68821824]]
abstractedness,[[-0.68655753]]
abstracter,[[-0.68654776]]
abstracting,[[-0.68669742]]
abstraction,[[-0.68654031]]
abstractionism,[[0.68650234]]
abstractionist,[[0.68650246]]
abstractionists,[[-0.68660748]]
abstractions,[[-0.69756466]]
abstractly,[[-0.68831211]]
abstractness,[[-0.68685633]]
abstracts,[[0.68651044]]
abstriction,[[0.686508]]
abstruse,[[0.68648422]]
abstrusely,[[0.68648279]]
abstruseness,[[0.68587232]]
absurd,[[-0.68833661]]
absurder,[[-0.68656206]]
absurdest,[[-0.6865384]]
absurdist,[[0.68650198]]
absurdities,[[0.68651092]]
absurdity,[[-0.68652505]]
absurdly,[[-0.68668658]]
absurdness,[[-0.68651193]]
abulia,[[-0.68682337]]
abulias,[[0.68651116]]
abulic,[[-0.68667251]]
abundance,[[0.68650305]]
abundances,[[-0.68660605]]
abundant,[[0.68624222]]
abundantly,[[0.68534875]]
abuse,[[-0.68697751]]
abused,[[-0.68662691]]
abuser,[[-0.68651783]]
abusers,[[-0.68660867]]
abuses,[[0.68648332]]
abusing,[[-0.69187844]]
abusive,[[-0.68725812]]
abusively,[[-0.69476324]]
abusiveness,[[-0.68684071]]
abut,[[-0.68651778]]
abutilon,[[0.68649584]]
abutment,[[-0.6865254]]
abutments,[[0.68640804]]
abuts,[[0.68638766]]
abuttal,[[0.68650407]]
abuttals,[[0.6864512]]
abutted,[[-0.68706048]]
abutters,[[0.68651086]]
abutting,[[0.68635827]]
abuzz,[[0.68605924]]
aby,[[-0.68661374]]
abying,[[-0.68663633]]
abysm,[[-0.68659168]]
abysmal,[[-0.68672913]]
abysmally,[[-0.68689424]]
abysms,[[-0.68651628]]
abyss,[[-0.686575]]
abyssal,[[0.68651116]]
abysses,[[-0.68928343]]
ac,[[-0.68683255]]
acacia,[[-0.68663746]]
acacias,[[-0.68666905]]
academe,[[-0.68661815]]
academia,[[0.68649518]]
academic,[[-0.68925172]]
academical,[[0.68544471]]
academically,[[-0.68667072]]
academician,[[-0.68652791]]
academicians,[[0.68593144]]
academicism,[[-0.68757814]]
academics,[[-0.68657303]]
academies,[[0.68509227]]
academism,[[-0.6865508]]
academy,[[0.68595648]]
acaleph,[[0.68651009]]
acanthaceous,[[0.6864869]]
acanthoid,[[-0.68651271]]
acanthopterygian,[[-0.68670255]]
acanthopterygians,[[-0.68700457]]
acanthus,[[-0.68674564]]
acanthuses,[[0.68647355]]
acari,[[-0.68651205]]
acariasis,[[0.68621147]]
acarid,[[0.68650132]]
acaroid,[[0.68651116]]
acarology,[[0.68651116]]
acarpous,[[-0.6871776]]
acarus,[[0.68648082]]
acatalectic,[[-0.68660718]]
acaulescent,[[-0.68651247]]
acc,[[-0.6865164]]
accede,[[-0.68651921]]
acceded,[[0.685507]]
accedence,[[-0.68672156]]
accedes,[[-0.68664986]]
acceding,[[0.68644261]]
accel,[[0.68647659]]
accelerando,[[0.68649751]]
accelerandos,[[0.68649644]]
accelerant,[[-0.68652368]]
accelerate,[[-0.68654442]]
accelerated,[[0.6864627]]
accelerates,[[-0.6865263]]
accelerating,[[-0.68664777]]
acceleration,[[-0.6872139]]
accelerations,[[-0.68700445]]
accelerative,[[-0.68653649]]
accelerator,[[-0.68675172]]
accelerators,[[-0.68670064]]
accelerometer,[[-0.68675774]]
accelerometers,[[-0.68651122]]
accent,[[-0.68830442]]
accented,[[-0.68659544]]
accenting,[[-0.6880247]]
accentor,[[-0.68651277]]
accentors,[[-0.68652463]]
accents,[[-0.69552785]]
accentual,[[-0.68655366]]
accentuate,[[-0.68683028]]
accentuated,[[-0.68826312]]
accentuates,[[0.68648034]]
accentuating,[[-0.68655455]]
accentuation,[[-0.68664575]]
accept,[[-0.68660998]]
acceptability,[[0.68647879]]
acceptable,[[0.68584257]]
acceptableness,[[0.686463]]
acceptably,[[0.68385953]]
acceptance,[[0.68620527]]
acceptances,[[-0.68652523]]
acceptant,[[-0.68668669]]
acceptation,[[0.68648338]]
acceptations,[[-0.68652868]]
accepted,[[-0.68736893]]
accepter,[[0.68650252]]
accepting,[[-0.68686432]]
acceptor,[[0.68643689]]
acceptors,[[-0.68654054]]
accepts,[[-0.68700123]]
access,[[-0.68793041]]
accessed,[[-0.68653953]]
accesses,[[-0.68653524]]
accessibility,[[0.68635029]]
accessible,[[0.68648911]]
accessibleness,[[0.6864028]]
accessibly,[[0.68649459]]
accessing,[[-0.68653721]]
accession,[[0.68646985]]
accessional,[[0.68648422]]
accessioned,[[0.68651009]]
accessioning,[[0.68644696]]
accessions,[[0.68590337]]
accessories,[[-0.68674076]]
accessorizing,[[-0.68651116]]
accessory,[[-0.68651801]]
accidence,[[0.68648404]]
accidences,[[-0.68652195]]
accident,[[-0.68722278]]
accidental,[[-0.68693209]]
accidentally,[[0.68648899]]
accidentals,[[-0.68659985]]
accidents,[[-0.68651736]]
accidie,[[-0.68674862]]
accipiter,[[0.6865027]]
accipitrine,[[-0.68653822]]
acclaim,[[-0.68651295]]
acclaimed,[[-0.68771565]]
acclaiming,[[-0.68657792]]
acclaims,[[-0.6865226]]
acclamation,[[0.68647689]]
acclamations,[[0.68576968]]
acclamatory,[[-0.6942994]]
acclimate,[[-0.6865862]]
acclimated,[[0.68650532]]
acclimating,[[0.68643183]]
acclimation,[[0.68651062]]
acclimatization,[[-0.68657792]]
acclimatize,[[-0.68651259]]
acclimatized,[[0.68637425]]
acclimatizes,[[-0.68652922]]
acclimatizing,[[0.68642718]]
acclivities,[[0.68648249]]
acclivitous,[[-0.68651742]]
acclivity,[[0.68650424]]
accolade,[[-0.69312072]]
accolades,[[-0.68651682]]
accommodate,[[0.68598324]]
accommodated,[[0.6861577]]
accommodates,[[0.68649352]]
accommodating,[[-0.68652922]]
accommodatingly,[[0.68579471]]
accommodation,[[0.68616128]]
accommodations,[[0.68647492]]
accommodative,[[-0.6867789]]
accompanied,[[-0.68688303]]
accompanies,[[-0.68652648]]
accompaniment,[[-0.68658638]]
accompaniments,[[0.68644375]]
accompanist,[[-0.68655992]]
accompanists,[[-0.68651313]]
accompany,[[-0.68652302]]
accompanying,[[-0.68923771]]
accompanyist,[[-0.68697762]]
accompanyists,[[0.68637705]]
accomplice,[[-0.68981022]]
accomplices,[[-0.68670237]]
accomplish,[[-0.68723142]]
accomplished,[[-0.68652403]]
accomplisher,[[-0.68674529]]
accomplishes,[[-0.68805391]]
accomplishing,[[0.6865086]]
accomplishment,[[0.68645543]]
accomplishments,[[0.68533319]]
accord,[[-0.68666649]]
accordance,[[-0.68652248]]
accordant,[[-0.6865617]]
accorded,[[0.6864807]]
according,[[-0.68665576]]
accordingly,[[0.68649161]]
accordion,[[-0.68719763]]
accordionist,[[-0.68662703]]
accordions,[[-0.68654239]]
accords,[[-0.68652713]]
accost,[[-0.68668234]]
accosted,[[-0.68679464]]
accosting,[[-0.6865167]]
accosts,[[-0.68673182]]
accouchement,[[0.68650496]]
accouchements,[[-0.68656826]]
accoucheur,[[0.68643421]]
accoucheurs,[[0.68648255]]
account,[[-0.68775094]]
accountability,[[0.68620819]]
accountable,[[0.68616354]]
accountableness,[[0.68537921]]
accountably,[[-0.68684304]]
accountancy,[[-0.68660498]]
accountant,[[-0.68673259]]
accountants,[[0.68645418]]
accounted,[[-0.68836409]]
accounting,[[-0.68652737]]
accounts,[[0.68637836]]
accouplement,[[-0.68654305]]
accouter,[[-0.68652993]]
accoutered,[[-0.68651676]]
accoutering,[[-0.68672723]]
accouterment,[[0.6865086]]
accouterments,[[-0.68657619]]
accoutre,[[-0.68678486]]
accoutred,[[-0.68778825]]
accoutrement,[[-0.68652636]]
accoutrements,[[-0.68654424]]
accoutres,[[0.68650395]]
accoutring,[[-0.6865828]]
accredit,[[0.68570268]]
accreditation,[[0.68650311]]
accredited,[[0.68646652]]
accrediting,[[0.68604034]]
accredits,[[0.68645006]]
accrescent,[[0.6864816]]
accrete,[[-0.68658793]]
accreted,[[-0.68707907]]
accretes,[[-0.68656725]]
accreting,[[-0.68651706]]
accretion,[[-0.68657011]]
accretionary,[[-0.68655521]]
accretions,[[-0.69022018]]
accretive,[[0.68650156]]
accroach,[[-0.68660456]]
accrual,[[0.68651021]]
accruals,[[0.6865111]]
accrue,[[-0.68690199]]
accrued,[[0.68606359]]
accrues,[[-0.68653041]]
accruing,[[0.68633825]]
acct,[[0.68646652]]
acculturate,[[-0.68651348]]
acculturated,[[-0.6870563]]
acculturation,[[-0.68651336]]
acculturative,[[0.68651116]]
accumbent,[[-0.68659848]]
accumulate,[[-0.68651694]]
accumulated,[[0.68645811]]
accumulates,[[-0.68770373]]
accumulating,[[0.68643296]]
accumulation,[[-0.68656623]]
accumulations,[[0.68623614]]
accumulative,[[-0.69662213]]
accumulator,[[-0.68651742]]
accumulators,[[-0.68662059]]
accuracies,[[-0.68661654]]
accuracy,[[0.68648642]]
accurate,[[0.68644774]]
accurately,[[-0.68652612]]
accurateness,[[0.68651038]]
accursed,[[-0.69741142]]
accursedly,[[-0.68706518]]
accursedness,[[0.68649209]]
accusal,[[-0.68746394]]
accusals,[[-0.68657076]]
accusation,[[-0.68891287]]
accusations,[[-0.68731141]]
accusative,[[-0.68673778]]
accusatives,[[-0.68655217]]
accusatorial,[[0.68651104]]
accusatory,[[-0.68697429]]
accuse,[[-0.68881398]]
accused,[[-0.68776244]]
accuser,[[-0.69360328]]
accusers,[[-0.68651348]]
accuses,[[-0.68681145]]
accusing,[[-0.68946254]]
accusingly,[[-0.68657619]]
accustom,[[-0.68752772]]
accustomed,[[-0.68727106]]
accustoming,[[0.68650919]]
accustoms,[[-0.68652141]]
ace,[[-0.68667483]]
aced,[[-0.68653381]]
acedia,[[-0.6865865]]
acentric,[[-0.68667501]]
acephalous,[[-0.68656993]]
acerate,[[-0.68651438]]
acerb,[[-0.68702626]]
acerbate,[[0.68648666]]
acerbated,[[0.68650264]]
acerbic,[[-0.68751806]]
acerbity,[[-0.68668878]]
acerose,[[0.6865055]]
aces,[[-0.68668181]]
acescent,[[-0.68654698]]
acetabulum,[[0.68649608]]
acetal,[[0.68651116]]
acetaldehyde,[[-0.68651265]]
acetamide,[[0.68651116]]
acetanilide,[[-0.68651193]]
acetate,[[0.6865083]]
acetates,[[-0.68652713]]
acetic,[[-0.68653601]]
acetified,[[0.68591601]]
acetify,[[-0.68652719]]
acetifying,[[-0.68718565]]
acetometer,[[0.686481]]
acetone,[[-0.68652254]]
acetonic,[[-0.68655598]]
acetous,[[0.68645626]]
acetum,[[-0.68651444]]
acetyl,[[-0.68653774]]
acetylated,[[0.68651116]]
acetylcholine,[[0.68651116]]
acetylene,[[-0.68655509]]
ache,[[-0.68696183]]
ached,[[-0.68711609]]
achene,[[-0.68651134]]
achenes,[[-0.68651175]]
aches,[[-0.68686283]]
achier,[[-0.6865353]]
achievable,[[0.68637526]]
achieve,[[-0.68675673]]
achieved,[[0.68635464]]
achievement,[[-0.68651551]]
