Word, Value
no,[[0.21764433]]
th,[[0.21791373]]
tm,[[0.2176452]]
aa,[[0.21768098]]
aah,[[0.2176647]]
aalii,[[0.21765678]]
aardvark,[[0.21776453]]
aardvarks,[[0.21766853]]
aardwolf,[[-0.21764365]]
ab,[[0.21771541]]
aba,[[0.21771553]]
abaca,[[0.21772386]]
abacas,[[0.21769904]]
abacist,[[0.2176445]]
aback,[[0.21784015]]
abacus,[[0.21766973]]
abacuses,[[0.21768385]]
abaft,[[0.21826522]]
abalone,[[-0.21761884]]
abalones,[[0.2176557]]
abamp,[[0.21764433]]
abandon,[[0.2178964]]
abandoned,[[0.2233215]]
abandonedly,[[0.21764451]]
abandoning,[[0.21784531]]
abandonment,[[0.2180267]]
abandons,[[0.2214987]]
abas,[[0.21766298]]
abase,[[0.21787214]]
abased,[[0.21806353]]
abasement,[[0.21986112]]
abases,[[0.21786778]]
abash,[[0.21778087]]
abashed,[[0.21774028]]
abashedly,[[0.21768576]]
abashes,[[-0.21764348]]
abashing,[[0.21781689]]
abashment,[[0.21765167]]
abasing,[[0.21779539]]
abate,[[0.21770842]]
abated,[[0.21833822]]
abatement,[[0.21767062]]
abates,[[0.21778348]]
abating,[[0.21797381]]
abatis,[[0.21776074]]
abattoir,[[0.21766113]]
abattoirs,[[0.2176459]]
abaxial,[[0.21765675]]
abb,[[0.21778116]]
abba,[[0.21777786]]
abbacies,[[0.21770807]]
abbacy,[[0.21785875]]
abbatial,[[0.21767339]]
abbe,[[0.21776922]]
abbes,[[0.21764526]]
abbess,[[0.21814683]]
abbesses,[[0.21770301]]
abbey,[[0.21778001]]
abbeys,[[0.2177424]]
abbot,[[0.21764769]]
abbots,[[0.21767387]]
abbr,[[0.2176476]]
abbrev,[[0.21783827]]
abbreviate,[[0.21767077]]
abbreviated,[[0.21771809]]
abbreviates,[[-0.2176429]]
abbreviating,[[0.21765122]]
abbreviation,[[0.21765901]]
abbreviations,[[0.21770893]]
abbreviator,[[0.21767591]]
abbrevs,[[0.21764445]]
abdicate,[[0.2179514]]
abdicated,[[0.21769586]]
abdicates,[[0.21766144]]
abdicating,[[0.21903668]]
abdication,[[0.21923715]]
abdications,[[0.21770889]]
abdicator,[[-0.21763958]]
abdicators,[[0.21764781]]
abdomen,[[0.21792954]]
abdomens,[[0.21767445]]
abdominal,[[0.21778511]]
abdominally,[[0.21765241]]
abdominous,[[0.21770659]]
abduce,[[0.21767497]]
abduced,[[0.21766004]]
abducent,[[-0.21764058]]
abducing,[[0.21766867]]
abduct,[[0.21765046]]
abducted,[[0.2178607]]
abducting,[[0.2176463]]
abduction,[[0.21767767]]
abductions,[[0.21787046]]
abductor,[[0.21802542]]
abductors,[[0.21794705]]
abducts,[[0.21765095]]
abeam,[[0.21782701]]
abecedarian,[[0.21764934]]
abecedarians,[[0.21769868]]
abecedarium,[[0.21767025]]
abecedary,[[0.21765457]]
abed,[[0.21819369]]
abele,[[0.21764523]]
abeles,[[0.21768177]]
abelmosk,[[0.21764433]]
aberrance,[[0.21770503]]
aberrancies,[[-0.21761566]]
aberrancy,[[0.21765094]]
aberrant,[[0.21764778]]
aberration,[[0.21817543]]
aberrational,[[0.21764517]]
aberrations,[[0.21765624]]
abessive,[[0.21764433]]
abet,[[0.21775471]]
abetment,[[0.21794386]]
abetments,[[0.21771008]]
abets,[[0.21768777]]
abetted,[[0.22699843]]
abetter,[[0.21765462]]
abetters,[[0.21778609]]
abetting,[[0.21764502]]
abettor,[[0.21767165]]
abettors,[[0.21765815]]
abeyance,[[0.2177822]]
abeyant,[[0.21766101]]
abhor,[[0.21844439]]
abhorred,[[0.21842079]]
abhorrence,[[0.22100425]]
abhorrent,[[0.21781448]]
abhorrently,[[0.217675]]
abhorrer,[[0.21780217]]
abhorrers,[[0.21764706]]
abhorring,[[0.21799961]]
abhors,[[0.21768048]]
abidance,[[0.21764785]]
abide,[[0.21769375]]
abider,[[0.21764539]]
abides,[[0.21808968]]
abiding,[[0.21896717]]
abidingly,[[0.21764666]]
abies,[[0.21764483]]
abigail,[[0.21770044]]
abilities,[[0.21779726]]
ability,[[0.21775237]]
abiogenesis,[[0.21764518]]
abiogenetic,[[0.21764731]]
abiotic,[[0.21764447]]
abject,[[0.21955484]]
abjection,[[0.21766831]]
abjectly,[[0.21844929]]
abjectness,[[0.2178387]]
abjuration,[[0.21765102]]
abjurations,[[0.21769756]]
abjure,[[0.22006345]]
abjured,[[0.21796106]]
abjurer,[[0.21765429]]
abjurers,[[0.21770822]]
abjures,[[0.21768767]]
abjuring,[[0.21767664]]
abl,[[0.21765038]]
ablate,[[0.21767113]]
ablated,[[0.21765497]]
ablating,[[0.21766412]]
ablation,[[0.21793702]]
ablations,[[0.21765587]]
ablative,[[0.21765229]]
ablatives,[[0.21764565]]
ablaut,[[-0.21764381]]
ablaze,[[0.21823397]]
able,[[0.22241318]]
ablepsia,[[0.21764651]]
abler,[[0.21779875]]
ablest,[[0.2179089]]
abloom,[[0.21766829]]
ablution,[[0.21766269]]
ablutions,[[0.21765949]]
ably,[[0.21828705]]
abnegate,[[0.21764793]]
abnegated,[[0.21765167]]
abnegates,[[0.21764606]]
abnegating,[[0.21769552]]
abnegation,[[0.21798491]]
abnormal,[[0.2176716]]
abnormalities,[[0.2176452]]
abnormality,[[0.21765685]]
abnormally,[[0.21780807]]
abnormity,[[0.21766415]]
aboard,[[0.21767315]]
abode,[[0.21768017]]
abodes,[[0.21802066]]
abolish,[[0.21790425]]
abolished,[[0.21787022]]
abolisher,[[0.21782906]]
abolishes,[[0.21765022]]
abolishing,[[0.21919006]]
abolishment,[[0.21773365]]
abolishments,[[0.21765058]]
abolition,[[0.2192608]]
abolitionism,[[0.21766324]]
abolitionist,[[0.21892051]]
abolitionists,[[0.21775097]]
abomasum,[[0.2177283]]
abominable,[[0.21768545]]
abominably,[[0.21774852]]
abominate,[[0.2176784]]
abominated,[[0.21801826]]
abominates,[[0.21769199]]
abominating,[[0.21766856]]
abomination,[[0.21775556]]
abominations,[[0.21766375]]
abominator,[[0.21765919]]
abominators,[[0.21768364]]
aboral,[[0.21764468]]
aboriginal,[[0.21766216]]
aboriginally,[[0.2176462]]
aboriginals,[[0.21765271]]
aborigine,[[0.21768723]]
aborigines,[[0.21767755]]
aborning,[[0.21767636]]
abort,[[0.21771485]]
aborted,[[0.21775036]]
aborticide,[[0.21764545]]
abortifacient,[[0.21764447]]
abortifacients,[[0.21764702]]
aborting,[[0.21773252]]
abortion,[[0.21764997]]
abortionist,[[0.21765149]]
abortionists,[[0.21764612]]
abortions,[[0.21793254]]
abortive,[[0.21772328]]
abortively,[[0.21767752]]
aborts,[[0.21765256]]
aboulia,[[0.21765605]]
abound,[[0.21782583]]
abounded,[[0.22126311]]
abounding,[[0.2180056]]
abounds,[[0.21780723]]
aboveboard,[[0.21765789]]
aboveground,[[0.21764927]]
abr,[[0.2176549]]
abracadabra,[[0.21768236]]
abradant,[[0.21792315]]
abradants,[[0.21764645]]
abrade,[[0.21846034]]
abraded,[[0.21813215]]
abrader,[[0.21766342]]
abraders,[[0.21764645]]
abrades,[[0.21765804]]
abrading,[[0.2176619]]
abranchiate,[[0.21766123]]
abrasion,[[0.21774514]]
abrasions,[[0.21765521]]
abrasive,[[0.21785536]]
abrasively,[[0.21764605]]
abrasives,[[0.21765225]]
abraxas,[[0.21768555]]
abreact,[[-0.21763408]]
abreacted,[[-0.21756354]]
abreacting,[[-0.21763645]]
abreaction,[[0.21767342]]
abreast,[[0.22007331]]
abri,[[0.21765816]]
abridge,[[0.21767655]]
abridged,[[0.21797204]]
abridger,[[0.21765271]]
abridgers,[[0.21766679]]
abridges,[[0.21764643]]
abridging,[[0.21803054]]
abridgment,[[0.21789661]]
abridgments,[[0.21774305]]
abroach,[[0.21764766]]
abroad,[[0.21915255]]
abrogate,[[0.21809679]]
abrogated,[[0.21825938]]
abrogates,[[0.21768035]]
abrogating,[[0.21766286]]
abrogation,[[0.21787608]]
abrogations,[[0.21764524]]
abrogator,[[-0.21764357]]
abrupt,[[0.21777241]]
abrupter,[[0.21764517]]
abruptest,[[0.21772203]]
abruption,[[-0.21759038]]
abruptly,[[0.21775779]]
abruptness,[[0.2185294]]
abs,[[0.21764576]]
abscess,[[0.21774988]]
abscessed,[[0.21780077]]
abscesses,[[0.21836427]]
abscind,[[0.2176448]]
abscissa,[[0.21764587]]
abscissas,[[0.21765462]]
abscission,[[0.21765012]]
abscond,[[0.21776345]]
absconded,[[0.21786924]]
absconder,[[0.21764913]]
absconders,[[0.21774092]]
absconding,[[0.21768758]]
absconds,[[0.2177842]]
abseil,[[0.21769767]]
absence,[[0.22166188]]
absences,[[0.21816964]]
absent,[[0.21775806]]
absented,[[0.21775518]]
absentee,[[0.21863981]]
absenteeism,[[0.22100078]]
absentees,[[0.22442381]]
absenting,[[0.21773621]]
absently,[[0.21779007]]
absentminded,[[0.21766582]]
absentmindedly,[[0.21770696]]
absentmindedness,[[0.21765807]]
absents,[[0.2176605]]
absinthe,[[0.2176698]]
absinthism,[[-0.21763222]]
absolute,[[0.21833898]]
absolutely,[[0.21846344]]
absoluteness,[[0.21781361]]
absolutes,[[0.21765092]]
absolutest,[[-0.21763204]]
absolution,[[0.21793416]]
absolutism,[[0.21776082]]
absolutist,[[0.21787505]]
absolutistic,[[-0.21759662]]
absolutists,[[0.2178245]]
absolvable,[[0.2176726]]
absolve,[[0.21768625]]
absolved,[[0.21794754]]
absolver,[[0.2176774]]
absolvers,[[0.21764943]]
absolves,[[0.21768455]]
absolving,[[0.21818325]]
absonant,[[0.21764487]]
absorb,[[0.2181173]]
absorbable,[[0.21765983]]
absorbed,[[0.22714132]]
absorbency,[[0.21765728]]
absorbent,[[0.22001992]]
absorbents,[[0.21771485]]
absorber,[[0.21855208]]
absorbers,[[0.21764685]]
absorbing,[[0.21905462]]
absorbingly,[[0.21769926]]
absorbs,[[0.22062565]]
absorption,[[0.21772012]]
absorptions,[[0.21765734]]
absorptive,[[0.21768503]]
absorptivities,[[0.21764433]]
absorptivity,[[0.21764441]]
absquatulate,[[0.21764483]]
absquatulated,[[-0.21764392]]
absquatulates,[[0.21765752]]
absquatulating,[[0.21769005]]
abstain,[[0.21792038]]
abstained,[[0.21772046]]
abstainer,[[0.21780127]]
abstainers,[[0.21795386]]
abstaining,[[0.21810018]]
abstains,[[0.21768297]]
abstemious,[[0.21774779]]
abstemiously,[[0.21767431]]
abstemiousness,[[0.21787469]]
abstention,[[0.21773164]]
abstentions,[[0.21768813]]
abstergent,[[0.21780038]]
abstinence,[[0.21764754]]
abstinent,[[0.2182813]]
abstract,[[0.21896824]]
abstracted,[[0.21772681]]
abstractedly,[[0.21823007]]
abstractedness,[[0.21767519]]
abstracter,[[0.21766277]]
abstracting,[[0.21815538]]
abstraction,[[0.21801046]]
abstractionism,[[0.2176542]]
abstractionist,[[0.2176895]]
abstractionists,[[0.21765904]]
abstractions,[[0.21766846]]
abstractly,[[0.21774684]]
abstractness,[[0.21768117]]
abstracts,[[0.21773918]]
abstriction,[[0.21764463]]
abstruse,[[0.21777388]]
abstrusely,[[0.21790645]]
abstruseness,[[0.21768415]]
absurd,[[0.21847077]]
absurder,[[0.21764806]]
absurdest,[[0.21769118]]
absurdist,[[0.21764611]]
absurdities,[[0.21774943]]
absurdity,[[0.21766248]]
absurdly,[[0.21785358]]
absurdness,[[0.21764666]]
abulia,[[0.21767369]]
abulias,[[-0.21763442]]
abulic,[[0.21764456]]
abundance,[[0.21902467]]
abundances,[[0.21835816]]
abundant,[[0.21978141]]
abundantly,[[0.21850982]]
abuse,[[0.21814057]]
abused,[[0.21867745]]
abuser,[[0.21769446]]
abusers,[[0.21775115]]
abuses,[[0.21992646]]
abusing,[[0.21780892]]
abusive,[[0.21792418]]
abusively,[[0.21779495]]
abusiveness,[[0.21767382]]
abut,[[0.21765281]]
abutilon,[[0.21771625]]
abutment,[[0.21808583]]
abutments,[[0.21765202]]
abuts,[[0.2202546]]
abuttal,[[0.21827987]]
abuttals,[[0.21766394]]
abutted,[[0.2177114]]
abutters,[[0.21766818]]
abutting,[[0.22064991]]
abuzz,[[0.2176476]]
aby,[[0.21764705]]
