Word, Value
no,[[0.15123881]]
th,[[-0.1526988]]
tm,[[-0.15123969]]
aa,[[-0.15168105]]
aah,[[-0.15257628]]
aalii,[[0.15123881]]
aardvark,[[-0.15142292]]
aardvarks,[[0.15123881]]
aardwolf,[[-0.15141569]]
ab,[[-0.15665825]]
aba,[[-0.15146968]]
abaca,[[-0.15162766]]
abacas,[[-0.15125023]]
abacist,[[-0.15128614]]
aback,[[-0.15850554]]
abacus,[[-0.15183948]]
abacuses,[[-0.15138222]]
abaft,[[-0.15225855]]
abalone,[[-0.15142941]]
abalones,[[-0.15124321]]
abamp,[[0.15123881]]
abandon,[[-0.1516175]]
abandoned,[[-0.22161064]]
abandonedly,[[-0.15135442]]
abandoning,[[-0.17135245]]
abandonment,[[-0.15159348]]
abandons,[[-0.15896635]]
abas,[[-0.15129067]]
abase,[[-0.15153532]]
abased,[[-0.15635881]]
abasement,[[-0.16766933]]
abases,[[-0.15200277]]
abash,[[-0.16520013]]
abashed,[[-0.15952069]]
abashedly,[[-0.15158898]]
abashes,[[-0.15324669]]
abashing,[[-0.15204354]]
abashment,[[-0.15476584]]
abasing,[[-0.15173601]]
abate,[[-0.15220194]]
abated,[[-0.16927533]]
abatement,[[-0.15819684]]
abates,[[-0.18510568]]
abating,[[-0.15252455]]
abatis,[[-0.15125556]]
abattoir,[[-0.15249386]]
abattoirs,[[-0.15129825]]
abaxial,[[0.15123881]]
abb,[[-0.15152636]]
abba,[[-0.15128624]]
abbacies,[[-0.15190141]]
abbacy,[[-0.15163168]]
abbatial,[[-0.15321565]]
abbe,[[-0.15159617]]
abbes,[[-0.15136063]]
abbess,[[-0.1513844]]
abbesses,[[-0.15259477]]
abbey,[[-0.15151756]]
abbeys,[[-0.15155661]]
abbot,[[-0.1516597]]
abbots,[[-0.1513222]]
abbr,[[-0.15127589]]
abbrev,[[-0.15140885]]
abbreviate,[[-0.15616934]]
abbreviated,[[-0.1513202]]
abbreviates,[[-0.15160084]]
abbreviating,[[-0.15157084]]
abbreviation,[[-0.15444461]]
abbreviations,[[-0.15142357]]
abbreviator,[[-0.15174316]]
abbrevs,[[-0.15124874]]
abdicate,[[-0.15273033]]
abdicated,[[-0.15159285]]
abdicates,[[-0.15148494]]
abdicating,[[-0.15806426]]
abdication,[[-0.15609513]]
abdications,[[-0.15150057]]
abdicator,[[-0.15136456]]
abdicators,[[-0.15124342]]
abdomen,[[-0.15174852]]
abdomens,[[-0.1513433]]
abdominal,[[-0.15272196]]
abdominally,[[-0.15125699]]
abdominous,[[-0.15363567]]
abduce,[[-0.15127157]]
abduced,[[-0.15123935]]
abducent,[[-0.15133871]]
abducing,[[-0.15123954]]
abduct,[[-0.15258741]]
abducted,[[-0.15239012]]
abducting,[[-0.15124743]]
abduction,[[-0.15135212]]
abductions,[[-0.15125899]]
abductor,[[-0.15184066]]
abductors,[[-0.15169023]]
abducts,[[-0.1519675]]
abeam,[[-0.15160702]]
abecedarian,[[-0.15132843]]
abecedarians,[[-0.15124254]]
abecedarium,[[-0.15125327]]
abecedary,[[-0.15158816]]
abed,[[-0.15770656]]
abele,[[-0.15131325]]
abeles,[[-0.15151252]]
abelmosk,[[0.15123881]]
aberrance,[[-0.15152112]]
aberrancies,[[-0.15160111]]
aberrancy,[[-0.15126836]]
aberrant,[[-0.15156537]]
aberration,[[-0.15326762]]
aberrational,[[-0.15138885]]
aberrations,[[-0.15143354]]
abessive,[[-0.15124124]]
abet,[[-0.15422907]]
abetment,[[-0.15155435]]
abetments,[[-0.15147851]]
abets,[[-0.15327516]]
abetted,[[-0.18024705]]
abetter,[[-0.15134063]]
abetters,[[-0.15196154]]
abetting,[[-0.15196063]]
abettor,[[-0.15161487]]
abettors,[[-0.15130113]]
abeyance,[[-0.16002035]]
abeyant,[[-0.15126048]]
abhor,[[-0.15196428]]
abhorred,[[-0.15268514]]
abhorrence,[[-0.15216601]]
abhorrent,[[-0.17204301]]
abhorrently,[[-0.15379092]]
abhorrer,[[-0.15175037]]
abhorrers,[[-0.15131381]]
abhorring,[[-0.15234183]]
abhors,[[-0.15231553]]
abidance,[[-0.15132837]]
abide,[[-0.15129294]]
abider,[[-0.15136015]]
abides,[[-0.15611359]]
abiding,[[-0.15135451]]
abidingly,[[-0.15153128]]
abies,[[-0.15162396]]
abigail,[[-0.1523208]]
abilities,[[-0.15354563]]
ability,[[-0.1543014]]
abiogenesis,[[-0.15264656]]
abiogenetic,[[-0.15133698]]
abiotic,[[0.15123881]]
abject,[[-0.15206073]]
abjection,[[-0.15130804]]
abjectly,[[-0.15218288]]
abjectness,[[-0.15242147]]
abjuration,[[-0.15339115]]
abjurations,[[-0.15280811]]
abjure,[[-0.16307171]]
abjured,[[-0.15680707]]
abjurer,[[-0.15131395]]
abjurers,[[-0.15218595]]
abjures,[[-0.16936798]]
