Word, Value
no,[[0.13485917]]
th,[[0.13622265]]
tm,[[0.13488522]]
aa,[[0.13536893]]
aah,[[0.1348843]]
aalii,[[0.13485917]]
aardvark,[[0.13485952]]
aardvarks,[[0.13487424]]
aardwolf,[[0.13486452]]
ab,[[0.13492547]]
aba,[[0.13486491]]
abaca,[[0.13490383]]
abacas,[[0.13489434]]
abacist,[[0.13485917]]
aback,[[0.17631915]]
abacus,[[0.13486628]]
abacuses,[[0.13485925]]
abaft,[[0.1357909]]
abalone,[[0.13489966]]
abalones,[[0.13489892]]
abamp,[[0.13487259]]
abandon,[[0.14370526]]
abandoned,[[0.14668265]]
abandonedly,[[0.13492289]]
abandoning,[[0.1521817]]
abandonment,[[0.13946557]]
abandons,[[0.13521942]]
abas,[[0.1351973]]
abase,[[0.13762277]]
abased,[[0.13562357]]
abasement,[[0.14354061]]
abases,[[0.13507462]]
abash,[[0.13674475]]
abashed,[[0.1447034]]
abashedly,[[0.13493934]]
abashes,[[0.13593444]]
abashing,[[0.13638698]]
abashment,[[0.13532157]]
abasing,[[0.1365875]]
abate,[[0.13512778]]
abated,[[0.13966714]]
abatement,[[0.13613364]]
abates,[[0.13523467]]
abating,[[0.1351545]]
abatis,[[0.13502608]]
abattoir,[[0.13577278]]
abattoirs,[[0.13491458]]
abaxial,[[0.13485917]]
abb,[[0.13491037]]
abba,[[0.13548371]]
abbacies,[[0.13496274]]
abbacy,[[0.13503137]]
abbatial,[[0.1352534]]
abbe,[[0.13488181]]
abbes,[[0.13486162]]
abbess,[[0.15811285]]
abbesses,[[0.13486733]]
abbey,[[0.14486073]]
abbeys,[[0.135166]]
abbot,[[0.14317878]]
abbots,[[0.13495104]]
abbr,[[0.13487092]]
abbrev,[[0.13506064]]
abbreviate,[[0.13489977]]
abbreviated,[[0.1409765]]
abbreviates,[[0.13495623]]
abbreviating,[[0.13571243]]
abbreviation,[[0.13621262]]
abbreviations,[[0.13560233]]
abbreviator,[[0.13496159]]
abbrevs,[[0.1348621]]
abdicate,[[0.14205153]]
abdicated,[[0.13838185]]
abdicates,[[0.13546373]]
abdicating,[[0.13608442]]
abdication,[[0.13740912]]
abdications,[[0.13712068]]
abdicator,[[0.13485974]]
abdicators,[[0.13485925]]
abdomen,[[0.13512559]]
abdomens,[[0.13538493]]
abdominal,[[0.13489135]]
abdominally,[[0.13487533]]
abdominous,[[0.13486104]]
abduce,[[0.13496418]]
abduced,[[0.13486622]]
abducent,[[0.13492151]]
abducing,[[0.1348802]]
abduct,[[0.13535316]]
abducted,[[0.13573575]]
abducting,[[0.13490964]]
abduction,[[0.13560936]]
abductions,[[0.13518918]]
abductor,[[0.1353624]]
abductors,[[0.13573979]]
abducts,[[0.13492315]]
abeam,[[0.13515319]]
abecedarian,[[0.13488308]]
abecedarians,[[-0.13483191]]
abecedarium,[[0.13498566]]
abecedary,[[0.13486193]]
abed,[[0.13662091]]
abele,[[0.13501443]]
abeles,[[0.13490702]]
abelmosk,[[0.13485917]]
aberrance,[[0.13492244]]
aberrancies,[[0.13532512]]
aberrancy,[[0.13485925]]
aberrant,[[0.13493989]]
aberration,[[0.13578282]]
aberrational,[[0.13489117]]
aberrations,[[0.13491796]]
abessive,[[0.1348791]]
abet,[[0.1386468]]
abetment,[[0.13529232]]
abetments,[[0.1348906]]
abets,[[0.13770631]]
abetted,[[0.13487293]]
abetter,[[0.13487729]]
abetters,[[0.13507169]]
abetting,[[0.13718012]]
abettor,[[0.14257663]]
abettors,[[0.1349352]]
abeyance,[[0.13574861]]
abeyant,[[0.13486312]]
abhor,[[0.13510868]]
abhorred,[[0.14031503]]
abhorrence,[[0.15048429]]
abhorrent,[[0.14544576]]
abhorrently,[[0.13487007]]
abhorrer,[[0.13493733]]
abhorrers,[[0.13497601]]
abhorring,[[0.13502334]]
abhors,[[0.13687693]]
abidance,[[0.13488153]]
abide,[[0.13488549]]
abider,[[0.13486144]]
abides,[[0.13514131]]
abiding,[[0.13744813]]
abidingly,[[0.13488325]]
abies,[[0.13524804]]
abigail,[[0.13502349]]
abilities,[[0.15344322]]
ability,[[0.13644141]]
