Word, Value
no,[[0.53052545]]
th,[[0.53090733]]
tm,[[0.53052574]]
aa,[[0.53056091]]
aah,[[0.53052831]]
aalii,[[0.53052545]]
aardvark,[[0.53052545]]
aardvarks,[[0.53052545]]
aardwolf,[[0.53052545]]
ab,[[0.53054571]]
aba,[[0.53052574]]
abaca,[[-0.53051233]]
abacas,[[0.53052545]]
abacist,[[0.53052545]]
aback,[[0.53077513]]
abacus,[[0.53052574]]
abacuses,[[0.53052771]]
abaft,[[0.53060126]]
abalone,[[-0.53052521]]
abalones,[[0.53065079]]
abamp,[[0.53052545]]
abandon,[[0.53426421]]
abandoned,[[0.53243893]]
abandonedly,[[0.53065115]]
abandoning,[[0.53068572]]
abandonment,[[0.53091568]]
abandons,[[0.53094107]]
abas,[[0.5307343]]
abase,[[0.53058118]]
abased,[[0.53057879]]
abasement,[[0.53427285]]
abases,[[0.5306437]]
abash,[[0.53052574]]
abashed,[[0.53164232]]
abashedly,[[-0.53026658]]
abashes,[[0.53190333]]
abashing,[[0.53055024]]
abashment,[[0.53099537]]
abasing,[[0.53115475]]
abate,[[0.53208327]]
abated,[[0.53153664]]
abatement,[[0.5313018]]
abates,[[0.53060049]]
abating,[[0.53054434]]
abatis,[[0.53113163]]
abattoir,[[0.53086454]]
abattoirs,[[0.53052562]]
abaxial,[[0.53052545]]
abb,[[0.53062731]]
abba,[[0.53065819]]
abbacies,[[0.53056103]]
abbacy,[[0.53057998]]
abbatial,[[0.53060633]]
abbe,[[0.53074569]]
abbes,[[0.53053278]]
abbess,[[0.53077924]]
abbesses,[[0.53059685]]
abbey,[[0.53136164]]
abbeys,[[0.53219056]]
abbot,[[0.53075224]]
abbots,[[0.53100854]]
abbr,[[0.53053343]]
abbrev,[[0.53055751]]
abbreviate,[[0.53062743]]
abbreviated,[[0.53139406]]
abbreviates,[[0.53058732]]
abbreviating,[[0.53056264]]
abbreviation,[[0.53077221]]
abbreviations,[[0.53053313]]
abbreviator,[[0.5316456]]
abbrevs,[[-0.53051543]]
abdicate,[[0.53099161]]
abdicated,[[0.53178018]]
abdicates,[[0.53052694]]
abdicating,[[0.5331462]]
abdication,[[0.53245527]]
abdications,[[-0.53044188]]
abdicator,[[0.53056037]]
abdicators,[[0.53052545]]
abdomen,[[0.53071469]]
abdomens,[[-0.53048456]]
abdominal,[[0.53052706]]
abdominally,[[0.53052545]]
abdominous,[[0.53063166]]
abduce,[[0.53052801]]
abduced,[[0.5305621]]
abducent,[[0.53053999]]
abducing,[[0.53063548]]
abduct,[[-0.53052521]]
abducted,[[-0.53048939]]
abducting,[[-0.53051549]]
abduction,[[0.53070688]]
abductions,[[0.53066587]]
abductor,[[-0.53052068]]
abductors,[[-0.53052413]]
abducts,[[0.53084731]]
abeam,[[0.5306738]]
abecedarian,[[0.53077221]]
abecedarians,[[-0.53050756]]
abecedarium,[[0.53053987]]
abecedary,[[0.53052551]]
abed,[[0.53059125]]
abele,[[0.53134978]]
abeles,[[-0.53051555]]
abelmosk,[[0.53052545]]
aberrance,[[0.53052545]]
aberrancies,[[0.53052545]]
aberrancy,[[-0.53004992]]
aberrant,[[0.5305472]]
aberration,[[0.53054863]]
aberrational,[[0.53052545]]
aberrations,[[0.53055978]]
abessive,[[0.53052545]]
abet,[[0.53053272]]
abetment,[[0.53054738]]
abetments,[[0.53052545]]
abets,[[0.53072047]]
abetted,[[0.53067023]]
abetter,[[0.53078336]]
abetters,[[0.53082246]]
abetting,[[0.53071785]]
abettor,[[0.53054601]]
abettors,[[0.53055817]]
abeyance,[[0.53073913]]
abeyant,[[0.53082776]]
abhor,[[0.53099012]]
abhorred,[[0.53199762]]
abhorrence,[[0.53482568]]
abhorrent,[[0.53158438]]
abhorrently,[[0.53064573]]
abhorrer,[[-0.53051239]]
abhorrers,[[0.53052646]]
abhorring,[[0.54086381]]
abhors,[[0.53080046]]
abidance,[[0.53063613]]
abide,[[0.53063637]]
abider,[[-0.53052443]]
abides,[[0.53053272]]
abiding,[[0.5305692]]
abidingly,[[0.53070289]]
abies,[[0.5305261]]
abigail,[[0.53053236]]
abilities,[[0.53163314]]
ability,[[0.53508973]]
abiogenesis,[[0.53060484]]
abiogenetic,[[0.53052545]]
abiotic,[[0.53055477]]
abject,[[0.53098851]]
abjection,[[0.53121454]]
abjectly,[[0.53120542]]
abjectness,[[0.5307864]]
abjuration,[[0.53396052]]
abjurations,[[0.53075916]]
abjure,[[0.53814489]]
abjured,[[0.53056031]]
abjurer,[[0.53056121]]
abjurers,[[0.53052545]]
abjures,[[0.53305483]]
abjuring,[[0.53059328]]
abl,[[0.53052646]]
ablate,[[0.53054422]]
ablated,[[0.53054392]]
ablating,[[0.53086984]]
ablation,[[0.53075755]]
ablations,[[0.53094542]]
ablative,[[0.53052753]]
ablatives,[[-0.53052443]]
ablaut,[[0.53052545]]
ablaze,[[0.53069925]]
able,[[0.53373933]]
ablepsia,[[-0.53052074]]
abler,[[0.53296256]]
ablest,[[0.53206789]]
abloom,[[-0.53045654]]
ablution,[[0.53121674]]
ablutions,[[0.53077722]]
ably,[[0.5306024]]
abnegate,[[0.53053844]]
abnegated,[[0.53052676]]
abnegates,[[0.53068662]]
abnegating,[[0.53062922]]
abnegation,[[0.53156477]]
abnormal,[[0.53288996]]
abnormalities,[[-0.5305208]]
abnormality,[[0.53056276]]
abnormally,[[0.53069365]]
abnormity,[[0.53053397]]
aboard,[[0.53128034]]
abode,[[0.53199202]]
abodes,[[0.53064924]]
abolish,[[0.53086734]]
abolished,[[0.53127033]]
abolisher,[[0.53061163]]
abolishes,[[0.53059369]]
abolishing,[[0.55262512]]
abolishment,[[0.53059393]]
abolishments,[[0.53052545]]
abolition,[[0.53053647]]
abolitionism,[[0.53054118]]
abolitionist,[[0.53056765]]
abolitionists,[[0.53436387]]
abomasum,[[0.53056002]]
abominable,[[0.54007488]]
abominably,[[0.53061295]]
abominate,[[0.53061581]]
abominated,[[0.53053868]]
abominates,[[0.53057712]]
abominating,[[0.53061086]]
abomination,[[0.53242439]]
abominations,[[0.53200883]]
abominator,[[0.53052849]]
abominators,[[0.53052545]]
aboral,[[-0.53050947]]
aboriginal,[[0.53098899]]
aboriginally,[[0.5305258]]
aboriginals,[[0.53054816]]
aborigine,[[-0.53052533]]
aborigines,[[0.53379488]]
aborning,[[0.53053576]]
abort,[[0.53052682]]
aborted,[[0.5316714]]
aborticide,[[-0.53040415]]
abortifacient,[[-0.53052497]]
abortifacients,[[0.53052545]]
aborting,[[0.5305258]]
abortion,[[-0.53050172]]
abortionist,[[0.5305354]]
abortionists,[[0.53053123]]
abortions,[[0.53057414]]
abortive,[[0.53054291]]
abortively,[[-0.53052485]]
aborts,[[-0.53048468]]
aboulia,[[-0.53052473]]
abound,[[0.53126156]]
abounded,[[0.53054714]]
abounding,[[0.53809392]]
abounds,[[0.53076291]]
aboveboard,[[0.53056186]]
aboveground,[[0.530532]]
abr,[[0.53206688]]
abracadabra,[[0.53061378]]
abradant,[[0.53059012]]
abradants,[[0.53052545]]
abrade,[[0.53056031]]
abraded,[[0.53052658]]
abrader,[[0.53052545]]
abraders,[[0.53052545]]
abrades,[[-0.53052443]]
abrading,[[0.53053856]]
abranchiate,[[0.53052664]]
abrasion,[[0.53076708]]
abrasions,[[0.53054988]]
abrasive,[[0.53053766]]
abrasively,[[0.53052545]]
abrasives,[[0.53052545]]
abraxas,[[0.5305354]]
abreact,[[0.53052545]]
abreacted,[[0.53052545]]
abreacting,[[0.53052545]]
abreaction,[[0.53052545]]
abreast,[[0.53563553]]
abri,[[0.5307734]]
abridge,[[0.53208709]]
abridged,[[0.53071636]]
abridger,[[0.53061473]]
abridgers,[[0.53052545]]
abridges,[[0.53103602]]
abridging,[[0.53057981]]
abridgment,[[0.5313192]]
abridgments,[[0.5305512]]
abroach,[[0.53053302]]
abroad,[[0.53102189]]
abrogate,[[0.53488964]]
abrogated,[[0.53070676]]
abrogates,[[0.53058237]]
abrogating,[[0.53058231]]
abrogation,[[0.53131247]]
abrogations,[[-0.53045672]]
abrogator,[[0.53052545]]
abrupt,[[0.53106934]]
abrupter,[[0.53052545]]
abruptest,[[0.53052616]]
abruption,[[0.53054011]]
abruptly,[[0.53458995]]
abruptness,[[0.53087288]]
abs,[[0.53053135]]
abscess,[[0.53053796]]
abscessed,[[0.53052545]]
abscesses,[[0.53056389]]
abscind,[[0.53052706]]
abscissa,[[0.53053367]]
abscissas,[[0.53055865]]
abscission,[[0.53057486]]
abscond,[[0.53527331]]
absconded,[[0.5305661]]
absconder,[[-0.52784449]]
absconders,[[-0.52709138]]
absconding,[[0.53079569]]
absconds,[[0.5305413]]
abseil,[[0.53101188]]
absence,[[0.53277314]]
absences,[[0.5310061]]
absent,[[0.53298229]]
absented,[[0.53217077]]
absentee,[[0.53054059]]
absenteeism,[[0.53063387]]
absentees,[[0.53059298]]
absenting,[[0.53114116]]
absently,[[0.53053427]]
absentminded,[[0.53148532]]
absentmindedly,[[-0.53044915]]
absentmindedness,[[0.53055656]]
absents,[[0.53273964]]
absinthe,[[0.53079212]]
absinthism,[[0.53052545]]
absolute,[[0.53228182]]
absolutely,[[0.53324091]]
absoluteness,[[0.53079337]]
absolutes,[[0.53092706]]
absolutest,[[0.53054547]]
absolution,[[0.53130364]]
absolutism,[[0.53075826]]
absolutist,[[0.53059191]]
absolutistic,[[-0.53049493]]
absolutists,[[0.53064924]]
absolvable,[[0.53052545]]
absolve,[[0.53362286]]
absolved,[[0.53105134]]
absolver,[[0.53053379]]
absolvers,[[0.53261793]]
absolves,[[0.53058147]]
absolving,[[0.53088355]]
absonant,[[0.5305776]]
absorb,[[0.53190893]]
absorbable,[[0.53108573]]
absorbed,[[0.53103679]]
absorbency,[[0.53052545]]
absorbent,[[0.53059673]]
absorbents,[[0.53059655]]
absorber,[[0.5307017]]
absorbers,[[-0.53039283]]
absorbing,[[0.53084213]]
absorbingly,[[0.53054625]]
absorbs,[[0.53135961]]
absorption,[[0.53216368]]
absorptions,[[0.53061807]]
absorptive,[[0.53054279]]
absorptivities,[[0.53052545]]
absorptivity,[[0.53052545]]
absquatulate,[[-0.53047311]]
absquatulated,[[0.53059167]]
absquatulates,[[0.53052545]]
absquatulating,[[0.53070068]]
abstain,[[0.5305813]]
abstained,[[0.53474498]]
abstainer,[[-0.53047931]]
abstainers,[[0.53076535]]
abstaining,[[0.53105295]]
abstains,[[0.53091139]]
abstemious,[[0.53059065]]
abstemiously,[[0.53054357]]
abstemiousness,[[0.54865032]]
abstention,[[0.53081393]]
abstentions,[[0.53072578]]
abstergent,[[0.5305301]]
abstinence,[[0.53111082]]
abstinent,[[0.53054017]]
abstract,[[0.53116626]]
abstracted,[[0.53097898]]
abstractedly,[[0.53053677]]
abstractedness,[[0.5305593]]
abstracter,[[-0.53001016]]
abstracting,[[0.53080738]]
abstraction,[[0.5402112]]
abstractionism,[[0.53052545]]
abstractionist,[[-0.53045881]]
abstractionists,[[0.53053868]]
abstractions,[[0.53114146]]
abstractly,[[0.53060108]]
abstractness,[[-0.53050935]]
abstracts,[[0.53053367]]
abstriction,[[0.53052545]]
abstruse,[[0.55378723]]
abstrusely,[[-0.53045017]]
abstruseness,[[0.53068697]]
absurd,[[0.54197061]]
absurder,[[0.53052872]]
absurdest,[[0.53083372]]
absurdist,[[0.53061926]]
absurdities,[[0.53076136]]
absurdity,[[0.53063244]]
absurdly,[[0.53069603]]
absurdness,[[0.53056121]]
abulia,[[0.53052735]]
abulias,[[0.53052545]]
abulic,[[0.53052545]]
abundance,[[0.53380311]]
abundances,[[0.53052837]]
abundant,[[0.53153855]]
abundantly,[[0.53213078]]
abuse,[[0.53076506]]
abused,[[0.53065336]]
abuser,[[0.53107595]]
abusers,[[0.53194582]]
abuses,[[0.53067881]]
abusing,[[0.5312323]]
abusive,[[0.53080356]]
abusively,[[-0.53048372]]
abusiveness,[[0.53056586]]
abut,[[0.53053778]]
abutilon,[[0.53056967]]
abutment,[[0.5305261]]
abutments,[[0.53054112]]
abuts,[[0.53081661]]
abuttal,[[0.53054798]]
abuttals,[[0.53067142]]
abutted,[[0.5305506]]
abutters,[[-0.53042889]]
abutting,[[0.53145677]]
abuzz,[[0.53053087]]
aby,[[0.53057075]]
abying,[[0.53052545]]
abysm,[[0.53095526]]
abysmal,[[0.53073287]]
abysmally,[[0.53079563]]
abysms,[[0.53052646]]
abyss,[[0.53084016]]
abyssal,[[0.53053761]]
abysses,[[0.53140569]]
ac,[[0.53119051]]
acacia,[[0.53141212]]
acacias,[[0.53067386]]
academe,[[0.53055006]]
academia,[[0.53340971]]
