Word, Value
no,[[0.26197141]]
th,[[0.26260069]]
tm,[[0.26200157]]
aa,[[0.2621187]]
aah,[[0.26206917]]
aalii,[[0.26199341]]
aardvark,[[0.26199532]]
aardvarks,[[0.26197141]]
aardwolf,[[0.26199207]]
ab,[[0.26265323]]
aba,[[0.26199424]]
abaca,[[0.26197383]]
abacas,[[0.26200461]]
abacist,[[0.26197642]]
aback,[[0.26315132]]
abacus,[[0.2620033]]
abacuses,[[-0.26193935]]
abaft,[[0.26226339]]
abalone,[[0.26207158]]
abalones,[[0.26206791]]
abamp,[[0.26197332]]
abandon,[[0.26340756]]
abandoned,[[0.26525095]]
abandonedly,[[0.26201281]]
abandoning,[[0.26287737]]
abandonment,[[0.26282638]]
abandons,[[0.26221734]]
abas,[[0.26232982]]
abase,[[0.26226708]]
abased,[[0.26214805]]
abasement,[[0.26410919]]
abases,[[0.26210088]]
abash,[[0.26220965]]
abashed,[[0.27477962]]
abashedly,[[0.26197141]]
abashes,[[0.26200104]]
abashing,[[0.26210281]]
abashment,[[0.26233378]]
abasing,[[0.26284322]]
abate,[[0.26258805]]
abated,[[0.2635591]]
abatement,[[0.26301974]]
abates,[[0.26222244]]
abating,[[0.26229778]]
abatis,[[0.26203641]]
abattoir,[[0.26214156]]
abattoirs,[[0.26197192]]
abaxial,[[0.26197141]]
abb,[[0.26197353]]
abba,[[0.26225775]]
abbacies,[[-0.26193345]]
abbacy,[[-0.26168489]]
abbatial,[[0.26208058]]
abbe,[[0.26276773]]
abbes,[[-0.26175508]]
abbess,[[0.26245487]]
abbesses,[[0.26244786]]
abbey,[[0.26437423]]
abbeys,[[0.26911175]]
abbot,[[0.2620247]]
abbots,[[0.26451787]]
abbr,[[0.26197156]]
abbrev,[[0.26197159]]
abbreviate,[[0.26199546]]
abbreviated,[[0.2625086]]
abbreviates,[[0.26209268]]
abbreviating,[[0.26197803]]
abbreviation,[[0.26403564]]
abbreviations,[[0.26247013]]
abbreviator,[[0.26197144]]
abbrevs,[[0.26197413]]
abdicate,[[0.26199156]]
abdicated,[[0.26268631]]
abdicates,[[0.26198623]]
abdicating,[[0.26215833]]
abdication,[[0.26310393]]
abdications,[[0.26274142]]
abdicator,[[-0.26194572]]
abdicators,[[0.26197141]]
abdomen,[[0.26262313]]
abdomens,[[0.26228365]]
abdominal,[[0.26199394]]
abdominally,[[0.26217929]]
abdominous,[[0.26586911]]
abduce,[[0.26233062]]
abduced,[[0.26204833]]
abducent,[[0.26200178]]
abducing,[[0.26203033]]
abduct,[[0.26398918]]
abducted,[[0.26850122]]
abducting,[[0.26444444]]
abduction,[[0.2620047]]
abductions,[[0.26199633]]
abductor,[[0.26205873]]
abductors,[[0.26299876]]
abducts,[[0.26203632]]
abeam,[[0.26206782]]
abecedarian,[[0.26200187]]
abecedarians,[[0.2619752]]
abecedarium,[[0.26197311]]
abecedary,[[0.26253098]]
abed,[[0.27560288]]
abele,[[0.26222599]]
abeles,[[0.26199198]]
abelmosk,[[0.26197141]]
aberrance,[[0.26204431]]
aberrancies,[[0.26199731]]
aberrancy,[[-0.26197135]]
aberrant,[[0.26202759]]
aberration,[[0.26216781]]
aberrational,[[0.26198098]]
aberrations,[[0.26200631]]
abessive,[[0.26197141]]
abet,[[0.26200637]]
abetment,[[0.26241192]]
abetments,[[0.26197141]]
abets,[[0.26356134]]
abetted,[[0.26211423]]
abetter,[[0.26369205]]
abetters,[[0.26201674]]
abetting,[[0.265228]]
abettor,[[0.26209897]]
abettors,[[0.26208982]]
abeyance,[[0.26401192]]
abeyant,[[0.26461029]]
abhor,[[0.26208046]]
abhorred,[[0.26217932]]
abhorrence,[[0.26606077]]
abhorrent,[[0.26332277]]
abhorrently,[[0.2621249]]
abhorrer,[[0.26210788]]
abhorrers,[[0.26198304]]
abhorring,[[0.26222509]]
abhors,[[0.26384115]]
abidance,[[0.26254174]]
abide,[[0.26205775]]
abider,[[0.26197812]]
abides,[[0.26201683]]
abiding,[[0.26287276]]
abidingly,[[0.26197839]]
abies,[[0.26197845]]
abigail,[[0.26198527]]
abilities,[[0.26206657]]
ability,[[0.26704293]]
abiogenesis,[[0.26197869]]
abiogenetic,[[0.26289198]]
abiotic,[[0.26197141]]
abject,[[0.26288441]]
abjection,[[0.26252225]]
abjectly,[[0.26479799]]
abjectness,[[0.26227784]]
abjuration,[[0.26288474]]
abjurations,[[0.2619949]]
abjure,[[0.26307219]]
abjured,[[0.26238289]]
abjurer,[[0.2623854]]
abjurers,[[0.26207352]]
abjures,[[0.26238811]]
abjuring,[[0.26503745]]
abl,[[0.26198509]]
ablate,[[0.2619769]]
ablated,[[0.26201135]]
ablating,[[0.26199138]]
ablation,[[-0.26193315]]
ablations,[[0.26201513]]
ablative,[[0.26230431]]
ablatives,[[0.26198307]]
ablaut,[[0.26197511]]
