Word, Value
no,[[0.27070189]]
th,[[0.27070206]]
tm,[[0.27070501]]
aa,[[0.27070189]]
aah,[[-0.27067477]]
aalii,[[-0.27070165]]
aardvark,[[-0.27069539]]
aardvarks,[[0.27071154]]
aardwolf,[[-0.27068529]]
ab,[[0.27080184]]
aba,[[-0.27069968]]
abaca,[[0.27070341]]
abacas,[[-0.27070102]]
abacist,[[-0.2706835]]
aback,[[0.2728143]]
abacus,[[0.27071884]]
abacuses,[[0.27074876]]
abaft,[[0.27098373]]
abalone,[[-0.27069256]]
abalones,[[-0.2705445]]
abamp,[[0.27070341]]
abandon,[[0.2713919]]
abandoned,[[0.27267724]]
abandonedly,[[0.27074742]]
abandoning,[[0.27072001]]
abandonment,[[0.2730211]]
abandons,[[0.27124184]]
abas,[[-0.27054408]]
abase,[[0.27070543]]
abased,[[0.27072269]]
abasement,[[0.27088687]]
abases,[[0.27072611]]
abash,[[0.27071956]]
abashed,[[0.27200785]]
abashedly,[[0.27074885]]
abashes,[[0.27114746]]
abashing,[[0.27075565]]
abashment,[[0.27071515]]
abasing,[[0.27074075]]
abate,[[0.27076522]]
abated,[[0.27125317]]
abatement,[[0.27084604]]
abates,[[-0.27050239]]
abating,[[0.27071857]]
abatis,[[0.27110457]]
abattoir,[[0.27074531]]
abattoirs,[[0.27070564]]
abaxial,[[-0.27061915]]
abb,[[0.27071851]]
abba,[[0.27083647]]
abbacies,[[0.27070382]]
abbacy,[[0.27075809]]
abbatial,[[0.27080482]]
abbe,[[0.27080393]]
abbes,[[0.27070671]]
abbess,[[-0.27069661]]
abbesses,[[-0.2707018]]
abbey,[[0.27082893]]
abbeys,[[0.27220896]]
abbot,[[-0.27069491]]
abbots,[[0.27079239]]
abbr,[[0.27078438]]
abbrev,[[0.27072775]]
abbreviate,[[0.27113396]]
abbreviated,[[0.27125877]]
abbreviates,[[0.2710098]]
abbreviating,[[0.27071533]]
abbreviation,[[0.27119789]]
abbreviations,[[0.27077493]]
abbreviator,[[-0.27057683]]
abbrevs,[[-0.27069965]]
abdicate,[[0.27123663]]
abdicated,[[0.27086383]]
abdicates,[[0.27074248]]
abdicating,[[0.27111199]]
abdication,[[0.27168447]]
abdications,[[0.27070802]]
abdicator,[[-0.27068093]]
abdicators,[[0.27070275]]
abdomen,[[0.27071178]]
abdomens,[[-0.27065164]]
abdominal,[[0.27075493]]
abdominally,[[0.27071151]]
abdominous,[[-0.2706973]]
abduce,[[-0.27069816]]
abduced,[[-0.27067462]]
abducent,[[0.27071342]]
abducing,[[-0.27069917]]
abduct,[[0.27329513]]
abducted,[[0.27070892]]
abducting,[[0.2707094]]
abduction,[[0.27074435]]
abductions,[[-0.27070132]]
abductor,[[0.27077007]]
abductors,[[0.27099952]]
abducts,[[0.27111891]]
abeam,[[0.27074242]]
abecedarian,[[0.27074397]]
abecedarians,[[-0.27070186]]
abecedarium,[[0.27072141]]
abecedary,[[-0.27068481]]
abed,[[0.27073672]]
abele,[[0.27078286]]
abeles,[[0.27070487]]
abelmosk,[[-0.27070096]]
aberrance,[[0.2707049]]
aberrancies,[[0.27071849]]
aberrancy,[[-0.27069569]]
aberrant,[[-0.2707018]]
aberration,[[0.27087599]]
aberrational,[[0.27070293]]
aberrations,[[-0.27070093]]
abessive,[[-0.27070031]]
abet,[[0.27072203]]
abetment,[[0.27071148]]
abetments,[[0.27084792]]
abets,[[0.27087033]]
abetted,[[0.27072066]]
abetter,[[0.27078405]]
abetters,[[0.27073359]]
abetting,[[0.27077511]]
abettor,[[0.27101621]]
abettors,[[0.27083018]]
abeyance,[[0.27630135]]
abeyant,[[0.27070865]]
abhor,[[0.27073455]]
abhorred,[[0.27100599]]
abhorrence,[[0.2712217]]
abhorrent,[[0.2707274]]
abhorrently,[[0.27094221]]
abhorrer,[[-0.27070105]]
abhorrers,[[-0.27069986]]
abhorring,[[0.27070406]]
abhors,[[0.27070755]]
abidance,[[0.27075073]]
abide,[[0.27072585]]
abider,[[0.27071288]]
abides,[[0.27074787]]
abiding,[[0.27234152]]
abidingly,[[0.2707184]]
abies,[[-0.27070171]]
abigail,[[0.27071753]]
abilities,[[0.27151644]]
ability,[[0.2707265]]
abiogenesis,[[0.27089235]]
abiogenetic,[[-0.27046096]]
abiotic,[[0.27070358]]
abject,[[0.27074531]]
abjection,[[-0.27069205]]
abjectly,[[0.27093485]]
abjectness,[[0.27074388]]
abjuration,[[0.27072087]]
abjurations,[[-0.27067563]]
abjure,[[0.27107158]]
abjured,[[0.27073881]]
abjurer,[[-0.27062708]]
abjurers,[[0.27074543]]
abjures,[[0.27077848]]
abjuring,[[0.27124]]
abl,[[-0.27066508]]
ablate,[[0.27073175]]
ablated,[[-0.27069369]]
ablating,[[-0.27070153]]
ablation,[[-0.27006656]]
ablations,[[0.27070495]]
ablative,[[0.27080554]]
ablatives,[[0.27070299]]
ablaut,[[0.27070189]]
ablaze,[[0.27089113]]
able,[[0.27092683]]
ablepsia,[[-0.27066162]]
abler,[[0.2714301]]
ablest,[[0.27236962]]
abloom,[[0.2707558]]
ablution,[[-0.27068871]]
ablutions,[[0.27071238]]
ably,[[0.27072254]]
abnegate,[[-0.2707009]]
abnegated,[[0.27070761]]
abnegates,[[-0.27070177]]
abnegating,[[0.27078727]]
abnegation,[[0.27095327]]
abnormal,[[-0.27051345]]
abnormalities,[[-0.2706975]]
abnormality,[[-0.27048156]]
abnormally,[[0.2707127]]
abnormity,[[0.27072567]]
aboard,[[0.27083272]]
abode,[[0.27207282]]
abodes,[[0.27083734]]
abolish,[[0.27207193]]
abolished,[[0.27101487]]
abolisher,[[0.27085644]]
abolishes,[[0.27288446]]
abolishing,[[0.27085254]]
abolishment,[[0.27106115]]
abolishments,[[0.27075079]]
abolition,[[0.27111694]]
abolitionism,[[0.27072445]]
abolitionist,[[0.27073166]]
abolitionists,[[0.27078503]]
abomasum,[[0.27070519]]
abominable,[[0.27145362]]
abominably,[[0.27084911]]
abominate,[[0.27079281]]
abominated,[[0.27071068]]
abominates,[[-0.27069816]]
abominating,[[0.27071321]]
abomination,[[0.27071747]]
abominations,[[0.2709198]]
abominator,[[0.27073145]]
abominators,[[0.27071372]]
aboral,[[0.27073205]]
aboriginal,[[0.27070817]]
aboriginally,[[-0.2704384]]
aboriginals,[[0.27072111]]
aborigine,[[0.27087077]]
aborigines,[[0.27074558]]
aborning,[[0.27070409]]
abort,[[-0.27056149]]
aborted,[[0.27070302]]
aborticide,[[-0.27069572]]
abortifacient,[[0.27070349]]
abortifacients,[[-0.27070171]]
aborting,[[-0.27070042]]
abortion,[[0.27070254]]
abortionist,[[-0.27069676]]
abortionists,[[0.27087104]]
abortions,[[0.27071473]]
abortive,[[0.27215898]]
abortively,[[0.27070674]]
aborts,[[0.27076128]]
aboulia,[[-0.27059466]]
abound,[[0.27072376]]
abounded,[[0.27073899]]
abounding,[[0.27084258]]
abounds,[[0.27098951]]
aboveboard,[[0.27093968]]
aboveground,[[0.27070233]]
abr,[[0.27074295]]
abracadabra,[[0.27075619]]
abradant,[[-0.27070069]]
abradants,[[-0.27070153]]
abrade,[[0.27078232]]
abraded,[[0.27071095]]
abrader,[[0.27070189]]
abraders,[[0.27070859]]
abrades,[[-0.27069959]]
abrading,[[-0.27049097]]
abranchiate,[[-0.27069715]]
abrasion,[[0.2707257]]
abrasions,[[0.27072278]]
abrasive,[[0.27085167]]
abrasively,[[0.27071494]]
abrasives,[[0.27071571]]
abraxas,[[0.2708337]]
abreact,[[-0.27067721]]
abreacted,[[-0.27068132]]
abreacting,[[-0.27060533]]
abreaction,[[-0.27067965]]
abreast,[[0.27075586]]
abri,[[0.27071103]]
abridge,[[0.27292323]]
abridged,[[0.27131411]]
abridger,[[0.27072975]]
abridgers,[[0.27071124]]
abridges,[[0.27073649]]
abridging,[[0.27122951]]
abridgment,[[0.27097204]]
abridgments,[[0.27078876]]
abroach,[[-0.27066365]]
abroad,[[0.27080292]]
abrogate,[[0.27108124]]
abrogated,[[0.27076134]]
abrogates,[[-0.27069777]]
abrogating,[[0.27077338]]
abrogation,[[0.2707485]]
abrogations,[[-0.27044034]]
abrogator,[[-0.27052051]]
abrupt,[[0.27128619]]
abrupter,[[0.27080294]]
abruptest,[[0.27070254]]
abruption,[[0.27100709]]
abruptly,[[0.27157196]]
abruptness,[[0.27204734]]
abs,[[-0.27069479]]
abscess,[[0.27079481]]
abscessed,[[-0.27069068]]
abscesses,[[0.27082422]]
abscind,[[0.2709797]]
abscissa,[[0.27070376]]
abscissas,[[0.27071476]]
abscission,[[0.27075011]]
abscond,[[0.27073911]]
absconded,[[0.27209866]]
absconder,[[0.27104631]]
absconders,[[-0.27065575]]
absconding,[[0.27078363]]
absconds,[[0.27079868]]
abseil,[[0.27070218]]
absence,[[0.27186859]]
absences,[[0.27146304]]
absent,[[0.27092245]]
absented,[[0.27077383]]
absentee,[[0.27260089]]
absenteeism,[[0.2714166]]
absentees,[[0.28104454]]
absenting,[[0.27135193]]
absently,[[0.27075514]]
absentminded,[[0.27075067]]
absentmindedly,[[0.27077365]]
absentmindedness,[[0.27094206]]
absents,[[0.27075401]]
absinthe,[[0.27109775]]
absinthism,[[-0.27068529]]
absolute,[[0.271256]]
absolutely,[[0.27445832]]
absoluteness,[[0.27072024]]
absolutes,[[0.2711584]]
absolutest,[[0.27074045]]
absolution,[[0.27081791]]
absolutism,[[0.27073592]]
absolutist,[[0.27097011]]
absolutistic,[[0.27071777]]
absolutists,[[0.27087423]]
absolvable,[[0.27070421]]
absolve,[[0.27192226]]
absolved,[[0.27072683]]
absolver,[[0.27071515]]
absolvers,[[0.27076477]]
absolves,[[0.27084982]]
absolving,[[0.27070841]]
absonant,[[-0.27069736]]
absorb,[[0.27095172]]
absorbable,[[0.27071279]]
absorbed,[[0.27281582]]
absorbency,[[0.27070558]]
absorbent,[[0.27072927]]
absorbents,[[0.27070245]]
absorber,[[0.27086642]]
absorbers,[[0.27130407]]
absorbing,[[0.27116543]]
absorbingly,[[0.27074924]]
absorbs,[[0.27132571]]
absorption,[[0.27140388]]
absorptions,[[-0.27070165]]
absorptive,[[0.2708095]]
absorptivities,[[0.27072492]]
absorptivity,[[0.27070701]]
absquatulate,[[0.27070367]]
absquatulated,[[-0.27069247]]
absquatulates,[[-0.27068567]]
absquatulating,[[0.27075815]]
abstain,[[0.27070752]]
abstained,[[0.27175301]]
abstainer,[[0.27071241]]
abstainers,[[0.27078614]]
abstaining,[[0.27397993]]
abstains,[[0.27073908]]
abstemious,[[0.27151316]]
abstemiously,[[0.27071053]]
abstemiousness,[[0.27107123]]
abstention,[[0.27081162]]
abstentions,[[0.27072027]]
abstergent,[[-0.27070153]]
abstinence,[[0.27074796]]
abstinent,[[-0.27062076]]
abstract,[[0.27087429]]
abstracted,[[0.27071169]]
abstractedly,[[0.2824921]]
abstractedness,[[0.27083027]]
abstracter,[[0.27172458]]
abstracting,[[0.27111366]]
abstraction,[[0.2707746]]
abstractionism,[[0.27071252]]
abstractionist,[[0.27070734]]
abstractionists,[[-0.27069706]]
abstractions,[[0.27070302]]
abstractly,[[0.27073759]]
abstractness,[[0.27071834]]
abstracts,[[0.27134147]]
abstriction,[[0.27070367]]
abstruse,[[0.27131376]]
abstrusely,[[0.27070707]]
abstruseness,[[0.27079356]]
absurd,[[0.27090153]]
absurder,[[0.27070323]]
absurdest,[[0.27072281]]
absurdist,[[0.2707026]]
absurdities,[[0.27072278]]
absurdity,[[0.27591106]]
absurdly,[[0.27143851]]
