Word, Value
no,[[0.21718392]]
th,[[0.22136468]]
tm,[[0.21718687]]
aa,[[0.22060938]]
aah,[[0.21719514]]
aalii,[[0.21718392]]
aardvark,[[0.21725635]]
aardvarks,[[0.21721169]]
aardwolf,[[0.21722513]]
ab,[[0.21766557]]
aba,[[0.21788907]]
abaca,[[0.21721113]]
abacas,[[-0.21717869]]
abacist,[[0.21725325]]
aback,[[0.2198938]]
abacus,[[0.21722856]]
abacuses,[[-0.21718246]]
abaft,[[0.21720502]]
abalone,[[0.21730062]]
abalones,[[-0.21717481]]
abamp,[[0.21718392]]
abandon,[[0.22549956]]
abandoned,[[0.22037213]]
abandonedly,[[0.21734637]]
abandoning,[[0.2218374]]
abandonment,[[0.21967703]]
abandons,[[0.21722895]]
abas,[[0.21777683]]
abase,[[0.21730493]]
abased,[[0.2175222]]
abasement,[[0.21749283]]
abases,[[0.21822165]]
abash,[[0.22215578]]
abashed,[[0.2179648]]
abashedly,[[0.21718676]]
abashes,[[0.21810627]]
abashing,[[0.21811292]]
abashment,[[0.21749116]]
abasing,[[0.21734668]]
abate,[[0.21752575]]
abated,[[0.22044683]]
abatement,[[0.21920574]]
abates,[[0.22116977]]
abating,[[0.21764204]]
abatis,[[0.21720734]]
abattoir,[[0.21749783]]
abattoirs,[[0.21718699]]
abaxial,[[-0.21716891]]
abb,[[0.21718577]]
abba,[[0.21809304]]
abbacies,[[0.21735135]]
abbacy,[[0.21726894]]
abbatial,[[0.21745233]]
abbe,[[0.21731816]]
abbes,[[0.21720967]]
abbess,[[0.21744172]]
abbesses,[[0.2172896]]
abbey,[[0.21777223]]
abbeys,[[0.22071657]]
abbot,[[0.21859598]]
abbots,[[0.21720059]]
abbr,[[0.2172097]]
abbrev,[[0.21719722]]
abbreviate,[[0.21793051]]
abbreviated,[[0.21763009]]
abbreviates,[[0.21794944]]
abbreviating,[[0.21730463]]
abbreviation,[[0.21733254]]
abbreviations,[[0.21721868]]
abbreviator,[[0.21719067]]
abbrevs,[[0.21719019]]
abdicate,[[0.21734403]]
abdicated,[[0.21853969]]
abdicates,[[0.2172122]]
abdicating,[[0.21824485]]
abdication,[[0.21835454]]
abdications,[[0.21728115]]
abdicator,[[0.21784371]]
abdicators,[[0.21718739]]
abdomen,[[0.21752881]]
abdomens,[[0.21755144]]
abdominal,[[0.21718563]]
abdominally,[[0.21720468]]
abdominous,[[-0.2167834]]
abduce,[[-0.21710972]]
abduced,[[-0.21717541]]
abducent,[[0.21718544]]
abducing,[[-0.21713008]]
abduct,[[0.21831927]]
abducted,[[0.21741773]]
abducting,[[0.21751682]]
abduction,[[0.2247889]]
abductions,[[0.21719404]]
abductor,[[0.21726303]]
abductors,[[0.21721338]]
abducts,[[0.21740359]]
abeam,[[0.21756935]]
abecedarian,[[0.21762797]]
abecedarians,[[0.21764523]]
abecedarium,[[0.21735606]]
abecedary,[[0.21719132]]
abed,[[0.22499359]]
abele,[[0.21726108]]
abeles,[[0.21768358]]
abelmosk,[[0.21718392]]
aberrance,[[-0.21717265]]
aberrancies,[[-0.21718234]]
aberrancy,[[0.2172322]]
aberrant,[[0.21733318]]
aberration,[[0.21805935]]
aberrational,[[0.21718411]]
aberrations,[[0.21924514]]
abessive,[[0.21721934]]
abet,[[0.21734503]]
abetment,[[0.21722583]]
abetments,[[0.21726]]
abets,[[0.2179253]]
abetted,[[0.21730222]]
abetter,[[0.21773556]]
abetters,[[0.21728823]]
abetting,[[0.2171914]]
abettor,[[0.2174793]]
abettors,[[0.21781273]]
abeyance,[[0.21851517]]
abeyant,[[0.21722107]]
abhor,[[0.22055511]]
abhorred,[[0.22013806]]
abhorrence,[[0.2172019]]
abhorrent,[[0.22593488]]
abhorrently,[[0.21742384]]
abhorrer,[[0.21756943]]
abhorrers,[[0.21778716]]
abhorring,[[0.21912177]]
abhors,[[0.21817006]]
abidance,[[-0.21703616]]
abide,[[0.21951643]]
abider,[[0.21718673]]
abides,[[0.21840636]]
abiding,[[0.22736765]]
abidingly,[[0.22191724]]
abies,[[0.21748336]]
abigail,[[0.21720017]]
abilities,[[0.22029656]]
ability,[[0.22461905]]
abiogenesis,[[0.21725325]]
abiogenetic,[[0.21721305]]
abiotic,[[0.21718395]]
abject,[[0.21725832]]
abjection,[[0.21860495]]
abjectly,[[0.21919578]]
abjectness,[[0.21724056]]
abjuration,[[0.21744521]]
abjurations,[[0.21742827]]
abjure,[[0.21881071]]
abjured,[[0.21727265]]
abjurer,[[0.21793404]]
abjurers,[[0.21761762]]
abjures,[[0.23347613]]
abjuring,[[0.21935254]]
abl,[[0.2171919]]
ablate,[[-0.21716657]]
ablated,[[0.21718435]]
ablating,[[0.21718699]]
ablation,[[0.2172673]]
ablations,[[0.21719775]]
ablative,[[0.21745205]]
ablatives,[[0.21719675]]
ablaut,[[0.21720916]]
ablaze,[[0.23853272]]
able,[[0.23218288]]
ablepsia,[[0.21720393]]
abler,[[0.2175028]]
ablest,[[0.21770594]]
abloom,[[0.21729933]]
ablution,[[0.21905079]]
ablutions,[[0.21728989]]
ably,[[0.2293113]]
abnegate,[[0.21719967]]
abnegated,[[0.21719415]]
abnegates,[[-0.21718384]]
abnegating,[[0.21740749]]
abnegation,[[0.2314005]]
abnormal,[[0.22284611]]
abnormalities,[[0.21722755]]
abnormality,[[0.21722277]]
abnormally,[[0.21819484]]
abnormity,[[0.21719085]]
aboard,[[0.21718967]]
abode,[[0.22279038]]
abodes,[[0.2173008]]
abolish,[[0.22473308]]
abolished,[[0.21777229]]
abolisher,[[0.2172942]]
abolishes,[[0.21843496]]
abolishing,[[0.2187997]]
abolishment,[[0.21847977]]
abolishments,[[0.21732849]]
abolition,[[0.21720722]]
