Word, Value
no,[[0.34834799]]
th,[[0.34843996]]
tm,[[0.34835872]]
aa,[[0.3493295]]
aah,[[0.34843612]]
aalii,[[0.34834865]]
aardvark,[[-0.34833118]]
aardvarks,[[0.34835106]]
aardwolf,[[0.34866446]]
ab,[[0.34880865]]
aba,[[0.34836417]]
abaca,[[0.34840447]]
abacas,[[0.34843808]]
abacist,[[0.34835708]]
aback,[[0.34868336]]
abacus,[[0.34845659]]
abacuses,[[0.3483519]]
abaft,[[0.34967974]]
abalone,[[0.34838128]]
abalones,[[0.3483637]]
abamp,[[0.34835979]]
abandon,[[0.35344449]]
abandoned,[[0.35169536]]
abandonedly,[[0.34836525]]
abandoning,[[0.35226169]]
abandonment,[[0.3488377]]
abandons,[[0.351917]]
abas,[[-0.34832367]]
abase,[[0.3483493]]
abased,[[-0.34832513]]
abasement,[[0.34840307]]
abases,[[-0.34711829]]
abash,[[-0.34834722]]
abashed,[[0.35189667]]
abashedly,[[0.34844962]]
abashes,[[0.34860253]]
abashing,[[0.34885344]]
abashment,[[0.34842056]]
abasing,[[0.34836543]]
abate,[[0.34860411]]
abated,[[0.3486492]]
abatement,[[0.35074967]]
abates,[[0.34996137]]
abating,[[0.34839243]]
abatis,[[0.3483496]]
abattoir,[[0.34845102]]
abattoirs,[[0.34834829]]
abaxial,[[0.34834799]]
abb,[[0.34834835]]
abba,[[0.34852448]]
abbacies,[[0.34865287]]
abbacy,[[0.34864211]]
abbatial,[[0.34841105]]
abbe,[[0.34857821]]
abbes,[[0.34840611]]
abbess,[[0.36056039]]
abbesses,[[0.34842068]]
abbey,[[0.34890133]]
abbeys,[[0.35062173]]
abbot,[[0.34924933]]
abbots,[[0.34836182]]
abbr,[[-0.34787467]]
abbrev,[[-0.34828389]]
abbreviate,[[0.34836769]]
abbreviated,[[0.34837344]]
abbreviates,[[-0.3483299]]
abbreviating,[[0.3483502]]
abbreviation,[[0.34881407]]
abbreviations,[[0.34836718]]
abbreviator,[[0.34835359]]
abbrevs,[[0.34835428]]
abdicate,[[0.34881225]]
abdicated,[[0.35089347]]
abdicates,[[0.34960026]]
abdicating,[[0.3483856]]
abdication,[[0.34960762]]
abdications,[[0.34873167]]
abdicator,[[-0.34806296]]
abdicators,[[0.34834799]]
abdomen,[[0.34841517]]
abdomens,[[0.34835896]]
abdominal,[[0.34840631]]
abdominally,[[-0.34834072]]
abdominous,[[-0.34817931]]
abduce,[[-0.34813613]]
abduced,[[0.34835178]]
abducent,[[0.34842649]]
abducing,[[0.3483575]]
abduct,[[0.34882191]]
abducted,[[0.34909511]]
abducting,[[0.34867916]]
abduction,[[0.34888998]]
abductions,[[0.348414]]
abductor,[[0.34943005]]
abductors,[[0.34867629]]
abducts,[[0.34946087]]
abeam,[[0.35047659]]
abecedarian,[[0.34835595]]
abecedarians,[[0.34843236]]
abecedarium,[[0.34836674]]
abecedary,[[0.34838298]]
abed,[[0.34864345]]
abele,[[0.34842694]]
abeles,[[0.34836611]]
abelmosk,[[0.34834799]]
aberrance,[[-0.34833494]]
aberrancies,[[-0.34763774]]
aberrancy,[[0.34881595]]
aberrant,[[0.34855321]]
aberration,[[0.34896871]]
aberrational,[[-0.34818849]]
aberrations,[[0.34924698]]
abessive,[[-0.34834522]]
abet,[[0.34872219]]
abetment,[[-0.34830382]]
abetments,[[0.34836733]]
abets,[[0.34836352]]
abetted,[[0.34852228]]
abetter,[[0.34840363]]
abetters,[[-0.34833363]]
abetting,[[0.34838703]]
abettor,[[0.34835732]]
abettors,[[0.34852293]]
abeyance,[[0.35704467]]
abeyant,[[-0.34834576]]
abhor,[[0.34836775]]
abhorred,[[0.42741084]]
abhorrence,[[0.34956679]]
abhorrent,[[0.34845456]]
abhorrently,[[0.34849963]]
abhorrer,[[-0.34834138]]
abhorrers,[[0.34838513]]
abhorring,[[0.34916914]]
abhors,[[0.34861591]]
abidance,[[0.34834874]]
abide,[[0.34882468]]
abider,[[0.34865195]]
abides,[[0.34852234]]
abiding,[[0.35813907]]
abidingly,[[0.34835777]]
abies,[[0.34835178]]
abigail,[[0.34851411]]
abilities,[[0.35180056]]
ability,[[0.34863567]]
abiogenesis,[[0.34836665]]
abiogenetic,[[0.34834799]]
abiotic,[[-0.34834576]]
abject,[[0.3501915]]
abjection,[[0.34932387]]
abjectly,[[0.34893534]]
abjectness,[[0.34841388]]
abjuration,[[0.35003993]]
abjurations,[[0.34857082]]
abjure,[[0.34865946]]
abjured,[[0.34955579]]
abjurer,[[0.3483642]]
abjurers,[[-0.3483417]]
abjures,[[0.34836325]]
abjuring,[[0.34920552]]
abl,[[0.34834912]]
ablate,[[0.34846315]]
ablated,[[0.34835088]]
ablating,[[0.34848347]]
ablation,[[0.3488459]]
ablations,[[0.34837371]]
ablative,[[0.34837511]]
ablatives,[[0.34842283]]
ablaut,[[-0.34834632]]
ablaze,[[0.34842643]]
able,[[0.34978944]]
ablepsia,[[0.34837338]]
abler,[[0.34989223]]
ablest,[[0.38235182]]
abloom,[[0.34858957]]
ablution,[[0.34836525]]
ablutions,[[0.34873423]]
ably,[[0.35932264]]
abnegate,[[-0.34769323]]
abnegated,[[0.34836122]]
abnegates,[[-0.34827036]]
abnegating,[[0.34925255]]
abnegation,[[0.34839615]]
abnormal,[[0.35304886]]
abnormalities,[[0.3483949]]
abnormality,[[0.34836963]]
abnormally,[[0.34841058]]
abnormity,[[-0.34805074]]
aboard,[[0.35245335]]
abode,[[0.35374823]]
abodes,[[0.34892929]]
abolish,[[0.35263965]]
abolished,[[0.35727182]]
abolisher,[[-0.34834251]]
abolishes,[[0.34937379]]
abolishing,[[0.35234004]]
abolishment,[[0.34890363]]
abolishments,[[-0.34834015]]
abolition,[[0.3483603]]
abolitionism,[[0.34834826]]
abolitionist,[[0.3483544]]
abolitionists,[[0.34839055]]
abomasum,[[-0.34834552]]
abominable,[[0.35445434]]
abominably,[[0.34874371]]
abominate,[[0.34894848]]
abominated,[[0.34854811]]
abominates,[[0.34838241]]
abominating,[[0.34837148]]
abomination,[[0.34852082]]
abominations,[[0.34856531]]
abominator,[[-0.3483119]]
abominators,[[0.34835517]]
aboral,[[0.34835604]]
aboriginal,[[0.34871581]]
aboriginally,[[0.34848869]]
aboriginals,[[0.34840187]]
aborigine,[[0.34835798]]
aborigines,[[0.34857291]]
aborning,[[0.34835982]]
abort,[[0.3484042]]
aborted,[[0.34891218]]
aborticide,[[-0.3483437]]
abortifacient,[[0.34837046]]
abortifacients,[[0.34835207]]
aborting,[[0.34844226]]
abortion,[[0.34837246]]
abortionist,[[-0.34834391]]
abortionists,[[0.34840435]]
abortions,[[0.34844401]]
abortive,[[0.34836283]]
abortively,[[0.34837049]]
aborts,[[0.34862462]]
aboulia,[[0.34837493]]
abound,[[0.34870386]]
abounded,[[0.34918866]]
abounding,[[0.35381645]]
abounds,[[0.35048115]]
aboveboard,[[0.34862489]]
aboveground,[[0.34849632]]
abr,[[0.34897715]]
abracadabra,[[0.34844622]]
abradant,[[-0.34823164]]
abradants,[[0.34834799]]
abrade,[[-0.34831569]]
abraded,[[0.34843865]]
abrader,[[0.34834799]]
abraders,[[0.34834799]]
abrades,[[0.34856772]]
abrading,[[0.34837303]]
abranchiate,[[0.34836265]]
abrasion,[[0.34842905]]
abrasions,[[0.34883791]]
abrasive,[[0.34835377]]
abrasively,[[0.34836626]]
abrasives,[[0.34836113]]
abraxas,[[0.35121629]]
