Word, Value
no,[[0.10920761]]
th,[[0.11119556]]
tm,[[0.10925076]]
aa,[[0.10944583]]
aah,[[0.10928363]]
aalii,[[0.10921023]]
aardvark,[[0.10922652]]
aardvarks,[[0.10920826]]
aardwolf,[[0.10920922]]
ab,[[0.10931139]]
aba,[[0.10935624]]
abaca,[[0.10924687]]
abacas,[[0.10948018]]
abacist,[[0.10921092]]
aback,[[0.10941955]]
abacus,[[0.10926684]]
abacuses,[[0.10920937]]
abaft,[[0.10926209]]
abalone,[[0.1092353]]
abalones,[[0.10923936]]
abamp,[[-0.10920689]]
abandon,[[0.12455824]]
abandoned,[[0.11061937]]
abandonedly,[[0.10921319]]
abandoning,[[0.10963145]]
abandonment,[[0.10976107]]
abandons,[[0.10997247]]
abas,[[0.10960683]]
abase,[[0.1093733]]
abased,[[0.11026532]]
abasement,[[0.11189989]]
abases,[[0.10941079]]
abash,[[0.1093987]]
abashed,[[0.11520758]]
abashedly,[[0.10921501]]
abashes,[[0.11017719]]
abashing,[[0.11070668]]
abashment,[[0.10928997]]
abasing,[[0.10944796]]
abate,[[0.10926413]]
abated,[[0.10991647]]
abatement,[[0.10951468]]
abates,[[0.11026824]]
abating,[[0.10929119]]
abatis,[[0.10922843]]
abattoir,[[0.10979043]]
abattoirs,[[0.10958797]]
abaxial,[[0.10920761]]
abb,[[0.10924186]]
abba,[[0.10928372]]
abbacies,[[0.11028872]]
abbacy,[[0.10954127]]
abbatial,[[0.10991796]]
abbe,[[0.1092299]]
abbes,[[0.10941871]]
abbess,[[0.11065643]]
abbesses,[[0.10921559]]
abbey,[[0.11065415]]
abbeys,[[0.11623523]]
abbot,[[0.10998145]]
abbots,[[0.10978286]]
abbr,[[0.10926472]]
abbrev,[[0.10922308]]
abbreviate,[[0.10990979]]
abbreviated,[[0.11002187]]
abbreviates,[[0.1095626]]
abbreviating,[[0.10942547]]
abbreviation,[[0.11039709]]
abbreviations,[[0.10921179]]
abbreviator,[[0.10986765]]
abbrevs,[[0.10920819]]
abdicate,[[0.11078771]]
abdicated,[[0.11005615]]
abdicates,[[0.10992596]]
abdicating,[[0.11308911]]
abdication,[[0.10922816]]
abdications,[[0.10942485]]
abdicator,[[0.10944626]]
abdicators,[[0.10920824]]
abdomen,[[0.10971496]]
abdomens,[[0.10922541]]
abdominal,[[0.1103906]]
abdominally,[[0.10928448]]
abdominous,[[0.10922327]]
abduce,[[0.10937299]]
abduced,[[0.10921751]]
abducent,[[0.10932082]]
abducing,[[0.10920877]]
abduct,[[0.10973332]]
abducted,[[0.10930561]]
abducting,[[0.10961024]]
abduction,[[0.10932232]]
abductions,[[0.10921229]]
abductor,[[0.10951997]]
abductors,[[0.10956771]]
abducts,[[0.11198875]]
abeam,[[0.10982095]]
abecedarian,[[0.10951933]]
abecedarians,[[0.10936458]]
abecedarium,[[0.109208]]
abecedary,[[0.10926829]]
abed,[[0.11208841]]
abele,[[0.11032895]]
abeles,[[0.10941892]]
abelmosk,[[0.10920761]]
aberrance,[[0.10921054]]
aberrancies,[[0.1092369]]
aberrancy,[[0.10922036]]
aberrant,[[0.10930749]]
aberration,[[0.10953972]]
aberrational,[[0.10958615]]
aberrations,[[0.10976516]]
abessive,[[0.1092148]]
abet,[[0.10969061]]
abetment,[[0.10956221]]
abetments,[[0.10922631]]
abets,[[0.1099557]]
abetted,[[0.11008909]]
abetter,[[0.10938901]]
abetters,[[0.10938042]]
abetting,[[0.1093485]]
abettor,[[0.11056086]]
abettors,[[0.10943853]]
abeyance,[[0.11527961]]
abeyant,[[0.10923681]]
abhor,[[0.10955069]]
abhorred,[[0.13966469]]
abhorrence,[[0.1149132]]
abhorrent,[[0.10938546]]
abhorrently,[[0.10941175]]
abhorrer,[[0.10921314]]
abhorrers,[[0.10929308]]
abhorring,[[0.11080642]]
abhors,[[0.11071935]]
abidance,[[0.10924411]]
abide,[[0.11315115]]
abider,[[0.10921647]]
abides,[[0.11190722]]
abiding,[[0.10983855]]
abidingly,[[0.1095619]]
abies,[[0.10923756]]
abigail,[[0.10967151]]
abilities,[[0.11157674]]
ability,[[0.10988721]]
abiogenesis,[[0.10924292]]
abiogenetic,[[0.10921708]]
abiotic,[[0.10921088]]
abject,[[0.11778536]]
abjection,[[0.10927599]]
abjectly,[[0.11066449]]
abjectness,[[0.10936674]]
abjuration,[[0.10929452]]
abjurations,[[0.11345493]]
abjure,[[0.10931679]]
abjured,[[0.10934987]]
abjurer,[[0.1093163]]
abjurers,[[0.10952604]]
abjures,[[0.10922761]]
abjuring,[[0.10935135]]
abl,[[0.10921074]]
ablate,[[0.10933923]]
ablated,[[0.1092082]]
ablating,[[0.1092364]]
ablation,[[0.10923498]]
ablations,[[0.10924698]]
ablative,[[0.10921591]]
ablatives,[[0.10937671]]
ablaut,[[0.10924197]]
ablaze,[[0.11201569]]
able,[[0.14739709]]
ablepsia,[[0.10928965]]
abler,[[0.11054331]]
ablest,[[0.11103042]]
abloom,[[0.11157215]]
ablution,[[0.10962332]]
ablutions,[[0.10962969]]
ably,[[0.11403789]]
abnegate,[[0.11087243]]
abnegated,[[0.1092935]]
abnegates,[[0.10921424]]
abnegating,[[0.10960644]]
abnegation,[[0.10921568]]
abnormal,[[0.11132362]]
abnormalities,[[0.10921457]]
abnormality,[[0.10942873]]
abnormally,[[0.10945811]]
abnormity,[[0.10924608]]
aboard,[[0.10952655]]
abode,[[0.11832684]]
abodes,[[0.10949931]]
abolish,[[0.11572845]]
abolished,[[0.10956351]]
abolisher,[[0.10926408]]
abolishes,[[0.10949711]]
abolishing,[[0.10997166]]
abolishment,[[0.10941748]]
abolishments,[[0.10921424]]
abolition,[[0.10922366]]
abolitionism,[[0.10921087]]
abolitionist,[[0.1094327]]
abolitionists,[[0.10922592]]
abomasum,[[0.10920817]]
abominable,[[0.10985637]]
abominably,[[0.10932665]]
abominate,[[0.10997196]]
abominated,[[0.10944615]]
abominates,[[0.11037853]]
abominating,[[0.10933451]]
abomination,[[0.10938288]]
abominations,[[0.11101846]]
abominator,[[0.10923269]]
abominators,[[0.10923576]]
aboral,[[0.10922287]]
aboriginal,[[0.10949049]]
aboriginally,[[0.10923687]]
aboriginals,[[0.10959182]]
aborigine,[[0.10928547]]
aborigines,[[0.11044616]]
aborning,[[0.10920969]]
abort,[[0.10926832]]
aborted,[[0.11034112]]
aborticide,[[0.10921255]]
abortifacient,[[0.10921871]]
abortifacients,[[0.10924339]]
aborting,[[0.10920982]]
abortion,[[0.10926162]]
abortionist,[[0.10935802]]
abortionists,[[0.1093599]]
abortions,[[0.10922498]]
abortive,[[0.10944703]]
abortively,[[0.10922642]]
aborts,[[0.10920897]]
aboulia,[[0.1092686]]
abound,[[0.11116113]]
abounded,[[0.11919357]]
abounding,[[0.10951155]]
abounds,[[0.10945205]]
aboveboard,[[0.10929687]]
aboveground,[[0.10923744]]
abr,[[0.10923217]]
abracadabra,[[0.10952614]]
abradant,[[0.10920822]]
abradants,[[0.10920761]]
abrade,[[0.10929312]]
abraded,[[0.10981569]]
abrader,[[0.10920761]]
abraders,[[0.10920761]]
abrades,[[0.10923498]]
abrading,[[0.10923578]]
abranchiate,[[0.10920843]]
abrasion,[[0.10931106]]
abrasions,[[0.1096103]]
abrasive,[[0.10921128]]
abrasively,[[0.10921824]]
abrasives,[[0.1092327]]
abraxas,[[0.10989634]]
abreact,[[0.10934372]]
abreacted,[[0.10931315]]
abreacting,[[0.10962396]]
abreaction,[[0.10921083]]
abreast,[[0.11481635]]
abri,[[0.10925221]]
abridge,[[0.11021873]]
abridged,[[0.10923123]]
abridger,[[0.10938536]]
abridgers,[[0.10933356]]
abridges,[[0.11187077]]
abridging,[[0.10966598]]
abridgment,[[0.10998579]]
abridgments,[[0.10946987]]
abroach,[[0.10999924]]
abroad,[[0.11307357]]
abrogate,[[0.10936672]]
abrogated,[[0.11430946]]
abrogates,[[0.10923564]]
abrogating,[[0.10979512]]
abrogation,[[0.11387987]]
abrogations,[[0.10953412]]
abrogator,[[0.10921391]]
abrupt,[[0.11113123]]
abrupter,[[0.10921181]]
abruptest,[[0.10932439]]
abruption,[[0.11028429]]
abruptly,[[0.11396541]]
abruptness,[[0.10937186]]
abs,[[0.10950286]]
abscess,[[0.10933277]]
abscessed,[[0.10921482]]
abscesses,[[0.1094182]]
abscind,[[0.10925267]]
abscissa,[[0.10961491]]
abscissas,[[0.10921022]]
abscission,[[0.10925305]]
abscond,[[0.10931644]]
absconded,[[0.10987888]]
absconder,[[0.10960624]]
absconders,[[0.10934184]]
absconding,[[0.10928711]]
absconds,[[0.10930088]]
abseil,[[-0.10916215]]
absence,[[0.10967449]]
absences,[[0.11234811]]
absent,[[0.11493676]]
absented,[[0.1134389]]
absentee,[[0.1101982]]
absenteeism,[[0.10973416]]
absentees,[[0.10929318]]
absenting,[[0.10929834]]
absently,[[0.10932367]]
absentminded,[[0.10976649]]
absentmindedly,[[0.10922352]]
absentmindedness,[[0.1093952]]
absents,[[0.11338438]]
absinthe,[[0.10924724]]
absinthism,[[0.10959455]]
absolute,[[0.11277406]]
absolutely,[[0.11045603]]
absoluteness,[[0.11063121]]
absolutes,[[0.11025773]]
absolutest,[[0.11012602]]
absolution,[[0.11146744]]
absolutism,[[0.10926955]]
absolutist,[[0.10978764]]
absolutistic,[[0.10922275]]
absolutists,[[0.10957139]]
absolvable,[[0.10927691]]
absolve,[[0.13381954]]
absolved,[[0.10946882]]
absolver,[[0.10931828]]
absolvers,[[0.10921629]]
absolves,[[0.12143718]]
absolving,[[0.10944027]]
absonant,[[0.10923176]]
absorb,[[0.10960065]]
absorbable,[[0.10936058]]
absorbed,[[0.11035822]]
absorbency,[[0.10920761]]
absorbent,[[0.10926968]]
absorbents,[[0.10926794]]
absorber,[[0.10931602]]
absorbers,[[0.10955778]]
absorbing,[[0.11400984]]
absorbingly,[[0.10937788]]
absorbs,[[0.11169858]]
absorption,[[0.11435795]]
absorptions,[[0.10990668]]
absorptive,[[0.10935907]]
absorptivities,[[0.10920761]]
absorptivity,[[0.10920761]]
absquatulate,[[0.10947169]]
absquatulated,[[0.10929675]]
absquatulates,[[0.10920837]]
absquatulating,[[0.10945316]]
abstain,[[0.11019392]]
abstained,[[0.11225322]]
abstainer,[[0.10939375]]
abstainers,[[0.10929112]]
abstaining,[[0.10956597]]
abstains,[[0.1100839]]
abstemious,[[0.10932973]]
abstemiously,[[0.11046095]]
abstemiousness,[[0.10975919]]
abstention,[[0.10928155]]
abstentions,[[0.10940912]]
abstergent,[[0.1092311]]
abstinence,[[0.1099548]]
abstinent,[[0.11054421]]
abstract,[[0.10923784]]
abstracted,[[0.11029292]]
abstractedly,[[0.10927691]]
abstractedness,[[0.1092352]]
abstracter,[[0.10949636]]
abstracting,[[0.11025227]]
abstraction,[[0.11215248]]
abstractionism,[[0.1092424]]
abstractionist,[[0.10927965]]
abstractionists,[[0.1093877]]
abstractions,[[0.11485726]]
abstractly,[[0.10970423]]
abstractness,[[0.11001571]]
abstracts,[[0.11042764]]
abstriction,[[0.10920814]]
abstruse,[[0.10937842]]
abstrusely,[[0.10926706]]
abstruseness,[[0.11033962]]
absurd,[[0.11024913]]
absurder,[[0.10935912]]
absurdest,[[0.10984755]]
absurdist,[[0.10922049]]
absurdities,[[0.10941653]]
absurdity,[[0.10930765]]
absurdly,[[0.10991263]]
absurdness,[[0.10969218]]
abulia,[[0.10966816]]
abulias,[[0.10921098]]
abulic,[[0.10924405]]
abundance,[[0.10955914]]
abundances,[[0.10921627]]
abundant,[[0.11156231]]
abundantly,[[0.109327]]
abuse,[[0.11561111]]
abused,[[0.11489995]]
abuser,[[0.10950206]]
abusers,[[0.10970922]]
abuses,[[0.11422371]]
abusing,[[0.11051985]]
abusive,[[0.11107165]]
abusively,[[0.10922641]]
abusiveness,[[0.10923225]]
abut,[[0.11349635]]
abutilon,[[0.10927068]]
abutment,[[0.10928916]]
