Word, Value
no,[[0.12017673]]
th,[[0.121618]]
tm,[[0.12018708]]
aa,[[0.12727524]]
aah,[[0.12028085]]
aalii,[[0.12031833]]
aardvark,[[0.12017814]]
aardvarks,[[0.12017787]]
aardwolf,[[0.12022916]]
ab,[[0.12085528]]
aba,[[0.12093402]]
abaca,[[0.12026176]]
abacas,[[0.12019201]]
abacist,[[0.12029004]]
aback,[[0.12526052]]
abacus,[[0.12017994]]
abacuses,[[0.12017711]]
abaft,[[0.12029402]]
abalone,[[0.12031283]]
abalones,[[0.12039903]]
abamp,[[0.12017676]]
abandon,[[0.12257115]]
abandoned,[[0.12252259]]
abandonedly,[[0.12050398]]
abandoning,[[0.12042303]]
abandonment,[[0.12161198]]
abandons,[[0.12081037]]
abas,[[0.12038303]]
abase,[[0.12047314]]
abased,[[0.1210613]]
abasement,[[0.12182445]]
abases,[[0.1207606]]
abash,[[0.12062739]]
abashed,[[0.12152498]]
abashedly,[[0.12023849]]
abashes,[[0.12029348]]
abashing,[[0.12028363]]
abashment,[[0.12444452]]
abasing,[[0.12076029]]
abate,[[0.12036235]]
abated,[[0.1204873]]
abatement,[[0.12716576]]
abates,[[0.12081052]]
abating,[[0.12098206]]
abatis,[[0.12037066]]
abattoir,[[0.1213489]]
abattoirs,[[0.12019465]]
abaxial,[[0.12017706]]
abb,[[0.12017979]]
abba,[[0.12164356]]
abbacies,[[0.12084866]]
abbacy,[[0.12026497]]
abbatial,[[0.12039467]]
abbe,[[0.1215061]]
abbes,[[0.12027406]]
abbess,[[0.12302238]]
abbesses,[[0.12018847]]
abbey,[[0.12110943]]
abbeys,[[0.12706088]]
abbot,[[0.12098654]]
abbots,[[0.12540799]]
abbr,[[0.12017924]]
abbrev,[[-0.12017149]]
abbreviate,[[0.12143955]]
abbreviated,[[0.12069438]]
abbreviates,[[0.12038437]]
abbreviating,[[0.12020111]]
abbreviation,[[0.12191959]]
abbreviations,[[0.12018069]]
abbreviator,[[0.12101842]]
abbrevs,[[0.12017703]]
abdicate,[[0.12122028]]
abdicated,[[0.12055612]]
abdicates,[[0.12067894]]
abdicating,[[0.12030698]]
abdication,[[0.1202883]]
abdications,[[0.12064669]]
abdicator,[[-0.12011138]]
abdicators,[[0.12017846]]
abdomen,[[0.12091025]]
abdomens,[[0.12017955]]
abdominal,[[0.12038359]]
abdominally,[[0.12051886]]
abdominous,[[0.12041342]]
abduce,[[0.12023332]]
abduced,[[0.12019655]]
abducent,[[0.12078414]]
abducing,[[0.12018074]]
abduct,[[0.12019669]]
abducted,[[0.12098523]]
abducting,[[0.12044275]]
abduction,[[0.12026101]]
abductions,[[0.12039515]]
abductor,[[0.12025879]]
abductors,[[0.12190381]]
abducts,[[0.12109469]]
abeam,[[0.12036321]]
abecedarian,[[0.12030677]]
abecedarians,[[0.1203404]]
abecedarium,[[0.12041166]]
abecedary,[[0.12028154]]
abed,[[0.1216495]]
abele,[[0.12037054]]
abeles,[[0.1201805]]
abelmosk,[[0.12017746]]
aberrance,[[0.12018475]]
aberrancies,[[0.12022486]]
aberrancy,[[0.12075447]]
aberrant,[[0.12051523]]
aberration,[[0.12085132]]
aberrational,[[0.12033084]]
aberrations,[[0.12153993]]
abessive,[[0.12017673]]
abet,[[0.12048302]]
abetment,[[0.12028533]]
abetments,[[0.12017739]]
abets,[[0.12296612]]
abetted,[[0.12024847]]
abetter,[[0.12061351]]
abetters,[[0.12039138]]
abetting,[[0.12022378]]
abettor,[[0.12300458]]
abettors,[[0.12216975]]
abeyance,[[0.12041029]]
abeyant,[[0.12020263]]
abhor,[[0.12597837]]
abhorred,[[0.12587672]]
abhorrence,[[0.12098832]]
abhorrent,[[0.1208851]]
abhorrently,[[0.12050061]]
abhorrer,[[0.12018717]]
abhorrers,[[0.12114083]]
abhorring,[[0.12240329]]
abhors,[[0.12224548]]
abidance,[[0.12018359]]
abide,[[0.12025701]]
abider,[[0.12018662]]
abides,[[0.12039705]]
abiding,[[0.12574306]]
abidingly,[[0.12048978]]
abies,[[0.12017883]]
abigail,[[0.12052814]]
abilities,[[0.13003553]]
ability,[[0.15537643]]
abiogenesis,[[0.1216051]]
abiogenetic,[[0.12050722]]
abiotic,[[0.12017912]]
abject,[[0.12865677]]
abjection,[[0.12064721]]
abjectly,[[0.12143026]]
abjectness,[[0.12147097]]
abjuration,[[0.12027279]]
abjurations,[[0.12052624]]
abjure,[[0.12158816]]
abjured,[[0.12036511]]
abjurer,[[-0.12016594]]
abjurers,[[0.12026739]]
abjures,[[0.12018719]]
abjuring,[[0.12027242]]
abl,[[0.12036289]]
ablate,[[0.12041443]]
ablated,[[0.12017751]]
ablating,[[0.12032364]]
ablation,[[0.12018758]]
ablations,[[0.12024368]]
ablative,[[0.12029035]]
ablatives,[[0.12045612]]
ablaut,[[0.12026355]]
ablaze,[[0.12164242]]
able,[[0.12094491]]
ablepsia,[[0.12017704]]
abler,[[0.12201495]]
ablest,[[0.12726389]]
abloom,[[0.12207954]]
ablution,[[0.12085596]]
ablutions,[[0.12065494]]
ably,[[0.13194457]]
abnegate,[[0.12018527]]
abnegated,[[0.12018006]]
abnegates,[[0.12032987]]
abnegating,[[0.12124431]]
abnegation,[[0.12017832]]
abnormal,[[0.12036037]]
abnormalities,[[0.12321613]]
abnormality,[[0.12021875]]
abnormally,[[0.12070827]]
abnormity,[[0.1202489]]
aboard,[[0.1205107]]
abode,[[0.12491978]]
abodes,[[0.12039411]]
abolish,[[0.12021551]]
abolished,[[0.12936679]]
abolisher,[[0.1217064]]
abolishes,[[0.121091]]
abolishing,[[0.12035122]]
abolishment,[[0.12021156]]
abolishments,[[0.12068629]]
abolition,[[0.12354486]]
abolitionism,[[0.1211507]]
abolitionist,[[0.12036764]]
abolitionists,[[0.12032178]]
abomasum,[[0.12019105]]
abominable,[[0.14023967]]
abominably,[[0.12027403]]
abominate,[[0.12068826]]
abominated,[[0.12021037]]
abominates,[[0.12023778]]
abominating,[[0.12022499]]
abomination,[[0.12021723]]
abominations,[[0.12069758]]
abominator,[[0.12031655]]
abominators,[[0.1202181]]
aboral,[[0.12061591]]
aboriginal,[[0.12096521]]
aboriginally,[[0.12018143]]
aboriginals,[[0.12021827]]
aborigine,[[0.1201845]]
aborigines,[[0.12439764]]
aborning,[[0.12022579]]
abort,[[0.12019014]]
aborted,[[0.12035574]]
aborticide,[[0.12017825]]
abortifacient,[[0.12018801]]
abortifacients,[[0.12017805]]
aborting,[[0.1202008]]
abortion,[[0.12025399]]
abortionist,[[0.12031606]]
abortionists,[[0.1202473]]
abortions,[[0.12027978]]
abortive,[[0.12022115]]
abortively,[[0.12017798]]
aborts,[[0.1201771]]
aboulia,[[0.12018614]]
abound,[[0.1213307]]
abounded,[[0.12957892]]
abounding,[[0.13478026]]
abounds,[[0.13951764]]
aboveboard,[[0.12067082]]
aboveground,[[0.12057683]]
abr,[[0.12018062]]
abracadabra,[[0.1210086]]
abradant,[[0.1201857]]
abradants,[[-0.12017652]]
abrade,[[0.12020207]]
abraded,[[0.12037836]]
abrader,[[0.12017796]]
abraders,[[0.12024517]]
abrades,[[0.12018609]]
abrading,[[0.12024373]]
abranchiate,[[0.1201923]]
abrasion,[[0.12020026]]
abrasions,[[0.12060147]]
abrasive,[[0.12031072]]
abrasively,[[0.12017814]]
abrasives,[[0.1203675]]
abraxas,[[0.12053707]]
abreact,[[0.12024713]]
abreacted,[[0.120187]]
abreacting,[[0.12025071]]
abreaction,[[0.12022634]]
abreast,[[0.12063597]]
abri,[[0.12021638]]
abridge,[[0.12196656]]
abridged,[[0.12786822]]
abridger,[[0.1213779]]
abridgers,[[0.12021115]]
abridges,[[0.1211381]]
abridging,[[0.12266598]]
abridgment,[[0.12553796]]
abridgments,[[0.12131263]]
abroach,[[0.12048057]]
abroad,[[0.12369202]]
abrogate,[[0.12168998]]
abrogated,[[0.12022693]]
abrogates,[[0.12036008]]
abrogating,[[0.12032344]]
abrogation,[[0.12440222]]
abrogations,[[0.12028687]]
abrogator,[[0.12018231]]
abrupt,[[0.13090631]]
abrupter,[[0.1216565]]
abruptest,[[0.12053449]]
abruption,[[0.12081236]]
abruptly,[[0.12255426]]
abruptness,[[0.12059238]]
abs,[[0.12018608]]
abscess,[[0.12033656]]
abscessed,[[0.12018503]]
abscesses,[[0.12021031]]
abscind,[[0.12028708]]
abscissa,[[0.12069871]]
abscissas,[[0.12020607]]
abscission,[[0.12065636]]
abscond,[[0.12034761]]
absconded,[[0.12098695]]
absconder,[[0.12031291]]
absconders,[[0.12049484]]
absconding,[[0.12385702]]
absconds,[[0.12065633]]
abseil,[[0.12043641]]
absence,[[0.15782334]]
absences,[[0.12054414]]
absent,[[0.15191227]]
absented,[[0.12354485]]
absentee,[[0.13362223]]
absenteeism,[[0.12548898]]
absentees,[[0.12050204]]
absenting,[[0.12086438]]
absently,[[0.12502235]]
absentminded,[[0.12101156]]
absentmindedly,[[0.12017777]]
absentmindedness,[[0.12027551]]
absents,[[0.12022034]]
absinthe,[[0.12036081]]
absinthism,[[-0.12004688]]
absolute,[[0.12511411]]
absolutely,[[0.12592737]]
absoluteness,[[0.12027855]]
absolutes,[[0.1203178]]
absolutest,[[0.12019488]]
absolution,[[0.12217891]]
absolutism,[[0.12141949]]
absolutist,[[0.12045982]]
absolutistic,[[0.12036529]]
absolutists,[[0.12155587]]
absolvable,[[0.12033463]]
absolve,[[0.12060787]]
absolved,[[0.12327387]]
absolver,[[0.12041785]]
absolvers,[[0.12039787]]
absolves,[[0.12305929]]
absolving,[[0.1207625]]
absonant,[[0.12017674]]
absorb,[[0.1257917]]
absorbable,[[0.12060106]]
absorbed,[[0.12133686]]
absorbency,[[0.12017994]]
absorbent,[[0.12219749]]
absorbents,[[0.12041712]]
absorber,[[0.12059927]]
absorbers,[[0.12027621]]
absorbing,[[0.15548305]]
absorbingly,[[0.12400718]]
absorbs,[[0.12202446]]
absorption,[[0.12477639]]
absorptions,[[0.12183349]]
absorptive,[[0.12064367]]
absorptivities,[[0.12017736]]
absorptivity,[[0.12017827]]
absquatulate,[[0.12107028]]
absquatulated,[[0.12021032]]
absquatulates,[[0.12020762]]
absquatulating,[[0.12024304]]
abstain,[[0.12430773]]
abstained,[[0.12110663]]
abstainer,[[0.12067513]]
abstainers,[[0.132863]]
abstaining,[[0.12127155]]
abstains,[[0.12020247]]
abstemious,[[0.12028793]]
abstemiously,[[0.12042357]]
abstemiousness,[[0.1202895]]
abstention,[[0.12034996]]
abstentions,[[0.12030803]]
abstergent,[[0.12022805]]
abstinence,[[0.12022676]]
abstinent,[[0.12018993]]
abstract,[[0.12554787]]
abstracted,[[0.12053429]]
abstractedly,[[0.121181]]
abstractedness,[[0.12248316]]
abstracter,[[0.12066565]]
abstracting,[[0.12078424]]
abstraction,[[0.12322498]]
abstractionism,[[0.12020272]]
abstractionist,[[0.12050005]]
abstractionists,[[0.12057043]]
abstractions,[[0.12439594]]
abstractly,[[0.12745921]]
abstractness,[[0.12098505]]
abstracts,[[0.12021668]]
abstriction,[[0.12019255]]
abstruse,[[0.1243998]]
abstrusely,[[0.12177275]]
abstruseness,[[0.1208673]]
absurd,[[0.12034182]]
absurder,[[0.12036672]]
absurdest,[[0.121424]]
absurdist,[[0.12027957]]
absurdities,[[0.1279771]]
absurdity,[[0.12033688]]
absurdly,[[0.12084875]]
absurdness,[[0.12024755]]
abulia,[[0.12020124]]
abulias,[[0.12020274]]
abulic,[[0.12018199]]
abundance,[[0.12420718]]
abundances,[[0.12022324]]
abundant,[[0.12020847]]
abundantly,[[0.1218092]]
abuse,[[0.12257673]]
abused,[[0.12029007]]
abuser,[[0.12026901]]
abusers,[[0.12265246]]
abuses,[[0.12053616]]
abusing,[[0.12038065]]
abusive,[[0.12138893]]
abusively,[[0.12064169]]
abusiveness,[[0.12018096]]
abut,[[0.12025139]]
abutilon,[[0.12030602]]
abutment,[[0.12080528]]
abutments,[[0.12035132]]
abuts,[[0.12063888]]
abuttal,[[0.1210277]]
abuttals,[[0.12025277]]
abutted,[[0.12276883]]
abutters,[[0.12035901]]
abutting,[[0.12169185]]
abuzz,[[0.12018601]]
aby,[[0.12019039]]
abying,[[0.1201851]]
abysm,[[0.12028855]]
abysmal,[[0.12105589]]
abysmally,[[0.12019398]]
abysms,[[0.1203261]]
abyss,[[0.12069345]]
abyssal,[[0.12021925]]
abysses,[[0.1207552]]
ac,[[0.12040489]]
acacia,[[0.12020607]]
acacias,[[0.12026228]]
academe,[[0.12056909]]
academia,[[0.12018361]]
academic,[[0.12022861]]
academical,[[0.13611643]]
academically,[[0.12405251]]
academician,[[0.12402222]]
academicians,[[0.12110937]]
academicism,[[0.12025876]]
academics,[[0.12102163]]
academies,[[0.12763108]]
academism,[[0.12018924]]
academy,[[0.12252284]]
acaleph,[[0.1205821]]
acanthaceous,[[0.12022208]]
acanthoid,[[0.12017789]]
acanthopterygian,[[0.12028977]]
acanthopterygians,[[0.1201772]]
acanthus,[[0.12069768]]
acanthuses,[[0.12021652]]
acari,[[0.12051724]]
acariasis,[[0.12027372]]
acarid,[[0.12059905]]
acaroid,[[-0.12017672]]
acarology,[[0.12018017]]
acarpous,[[0.12033067]]
acarus,[[0.12018435]]
acatalectic,[[0.12020361]]
acaulescent,[[0.12017943]]
acc,[[0.12138779]]
accede,[[0.12253251]]
acceded,[[0.12051988]]
accedence,[[0.12018058]]
accedes,[[0.12636586]]
acceding,[[0.1215464]]
accel,[[0.12018034]]
accelerando,[[0.1201861]]
accelerandos,[[0.12021353]]
accelerant,[[0.12019078]]
accelerate,[[0.1207371]]
accelerated,[[0.12021872]]
accelerates,[[0.12090518]]
accelerating,[[0.12136035]]
acceleration,[[0.12059776]]
accelerations,[[0.12088672]]
accelerative,[[0.12058412]]
accelerator,[[0.12023911]]
accelerators,[[0.12020063]]
accelerometer,[[0.12031666]]
accelerometers,[[0.12018901]]
accent,[[0.12075655]]
accented,[[0.12051056]]
accenting,[[0.1204055]]
accentor,[[0.12027945]]
accentors,[[0.12029249]]
accents,[[0.12276171]]
accentual,[[0.12025378]]
accentuate,[[0.12319878]]
accentuated,[[0.12325297]]
accentuates,[[0.1202504]]
accentuating,[[0.12221345]]
accentuation,[[0.12077286]]
accept,[[0.14072791]]
acceptability,[[0.12612523]]
acceptable,[[0.13115381]]
acceptableness,[[0.12022409]]
acceptably,[[0.1204787]]
acceptance,[[0.12062912]]
acceptances,[[0.12084215]]
acceptant,[[0.12022616]]
acceptation,[[0.12049873]]
acceptations,[[0.12083824]]
accepted,[[0.12530689]]
accepter,[[0.12031798]]
accepting,[[0.12091694]]
acceptor,[[0.1204142]]
acceptors,[[0.12021315]]
accepts,[[0.12141494]]
access,[[0.12597843]]
accessed,[[0.12028603]]
accesses,[[0.12162924]]
accessibility,[[0.12039403]]
accessible,[[0.12030683]]
accessibleness,[[0.12036486]]
accessibly,[[0.12029741]]
accessing,[[0.12017733]]
accession,[[0.12444423]]
accessional,[[0.12017729]]
accessioned,[[0.12030213]]
accessioning,[[0.12033038]]
accessions,[[0.12078351]]
accessories,[[0.12178094]]
accessorizing,[[0.12017675]]
accessory,[[0.12306225]]
accidence,[[0.12189153]]
accidences,[[0.12023349]]
accident,[[0.12106633]]
accidental,[[0.1204462]]
accidentally,[[0.13370891]]
accidentals,[[0.12045579]]
accidents,[[0.43753365]]
accidie,[[0.12017865]]
accipiter,[[0.12032755]]
accipitrine,[[0.12048238]]
acclaim,[[0.12063563]]
acclaimed,[[0.12370785]]
acclaiming,[[0.12027356]]
acclaims,[[0.1201909]]
acclamation,[[0.12108829]]
acclamations,[[0.12228698]]
acclamatory,[[0.1202441]]
acclimate,[[0.12023632]]
acclimated,[[0.12175299]]
acclimating,[[0.12018721]]
acclimation,[[0.12018294]]
acclimatization,[[0.12061223]]
acclimatize,[[0.12105814]]
acclimatized,[[0.12188965]]
acclimatizes,[[0.12020814]]
acclimatizing,[[0.12029705]]
acclivities,[[0.12035022]]
acclivitous,[[0.1205207]]
acclivity,[[0.12041976]]
accolade,[[0.12041567]]
accolades,[[0.1201856]]
accommodate,[[0.13815926]]
accommodated,[[0.12252688]]
accommodates,[[0.12146434]]
accommodating,[[0.12512678]]
accommodatingly,[[0.12108432]]
accommodation,[[0.12412376]]
accommodations,[[0.12070388]]
accommodative,[[0.12028263]]
accompanied,[[0.12719226]]
accompanies,[[0.12442286]]
accompaniment,[[0.12025377]]
accompaniments,[[0.12192589]]
accompanist,[[0.12025145]]
accompanists,[[0.12059945]]
accompany,[[0.13370183]]
accompanying,[[0.12133644]]
accompanyist,[[0.12026391]]
accompanyists,[[0.12032347]]
accomplice,[[0.12417789]]
accomplices,[[0.12259275]]
accomplish,[[0.13181633]]
accomplished,[[0.12345085]]
accomplisher,[[0.1209752]]
accomplishes,[[0.12274455]]
accomplishing,[[0.12231937]]
accomplishment,[[0.12113518]]
accomplishments,[[0.23600036]]
accord,[[0.12032597]]
accordance,[[0.12342929]]
accordant,[[0.12090516]]
accorded,[[0.12585945]]
according,[[0.12285116]]
accordingly,[[0.12190802]]
accordion,[[0.12202664]]
accordionist,[[0.12018479]]
accordions,[[0.12080001]]
accords,[[0.12096531]]
accost,[[0.12027343]]
accosted,[[0.12058642]]
accosting,[[0.12408758]]
accosts,[[0.12025903]]
accouchement,[[0.12049831]]
accouchements,[[0.12117185]]
accoucheur,[[0.12063996]]
accoucheurs,[[0.12033834]]
account,[[0.1202439]]
accountability,[[0.12123863]]
accountable,[[0.12191164]]
accountableness,[[0.12018936]]
accountably,[[0.12051351]]
accountancy,[[0.12022526]]
accountant,[[0.12041447]]
accountants,[[0.12328018]]
accounted,[[0.12155616]]
accounting,[[0.12018881]]
accounts,[[0.139853]]
accouplement,[[0.12022027]]
accouter,[[0.12018835]]
