Word, Value
ab,-0.8287826022477829
abaft,-0.8314118126856159
abandon,-0.8240007421442023
abandoned,-0.8240253524385925
abate,-0.8184478287328063
abated,-0.8205894517082102
abatement,-0.8227621411851039
abates,-0.8308261196405491
abating,-0.8269101104203183
abbe,-0.8142448219301375
abbey,-0.8262146298931338
abbot,-0.8244904550411472
abbreviated,-0.8299482352820851
abbreviation,-0.8313717170826126
abbreviations,-0.8278244947218909
abed,-0.8299482352820851
abetted,-0.829093011571313
abettors,-0.8314118126856159
abhor,-0.8278989488527767
abhorred,-0.8299482352820851
abhorrence,-0.8269732342273582
abhorring,-0.8299482352820851
abide,-0.8256679937048784
abiding,-0.8299482352820851
abilities,-0.7678884399374579
ability,-0.8043216955406147
abject,-0.8270126906019358
abjured,-0.830697730611243
able,-0.6536622674966408
ablest,-0.8228999108915575
ably,-0.8237299809637775
aboard,-0.8297719680436926
abode,-0.8292820793589306
abolish,-0.827714723220484
abolished,-0.8293072010360614
abolishing,-0.824188371667862
abolition,-0.8113614702509483
abominable,-0.8194355804769411
abominated,-0.8299482352820851
abominations,-0.8299482352820851
abortive,-0.8279423364821725
abound,-0.8303252362268647
abounding,-0.8297461272345827
abounds,-0.8291060678119083
abridge,-0.8317724493826971
abridged,-0.8245931790491605
abridging,-0.8297719680436926
abridgment,-0.7992090826688554
abroad,-0.778501996949602
abrogated,-0.8299482352820851
abrupt,-0.8202870647014228
abruptly,-0.8176949614737028
abscess,-0.8330308184808608
absence,-0.7851791693354453
absent,-0.814706792313406
absented,-0.825625708744517
absentees,-0.8293979554918032
absenting,-0.8299482352820851
absolute,-0.8109108941143682
absolutely,-0.7954913461255726
absolution,-0.8299482352820851
absolutists,-0.8299482352820851
absolves,-0.8299482352820851
absorb,-0.8304343365384247
absorbed,-0.8278946180801925
absorbing,-0.8340641312310388
absorbs,-0.8340641312310388
abstain,-0.8275083802846612
abstained,-0.8330308184808608
abstinence,-0.8295619815058431
abstract,-0.8228784807585852
abstracted,-0.8291688400433141
abstraction,-0.8299482352820851
abstractionist,-0.8299482352820851
abstractions,-0.8299482352820851
abstracts,-0.825849678404179
abstruse,-0.8291280253083319
absurd,-0.8151833690662024
absurdities,-0.8282322904960796
absurdity,-0.8224916516767601
absurdly,-0.8274316249314427
abundance,-0.819456579130726
abundant,-0.8220395893340902
abundantly,-0.8196358986848514
abuse,-0.8104496588437892
abused,-0.8225243482107357
abuses,-0.8260980985511248
abusing,-0.8221915179501734
abusive,-0.8242358983013144
ac,-0.8330308184808608
academical,-0.8299482352820851
academies,-0.8276030340337999
academy,-0.7663556500761322
acc,-0.8238003919748706
acceded,-0.830697730611243
accelerate,-0.8278989488527767
accelerated,-0.8314118126856159
accelerating,-0.8263401903366561
acceleration,-0.8291688400433141
accent,-0.8225615672858233
accented,-0.8314118126856159
accents,-0.8297719680436926
accept,-0.787973588359906
acceptable,-0.7964856179996497
acceptance,-0.8227722729556516
acceptation,-0.8297719680436926
accepted,-0.8009253470690738
accepting,-0.8214831090280788
accepts,-0.8310635610392831
access,-0.8178766461730034
accessible,-0.8317004243198289
accession,-0.8212552720364411
accident,-0.8209960808905219
accidental,-0.8072128777680189
accidentally,-0.8203177796272787
accidents,-0.8093582881718451
acclaimed,-0.8299482352820851
acclamation,-0.829858439668982
accommodate,-0.8182648655766543
accommodated,-0.8207022755253499
accommodating,-0.8277575035828754
accommodation,-0.8109392279143383
accommodations,-0.8222210503034417
accompanied,-0.77107258055237
accompanies,-0.8293548395344883
accompaniment,-0.8330308184808608
accompany,-0.8129838959182708
accompanying,-0.8208715272317701
accomplice,-0.8314118126856159
accomplices,-0.8262146298931338
accomplish,-0.8107290815693825
accomplished,-0.8216962118045035
accomplishing,-0.8296805423981037
accomplishment,-0.8232966639946918
accomplishments,-0.8210179584833922
accord,-0.8297719680436926
accordance,-0.8291060678119083
accorded,-0.8291730909123451
according,-0.728815362704601
accordingly,-0.6620693997517237
accords,-0.8297719680436926
accosted,-0.8302969024268947
accosting,-0.8242377680444596
account,-0.5072906558867185
accountable,-0.825875423329025
accounted,-0.825691069851047
accounting,-0.8240473259157267
accounts,-0.7247894701179888
accrued,-0.8279952006729797
accruing,-0.8274380012349893
accumulate,-0.8264372411923911
accumulated,-0.8331807335274031
accumulating,-0.8284571710562483
accumulation,-0.8336680972598834
accuracy,-0.8293483353852565
accurate,-0.8337552240943092
accurately,-0.8264767135476794
accusation,-0.8184360030069305
accusations,-0.8187965917618798
accuse,-0.8291079535357642
accused,-0.8070260952220232
accuser,-0.8247134818388812
accusers,-0.8205145980595582
accuses,-0.8291688400433141
accusing,-0.8297719680436926
accustom,-0.8280411132546571
accustomed,-0.8100406165741703
accustoming,-0.8259727298761304
ache,-0.8313717170826126
aches,-0.8330308184808608
achieve,-0.8217511215262729
achieved,-0.8156032941997691
achievements,-0.821223582287236
achieving,-0.8299482352820851
achromatic,-0.8314118126856159
acid,-0.8297719680436926
acknowledge,-0.8102517537231859
acknowledged,-0.8112528813221289
acknowledges,-0.8267061326296707
acknowledging,-0.8287919669442196
acknowledgment,-0.8228466951251162
acknowledgments,-0.8228676937789011
acquaint,-0.8073759769008416
acquaintance,-0.7018686884183316
acquaintances,-0.8142919170844024
acquainted,-0.6925859730271173
acquainting,-0.8128933811731887
acquaints,-0.826434156915237
acquiesce,-0.8250907065136098
acquiesced,-0.8274597509821745
acquiescence,-0.830697730611243
acquiescing,-0.829858439668982
acquire,-0.7919995129079396
acquired,-0.7563890401729496
acquirement,-0.8330308184808608
acquires,-0.8302897910106585
acquiring,-0.8116050482425693
acquisition,-0.8108077386271675
acquisitions,-0.8255056616461667
acquit,-0.830697730611243
acquitted,-0.8264622829659688
acre,-0.8207751315851715
acres,-0.8177211698391573
acrimony,-0.8317724493826971
across,-0.8179247321313282
act,-0.4574337791312374
acted,-0.8189259076724031
acting,-0.8141782622703092
action,-0.7683093239136632
actions,-0.7551604591194245
active,-0.800312790449416
actively,-0.8299482352820851
activities,-0.7959578869920851
activity,-0.8078792893825437
actor,-0.8275083802846612
actors,-0.8306746384843638
actresses,-0.8299482352820851
acts,-0.7788346833837685
actual,-0.8168789704075592
actually,-0.7986413679232619
acute,-0.8276512797992311
acutely,-0.825849678404179
acuteness,-0.8343906970530292
ad,-0.8274202626461755
adage,-0.8291688400433141
adages,-0.8279521646192181
adapt,-0.8259717710334917
adaptability,-0.8299482352820851
adapted,-0.819921841540387
adaptiveness,-0.8299482352820851
add,-0.7885719700892235
added,-0.783174469088831
addicted,-0.8319363155896307
adding,-0.805106220587502
addition,-0.7741860384841082
