Word, Value
ab,-0.4091046974914484
abaft,-0.4091046974914484
abandon,-0.4091046974914484
abandoned,-0.4085417683352922
abate,-0.4091046974914484
abated,-0.4091046974914484
abatement,-0.4091046974914484
abates,-0.4091046974914484
abating,-0.4091046974914484
abbe,-0.4091046974914484
abbey,-0.4091046974914484
abbot,-0.4091046974914484
abbreviated,-0.4091046974914484
abbreviation,-0.4091046974914484
abbreviations,-0.4091046974914484
abed,-0.4091046974914484
abetted,-0.4091046974914484
abettors,-0.4091046974914484
abhor,-0.4091046974914484
abhorred,-0.4091046974914484
abhorrence,-0.4091046974914484
abhorring,-0.4091046974914484
abide,-0.4091046974914484
abiding,-0.4091046974914484
abilities,-0.40973177811839157
ability,-0.4075736539073973
abject,-0.4091046974914484
abjured,-0.4091046974914484
able,-0.3996417254912743
ablest,-0.4091046974914484
ably,-0.4091046974914484
aboard,-0.4091046974914484
abode,-0.4091046974914484
abolish,-0.4091046974914484
abolished,-0.4091046974914484
abolishing,-0.4090026279191783
abolition,-0.4091046974914484
abominable,-0.4098394036662566
abominated,-0.4091046974914484
abominations,-0.4091046974914484
abortive,-0.4091046974914484
abound,-0.4091046974914484
abounding,-0.4091046974914484
abounds,-0.4091046974914484
abridge,-0.4091046974914484
abridged,-0.4091046974914484
abridging,-0.4091046974914484
abridgment,-0.4096472356443901
abroad,-0.4091046974914484
abrogated,-0.4091046974914484
abrupt,-0.40695877351552356
abruptly,-0.41309560631158826
abscess,-0.4091046974914484
absence,-0.4093245308350918
absent,-0.4069723484249669
absented,-0.4091046974914484
absentees,-0.4091046974914484
absenting,-0.4091046974914484
absolute,-0.4063267669720735
absolutely,-0.4045628879159249
absolution,-0.4091046974914484
absolutists,-0.4091046974914484
absolves,-0.4091046974914484
absorb,-0.4091046974914484
absorbed,-0.4091046974914484
absorbing,-0.4091046974914484
absorbs,-0.4091046974914484
abstain,-0.4091046974914484
abstained,-0.4091046974914484
abstinence,-0.4091046974914484
abstract,-0.4091046974914484
abstracted,-0.4091046974914484
abstraction,-0.4091046974914484
abstractionist,-0.4091046974914484
abstractions,-0.4091046974914484
abstracts,-0.4091046974914484
abstruse,-0.4091046974914484
absurd,-0.40976946710747897
absurdities,-0.4091046974914484
absurdity,-0.4091046974914484
absurdly,-0.4091046974914484
abundance,-0.4091046974914484
abundant,-0.4091046974914484
abundantly,-0.4091046974914484
abuse,-0.4091046974914484
abused,-0.4091046974914484
abuses,-0.4091046974914484
abusing,-0.4091046974914484
abusive,-0.40854188289149007
ac,-0.4091046974914484
academical,-0.4091046974914484
academies,-0.4091046974914484
academy,-0.40903218341821945
acc,-0.3884924289808852
acceded,-0.4091046974914484
accelerate,-0.4091046974914484
accelerated,-0.4091046974914484
accelerating,-0.4091046974914484
acceleration,-0.4091046974914484
accent,-0.4091046974914484
accented,-0.4091046974914484
accents,-0.4091046974914484
accept,-0.4091046974914484
acceptable,-0.4091046974914484
acceptance,-0.4091046974914484
acceptation,-0.4091046974914484
accepted,-0.40804545360817657
accepting,-0.4091046974914484
accepts,-0.4091046974914484
access,-0.4091046974914484
accessible,-0.4091046974914484
accession,-0.4091046974914484
accident,-0.4091046974914484
accidental,-0.4091046974914484
accidentally,-0.4091046974914484
accidents,-0.4091046974914484
acclaimed,-0.4091046974914484
acclamation,-0.4091046974914484
accommodate,-0.4091046974914484
accommodated,-0.4091046974914484
accommodating,-0.4091046974914484
accommodation,-0.3976163719135697
accommodations,-0.4091046974914484
accompanied,-0.4090307514657465
accompanies,-0.4091046974914484
accompaniment,-0.4091046974914484
accompany,-0.4091046974914484
accompanying,-0.4091046974914484
accomplice,-0.4091046974914484
accomplices,-0.4091046974914484
accomplish,-0.4091046974914484
accomplished,-0.4091046974914484
accomplishing,-0.4091046974914484
accomplishment,-0.4091046974914484
accomplishments,-0.4091046974914484
accord,-0.4091046974914484
accordance,-0.4091046974914484
accorded,-0.4091046974914484
according,-0.4044080079364534
accordingly,-0.40567087546137504
accords,-0.4091046974914484
accosted,-0.4091046974914484
accosting,-0.4091046974914484
account,-0.38740408782336355
accountable,-0.4091046974914484
accounted,-0.4091046974914484
accounting,-0.4091046974914484
accounts,-0.4038668444578857
accrued,-0.4091046974914484
accruing,-0.4091046974914484
accumulate,-0.4091046974914484
accumulated,-0.4091046974914484
accumulating,-0.4091046974914484
accumulation,-0.4091046974914484
accuracy,-0.4091046974914484
accurate,-0.4091046974914484
accurately,-0.4091046974914484
accusation,-0.4091046974914484
accusations,-0.4091046974914484
accuse,-0.4091046974914484
accused,-0.4091046974914484
accuser,-0.4091046974914484
accusers,-0.4091046974914484
accuses,-0.4091046974914484
accusing,-0.4091046974914484
accustom,-0.4091046974914484
accustomed,-0.4091046974914484
