Word, Value
no,-0.009564077977098871
th,-0.011267766056755802
tm,-0.009565098499861409
aa,-0.010080126469154526
aah,-0.011124793306804388
aalii,-0.009564077977098871
aardvark,-0.009778910464012285
aardvarks,-0.009564077977098871
aardwolf,-0.00977048492852159
ab,-0.015888120637140735
aba,-0.009833471095609343
abaca,-0.010017837244441188
abacas,-0.009577407000009558
abacist,-0.009619310660271259
aback,-0.01804377584660577
abacus,-0.01026501532476718
abacuses,-0.009731418819355723
abaft,-0.010754019963615625
abalone,-0.009786489712334048
abalones,-0.00956920548171064
abamp,-0.009564077977098871
abandon,-0.010005964333277047
abandoned,-0.09168232131990531
abandonedly,-0.00969898610814634
abandoning,-0.03303506854726942
abandonment,-0.009977949738905473
abandons,-0.018581491779266004
abas,-0.009624587509677542
abase,-0.009910072529797273
abased,-0.015538703599567976
abasement,-0.028737161823647293
abases,-0.010455541946372873
abash,-0.025855815366822677
abashed,-0.019228353865919437
abashedly,-0.009972685334898732
abashes,-0.011907111122085187
abashing,-0.010503133154225781
abashment,-0.01367984627840737
abasing,-0.010144270058399789
abate,-0.010687959782840721
abated,-0.03061123986844914
abatement,-0.01768353131143049
abates,-0.049083983746507326
abating,-0.01106442067362069
abatis,-0.009583617254381577
abattoir,-0.011028627704534666
abattoirs,-0.009633448634152247
abaxial,-0.009564077977098871
abb,-0.009899630839580592
abba,-0.009619422668867146
abbacies,-0.010337273314514561
abbacy,-0.010022529160068945
abbatial,-0.011870882564015153
abbe,-0.009981085979590342
abbes,-0.009706229330680438
abbess,-0.009733970126262063
abbesses,-0.011146373629612166
abbey,-0.009889350939557971
abbeys,-0.009934925992684893
abbot,-0.010055210779269191
abbots,-0.009661376110727019
abbr,-0.009607338185910773
abbrev,-0.009762494982014903
abbreviate,-0.01531761107668437
abbreviated,-0.009659061266411997
abbreviates,-0.009986524619190687
abbreviating,-0.009951528155675422
abbreviation,-0.013304978398768921
abbreviations,-0.00977968207878396
abbreviator,-0.010152608476093682
abbrevs,-0.009575652198673977
abdicate,-0.01130456710320482
abdicated,-0.00997721546033243
abdicates,-0.009851280462355554
abdicating,-0.017528822549709912
abdication,-0.01523101598666331
abdications,-0.009869525418085775
abdicator,-0.009710821683111851
abdicators,-0.009569454389701502
abdomen,-0.010158868512063874
abdomens,-0.009686005556422862
abdominal,-0.011294785019163924
abdominally,-0.0095852973833199
abdominous,-0.012361007288822478
abduce,-0.009602297799095806
abduced,-0.009564712692475571
abducent,-0.009680654034619318
abducing,-0.009564936709667347
abduct,-0.01113778630392741
abducted,-0.010907571303178695
abducting,-0.009574121414530174
abduction,-0.009696297901845025
abductions,-0.009587624673034463
abductor,-0.010266384318716924
abductors,-0.010090841958161156
abducts,-0.010414397455483304
abeam,-0.0099937429509257
abecedarian,-0.009668656669459746
abecedarians,-0.009568433866938965
abecedarium,-0.009580941493479805
abecedary,-0.009971727039133911
abed,-0.017111416294433062
abele,-0.009650934420510337
abeles,-0.009883476710973617
abelmosk,-0.009564077977098871
aberrance,-0.009893507703005375
aberrancies,-0.009986835754179265
aberrancy,-0.00959856417923287
aberrant,-0.009945143665709798
aberration,-0.011931541441388341
aberrational,-0.009739159857871545
aberrations,-0.00979131852735678
abessive,-0.009566915528194704
abet,-0.01305346931940192
abetment,-0.009932275122582207
abetments,-0.009843788331830593
abets,-0.01194034033886533
abetted,-0.043414357530641566
abetter,-0.00968289420653708
abetters,-0.010407428031739155
abetting,-0.010406382618177532
abettor,-0.010002915210388982
abettors,-0.009636796446629348
abeyance,-0.01981143327991436
abeyant,-0.009589367028970501
abhor,-0.01041063894482128
abhorred,-0.011251823499941058
abhorrence,-0.010646043677179478
abhorrent,-0.033840895722287184
abhorrently,-0.012542187415371282
abhorrer,-0.010161021566184834
abhorrers,-0.009651594026686123
abhorring,-0.010851206088647885
abhors,-0.01082051573337454
abidance,-0.009668581997062487
abide,-0.009627238379780228
abider,-0.009705669287700999
abides,-0.015252558973272459
abiding,-0.009699085671342686
abidingly,-0.009905368168769973
abies,-0.010013518690799724
abigail,-0.010826663760748843
abilities,-0.012255943225879421
ability,-0.01313787401910339
abiogenesis,-0.011206796044394035
abiogenetic,-0.00967862543449379
abiotic,-0.009564077977098871
abject,-0.010523182692889753
abjection,-0.009644861065533292
abjectly,-0.010665719853857157
abjectness,-0.010944148332435937
abjuration,-0.012075684058896807
abjurations,-0.011395331402072826
abjure,-0.023372111870800426
abjured,-0.01606177129696595
abjurer,-0.00965174337148064
abjurers,-0.010669304128925578
abjures,-0.030719353054280262
abjuring,-0.010149297999815211
abl,-0.012646890561727589
ablate,-0.009591694318685064
ablated,-0.009585994325694314
ablating,-0.009607985346687015
ablation,-0.009588159825214817
ablations,-0.009888193517400461
ablative,-0.009654717821971448
ablatives,-0.009569043691516578
ablaut,-0.009883924745357169
ablaze,-0.010535491193037904
able,-0.0273777757223509
ablepsia,-0.009576199796253876
abler,-0.01661198241076748
ablest,-0.01340610971545635
abloom,-0.010066050722271251
ablution,-0.011378094523705598
ablutions,-0.010841934265988257
ably,-0.023806381642458206
abnegate,-0.009623131397930997
abnegated,-0.009635141208490112
abnegates,-0.00963883749215442
abnegating,-0.011431049698761592
abnegation,-0.03358062508164182
abnormal,-0.01444933288675921
abnormalities,-0.009878523441955453
abnormality,-0.01012654780945038
abnormally,-0.010179863901093125
abnormity,-0.009883003785790977
aboard,-0.017811494909532898
abode,-0.01106071194455684
abodes,-0.009616161974186847
abolish,-0.010429244817138252
abolished,-0.015569082819852743
abolisher,-0.00974849390752889
abolishes,-0.011489057706032096
abolishing,-0.010716633983388079
abolishment,-0.009630947108844079
abolishments,-0.011123947019635455
abolition,-0.010083673408024315
abolitionism,-0.009609765038821681
abolitionist,-0.010415343305848581
abolitionists,-0.012245377081667308
abomasum,-0.009575403290683114
abominable,-0.06712463579782776
abominably,-0.017009600480770763
abominate,-0.015149025694473206
abominated,-0.013839483418347029
abominates,-0.010409655758257374
abominating,-0.009798138606306413
abomination,-0.16877729027211816
abominations,-0.013764811021088282
abominator,-0.009711767533477128
abominators,-0.009578987565751535
aboral,-0.009645333990715932
aboriginal,-0.010622447199645715
aboriginally,-0.009745357666844022
aboriginals,-0.015409968386693897
aborigine,-0.01047974824848425
aborigines,-0.011326097644414425
aborning,-0.009714169495588952
abort,-0.009610225518604777
aborted,-0.010081669698697872
aborticide,-0.009689876075680772
abortifacient,-0.009566567057007497
abortifacients,-0.009651469572690691
aborting,-0.00970316776239283
abortion,-0.010223124109905024
abortionist,-0.011331001131834417
abortionists,-0.009625222225054242
abortions,-0.01231564380748779
abortive,-0.010015597072523426
abortively,-0.009601762646915453
aborts,-0.009715463817141437
aboulia,-0.009598676187828758
abound,-0.012046984967550363
abounded,-0.021870723760716984
abounding,-0.02811973310691335
abounds,-0.01000031412188447
aboveboard,-0.011198631862293746
