Word, Value
ab,-0.0014885906513143557
abaft,-0.0015925327049229623
abandon,-3.1649536281324333e-06
abandoned,0.0011359565699294977
abate,1.9193304253510682e-05
abated,0.0014375673198266357
abatement,0.0009934700371370645
abates,-0.0003818832764951143
abating,-0.0011903493800415694
abbe,0.004352602948344881
abbey,-0.0007936264955546332
abbot,-0.0021335993411196142
abbreviated,-0.014739038244372211
abbreviation,-0.010262347059035361
abbreviations,-0.0007981293442617215
abed,-0.0007296092292264583
abetted,-0.003590636356698108
abettors,-0.0012741994446782542
abhor,-0.0008342704191120944
abhorred,-0.0012619802542935244
abhorrence,-4.91736526624638e-05
abhorring,-0.0063449685900878435
abide,-0.010964669873357218
abiding,-0.0008561512949173084
abilities,0.0003187196899610672
ability,0.0014455725412800434
abject,-0.0001909935941941774
abjured,-0.0008993131379558762
able,0.0005910435442878163
ablest,-0.00030625120528371045
ably,0.0008933739017177355
aboard,-0.0006823545299847443
abode,0.0022052848810387615
abolish,-0.00023187809381285986
abolished,-5.321184319841777e-06
abolishing,0.0037360965132835007
abolition,0.007477893807394803
abominable,0.007278285893688201
abominated,-0.0006651584076067585
abominations,-0.011484502667895682
abortive,0.0006561423425660454
abound,-0.0005059371118172122
abounding,-0.0006719986848420685
abounds,-0.0010468675551016354
abridge,-0.0001229734815114229
abridged,-0.000593518579495522
abridging,-0.0009824968469597172
abridgment,0.0005713049971296378
abroad,0.0009308326076497431
abrogated,-0.000265644746558506
abrupt,0.0010335536376058047
abruptly,0.007618696543386564
abscess,-3.728363442026676e-05
absence,0.00011101253927860139
absent,8.363470075817736e-05
absented,-0.01517709874088305
absentees,-0.0010648355944008361
absenting,-0.0007519222465559424
absolute,0.0006663671786097603
absolutely,0.0006144013356187252
absolution,-0.00101951634253118
absolutists,-0.00026887732538700125
absolves,-0.0014191982418827742
absorb,-0.000942183273684168
absorbed,-0.02484512726378445
absorbing,-0.00017423361901435072
absorbs,-0.0014000322704628596
abstain,-0.013562578420727122
abstained,-4.712557516575988e-10
abstinence,-3.421717324423076e-05
abstract,-0.0009881448471433336
abstracted,-0.0005245978970713498
abstraction,-0.0012568840945950991
abstractionist,-0.00031625101670600884
abstractions,-0.0005549213196675097
abstracts,-0.0012619802542935244
abstruse,-0.0003920687626835658
absurd,0.0020067994985326076
absurdities,-3.0402829190314153e-05
absurdity,7.560120395967028e-06
absurdly,-0.0002537808830105259
abundance,0.000876008127269153
abundant,0.0015205549864377873
abundantly,0.0007178202953429918
abuse,1.874631817306345e-05
abused,0.0006438911067902027
abuses,-0.0009025845953838833
abusing,0.0010445305978291652
abusive,0.00015996564424928945
ac,-0.0012122896340714922
academical,-0.000918533775042983
academies,-0.00047164760081510205
academy,0.0003628094355746488
acc,-0.0004061713266797953
acceded,-0.0006173678905754097
accelerate,-0.0008836872397424136
accelerated,-0.0016461352191395042
accelerating,-0.0012023758268238714
acceleration,-0.0009713879351258927
accent,0.002828686023374768
accented,-0.0014372619460995618
accents,-0.0003006010844492117
accept,5.824485462612092e-06
acceptable,0.0006919653197840494
acceptance,-1.200123459958824e-05
acceptation,-0.0014802508382772712
accepted,0.006431119796559873
accepting,0.0024413071979316986
accepts,-0.0004064531376192865
access,0.00032988114681120156
accessible,-3.625511874227405e-05
accession,0.0011563991731806528
accident,0.00019545025983760332
accidental,5.271584651979814e-05
accidentally,6.950339016109678e-05
accidents,0.022298877771911252
acclaimed,-0.001459224820405564
acclamation,-0.0011575457384244356
accommodate,6.201607877876086e-05
accommodated,0.0021196445158015295
accommodating,-0.00516855871955243
accommodation,0.0015945953913479676
accommodations,0.0009821886456981331
accompanied,2.9060457181717485e-05
accompanies,-0.0014137651343219138
accompaniment,-0.0009704840665942134
accompany,0.012861059568717593
accompanying,0.00857805261228901
accomplice,-0.0015687559672288298
accomplices,-0.0012831165460111195
accomplish,0.000718539902875773
accomplished,0.01000212623055056
accomplishing,-0.011886223690884698
accomplishment,-0.0013746782397679293
accomplishments,0.00015226603215083177
accord,-0.0003530282868211195
accordance,-0.0002646732528264638
accorded,-0.0008232020352729124
according,0.017290603501124106
accordingly,0.038289740944756644
accords,-0.0014802508382772712
accosted,-0.0012302209154220639
accosting,7.328191877788741e-05
account,4.9804428486057494e-05
accountable,-0.0004881467359363862
accounted,0.001341571109446728
accounting,0.0006877348569014191
accounts,7.045202798918353e-05
accrued,-1.6093383919106996e-07
accruing,-0.0012262826311054613
accumulate,0.03503472845745943
accumulated,0.00018375062891907594
accumulating,-0.006634542996831895
accumulation,-4.3237715214584685e-07
accuracy,-0.0005129611787956687
accurate,-0.0010878243924781971
accurately,4.156640669133101e-05
accusation,1.9594814153922958e-06
accusations,0.00011022436403395406
accuse,-0.0004703130045264077
accused,0.000748527320121001
accuser,-0.0005107208289522885
accusers,-0.0008653601035604495
accuses,-0.0009470998849412117
accusing,-0.006271927718626929
accustom,-0.001423732193469472
accustomed,0.0006661150567826234
accustoming,-0.04087930261025319
ache,-0.0006339113237373498
aches,-0.01076222028746812
achieve,-0.0007519222465559424
achieved,-0.00021103327377766513
achievements,0.001197124152727399
achieving,-0.005882353783892638
achromatic,-0.0014123923663173351
acid,-0.0014802508382772712
acknowledge,1.1719659287972823e-05
acknowledged,0.0018884125136241923
acknowledges,-0.06350340151647538
acknowledging,-1.0332046727217024e-05
acknowledgment,0.0006361738226010579
acknowledgments,4.633150922421682e-06
acquaint,0.00012943911042416516
acquaintance,0.0006283179892209257
acquaintances,0.0010330206473506802
acquainted,0.004698157825828338
acquainting,0.010776491796651319
acquaints,-0.00045273469373382765
acquiesce,0.0003100252569708603
acquiesced,-0.0008266549261653077
acquiescence,-6.528777183464373e-06
acquiescing,-0.0004056977146493794
acquire,0.020043566500927402
acquired,0.0009443670728373493
acquirement,-0.0010444420017478536
acquires,-0.0003482092255046689
acquiring,0.0007700019734682861
